coin_name,coin_symbol,first_date_price
Vibranium,XVI,2015-07-02
007Coin,007,2015-04-23
HTMLCOIN,HTML5,2014-09-19
Coinomat,CNMT,2014-09-04
PinkCoin,PINK,2014-05-11
MapCoin,MAPC,2015-09-08
SydPak,SDP,2015-08-23
Nxttycoin,NXTTY,2014-08-12
Colossuscoin V2,CV2,2015-03-20
ARbit,ARB,2015-05-21
PurePOS,PURE,2015-08-23
ShadowCash,SDC,2014-07-31
Aricoin,ARI,2014-02-20
TrustPlus,TRUST,2014-07-10
Nyancoin,NYAN,2014-02-09
HoboNickels,HBN,2013-12-20
Tickets,TIX,2013-11-03
ParanoiaCoin,PARA,2015-09-25
Titcoin,TIT,2014-08-25
Denarius,DRS,2014-06-15
NanoToken,NAN,2013-07-17
SoonCoin,SOON,2015-01-27
DarkCoin,DARK,2014-12-06
Nas,NAS,2014-04-15
TurboStake,TRBO,2015-10-30
Steps,STEPS,2015-09-19
Donationcoin,DON,2014-06-15
Dobbscoin,BOB,2014-08-27
Bloodcoin,BOD,2015-06-18
ShieldCoin,SHLD,2014-07-12
Sexcoin,SXC,2013-12-08
ApexCoin,APEX,2014-07-18
GiveCoin,GIVE,2015-02-20
Pennies,CENT,2014-08-25
Unitus,UIS,2015-01-12
Lyrabar,LYB,2015-11-16
Lycancoin,LYC,2014-04-11
Truckcoin,TRK,2014-07-16
I/O Coin,IOC,2014-08-02
BitcoinFast,BCF,2014-12-06
Nxt,NXT,2013-12-04
BBQCoin,BQC,2013-05-08
Bolivarcoin,BOLI,2015-09-08
Xaurum,XAU,2015-04-21
NXE,NXE,2015-03-22
Sapience AIFX,XAI,2014-12-24
P7Coin,P7C,2015-04-17
OKCash,OK,2014-12-13
CraigsCoin,CRAIG,2014-09-30
Bytecoin,BCN,2014-06-17
OrangeCoin,OC,2014-05-12
GenesysCoin,GSY,2015-09-15
BeaverCoin,BVC,2014-10-04
MaidSafeCoin,MAID,2014-04-27
Neutron,NTRN,2015-04-21
Fetish,FETISH,2014-10-20
Quedos,QDOS,2015-11-18
Judgecoin,JUDGE,2014-07-07
Fastcoin,FST,2013-07-04
BitCrystal,BTCRY,2015-03-22
Bitcrystals,BCY,2015-09-14
Flycoin,FLY,2015-09-14
Stealthcoin,XST,2014-07-10
Sembro Token,SMBR,2014-10-20
CloakCoin,CLOAK,2014-06-06
MultiWalletCoin,MWC,2014-08-09
Deutsche eMark,DEM,2013-12-14
FlorinCoin,FLO,2013-11-27
Luckycoin,LKY,2013-06-14
Pangea Poker,PANGEA,2014-12-13
StabilityShares,XSI,2014-04-23
Viorcoin,VIOR,2014-11-23
Blocknet,BLOCK,2014-11-01
Positron,TRON,2015-04-14
QuazarCoin,QCN,2014-05-26
AmericanCoin,AMC,2013-06-09
Pesetacoin,PTC,2014-02-22
ROXcoin,ROX,2014-07-01
Dotcoin,DOT,2015-02-15
OpenSourcecoin,OSC,2014-03-15
Mincoin,MNC,2013-05-02
BitShares PTS,PTS,2013-11-21
Munne,MNE,2014-10-25
Triangles,TRI,2014-07-21
LimitedCoin,LTD,2015-09-15
Trollcoin,TRL,2014-09-30
DarkEther,DETH,2015-08-10
CAPTcoin,CAPT,2014-08-20
MetalCoin,METAL,2015-01-27
Terracoin,TRC,2013-04-28
Tether,USDT,2015-02-25
Kobocoin,KOBO,2015-02-15
Vcoin,VCN,2015-06-10
Sharkcoin,SAK,2015-03-08
USDe,USDe,2014-02-06
VootCoin,VOOT,2014-06-12
MysteryCoin,MYST,2015-02-06
Energycoin,ENRG,2014-05-15
NobleNXT,NOXT,2014-12-06
X-Coin,XCO,2015-03-05
LitecoinDark,LTCD,2014-09-11
Local Family Owned,LFO,2015-07-07
InvisibleCoin,IVZ,2015-10-12
PlanetCoin,PLANET,2015-03-22
Scotcoin,XCPSCO,2014-05-26
Horizon,HZ,2014-07-14
NXTInspect,NXTI,2014-10-09
Neocoin,NEC,2014-03-26
SPEC,SPEC,2015-07-27
XenCoin,XNC,2013-07-24
AnarchistsPrime,ACP,2015-07-13
NXTventure,NXTV,2014-09-23
NetCoin,NET,2013-12-16
NeuCoin,NEU,2015-09-25
FoldingCoin,FLDC,2014-09-16
TEKcoin,TEK,2014-05-20
PreminePlus,PMP,2014-10-20
KolschCoin,CGN,2015-04-21
Cryptographic Anomaly,CGA,2014-02-21
GetGems,GEMZ,2015-01-12
Graviton,GRAV,2015-05-03
NuBits,NBT,2014-09-23
FriendshipCoin 2,FSC2,2015-01-25
Nibble,NBL,2013-06-14
TeslaCoin,TES,2014-02-06
DeBuNe,DEBUNE,2015-02-06
CORE,CORE,2015-06-18
CorgiCoin,CORG,2014-02-21
