symbol,slug,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,normalized_total_volume,normalized_total_volume_before_max,normalized_total_volume_orig,normalized_total_volume_orig_before_max,total_volume,total_volume_before_max,total_volume_orig,total_volume_orig_before_max,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade
AM,aerocoin,AeroMe,0.038034,0.000301573,126.11871752444681,126.11871752444681,83.3684044400021,5.994281176936886,6.595077795522133,3.2769178724266035,3.426069035685717,2238.874692382477,14265.088749999999,192896.05336256383,1015972.0931460859,1226903.3314255974,399422.485,105707037.24268498,28447218.608090404,1,False,False,False,False,False,False,True,2014-07-07
TRC,terracoin,Terracoin,1.49268,0.00137151,1088.3478793446639,1088.3478793446639,533.5668710121356,14.176031307380905,24.5314784781747,26.21619723663598,26.21619723663598,2818.7043331605687,0.0,49505.39214694239,0.0,2773605.0638299994,0.0,48713305.87259131,0.0,1,False,False,False,False,False,False,False,2013-04-28
USDT,tether,Tether,1.21016,0.572521,2.113739059353281,2.113739059353281,1.21016,1.2110143116188772,1.2110143116188772,1.2101600204195777,1.2101600204195777,50602.49631470093,5.9773,50602.497168539776,4.939264229523369,15990388.835445495,5.9773,15990389.10525857,4.939264229523369,10,False,False,True,False,False,False,False,2015-02-25
KOBO,kobocoin,Kobocoin,0.00319376,9.6684e-05,33.032973397873484,13.091916753091834,2.8382166057923874,3.01562482425978,12.711372473917114,5.82654978816109,1.8222552962025893,80.23693003086417,95.30016119333331,146380.58829530957,175088.7986209686,25996.76532999999,25731.043522199994,47427310.6076803,47273975.62766152,1,False,False,False,False,False,False,False,2015-02-15
VCN,vcoin,Vcoin,0.000561227,2.29222e-05,24.48399368297982,1.78698290794233,1.78698290794233,3.223121882752651,15.616756502352901,4.854757345791244,1.5443733377459257,4.663770880568719,4.701515712499999,40342.81305341384,43141.865645512764,984.0556557999996,902.6910167999998,8512333.55427032,8283238.203938451,1,False,False,False,False,False,False,False,2015-06-10
SAK,sharkcoin,Sharkcoin,0.719913,0.0297995,24.15855970737764,8.813045373081707,7.783507996899195,3.122870275565649,3.942144592339378,2.555797598155199,2.623484095929676,1159094.3549038111,465140.88430740737,4114956.346528553,1118459.9529957224,352364683.8907586,37676411.6289,1250946729.34468,90595256.19265352,4,False,False,False,False,False,False,False,2015-03-08
NIRO,coinshield,Nexus,0.00444144,0.000759024,5.851514576614178,5.851514576614178,2.3591802912961723,2.866527231846294,2.866527231846294,2.3980118727485387,2.3980118727485387,535.140012118497,6046.47,288931.54081625614,1361376.0402031776,185158.44419299994,6046.47,99970313.12242463,1361376.0402031776,1,False,False,False,False,False,False,True,2015-01-25
USDe,usde,USDe,0.00140835,2.50207e-05,56.28739403773676,56.28739403773676,40.76396064708283,7.661567880631478,7.661567880631478,4.454689327741221,4.454689327741221,1211.255195125894,16912.5,3831267.5051645045,12008733.624454148,846667.3813929999,16912.5,2678055986.1099887,12008733.624454148,0,False,False,False,False,False,False,False,2014-02-06
TIT,titcoin,Titcoin,0.0238295,0.000250834,95.00107640909924,95.00107640909924,43.59602486653811,19.699205673857215,21.985525239907666,14.708756166433782,14.86440493236118,607.2651330661321,578.8086428571429,374834.33436063287,148324.55632534926,303025.3013999999,12154.981500000002,187042332.8459558,3114815.682832334,2,False,False,False,False,False,False,True,2014-08-25
VOOT,vootcoin,VootCoin,0.0146194,5.46235e-05,267.6393859785623,267.6393859785623,17.87770026108383,14.120791147636801,17.145531173000165,3.827236160000217,4.234761563268619,5788.898450986381,53499.546086956514,1515485.004732364,8923204.420819655,3322827.710866183,1230489.5599999998,869888392.716377,205233701.67885205,1,False,False,False,False,True,False,False,2014-06-12
