symbol,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,normalized_total_volume,normalized_total_volume_before_max,normalized_total_volume_orig,normalized_total_volume_orig_before_max,total_volume,total_volume_before_max,total_volume_orig,total_volume_orig_before_max,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade,earliest_trade_date,earliest_mention_date,network_date,num_vertices,num_edges,unweighted_density,weighted_density,unweighted_average_path_length,clustering_coefficient,average_degree,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted,nontrivial
PRIME,PrimeChain,0.0033165,0.000200744,16.5210417248,2.24386514482,1.54175499275,2.18675884301,8.10776590342,2.79991294062,1.40579265096,231.764850357,263.696000621,195664.526969,229693.960523,26652.957791,25051.120059,22501420.6015,21820926.2497,2,False,False,False,False,False,False,True,2015-09-14,2015-09-14,2015-08-11,2015-09-14,77257,928271,0.0001555246,0.0001740605,60893.34,0.04889516,24.03073,iGotSpots,1,4366,103,866,1870,1247,623,0.01828593,0.001061026,0.001062273,8.108635e-05,1.730512e-05,8.109226e-05,1.730519e-05,114568600.0,3.0,0.0003849068,0.0004439146,0.0009691007,0.001145262,1.0
XPM,Primecoin,7.26715,0.0180376,402.888965273,402.888965273,114.849530781,11.9579423635,15.0676725991,24.1725574657,24.1725574657,35605.5506077,0.0,118433.941526,0.0,32401051.053,0.0,107774886.789,0.0,10,False,False,True,False,True,True,False,2013-07-10,2013-07-11,2013-07-07,2013-07-11,14480,180245,0.0008596588,0.001017314,9989.802,0.09777551,24.89572,Sunny King,1,642,27,335,585,447,138,0.04315739,0.01171391,0.01186403,0.0008753513,0.0001040961,0.0008761024,0.0001041,2235934.0,2.0,0.001198787,0.001440692,0.002631984,0.003239622,1.0
GP,GoldPieces,0.0849185,0.000917583,92.545851438,42.1634732353,24.3582609294,5.77895726209,11.2852668705,6.17833647643,5.03852575917,232.030959844,317.265345938,16881.6611559,23566.5334304,82603.0217046,63453.0691876,6009871.3715,4713306.68608,1,False,False,False,False,False,False,True,2015-01-16,2015-01-16,2015-05-07,2015-01-16,70657,808492,0.0001619442,0.0001809712,56056.61,0.04705899,22.88498,HYPERfuture,1,503,12,236,252,229,23,0.0151574,0.001169776,0.001171136,9.385334e-05,1.870364e-05,9.386055e-05,1.87037e-05,1583076.0,4.0,0.0001029046,9.677043e-05,0.0003104018,0.0003099981,0.0
IXC,Ixcoin,0.194543,0.00242451,80.2401309955,38.2853904148,3.48126793933,5.71657693083,6.57710295468,4.87148137899,4.87148137899,1074.45966687,0.0,26905.1585492,0.0,1045449.25586,0.0,26178719.2684,0.0,0,False,False,False,False,False,False,False,2013-05-08,2013-05-08,2011-08-10,2013-05-08,10649,122651,0.001081567,0.001295628,7194.324,0.1084412,23.03521,Nasakioto,1,99,13,637,216,203,13,0.1109704,0.01526234,0.01553684,0.001053157,0.0001458221,0.001054322,0.0001458294,38748.7,2.0,0.001021979,0.001131137,0.001466047,0.001633419,0.0
MTLMC3,Metal Music Coin,0.000133427,3.79755e-06,35.1350212637,26.7057497813,10.5226340694,4.28751796243,5.10911610671,3.2282174695,3.15284464568,47.6916268775,111.670177273,1153881.47103,2669429.49782,9013.71747985,2456.7439,218083598.024,58727448.9521,2,False,False,False,False,False,False,False,2015-07-02,2015-07-02,2015-02-23,2015-07-02,75245,891638,0.0001574829,0.0001760176,59479.93,0.04786778,23.69959,metalmusiccoin,1,221,2,272,76,72,4,0.011107,0.001082164,0.001083125,8.404612e-05,1.769261e-05,8.405119e-05,1.769266e-05,140328.5,3.0,1.769814e-05,1.659274e-05,5.267402e-05,5.266084e-05,0.0
NOBL,NobleCoin,0.0011282,8.33612e-06,135.338742724,135.338742724,87.3774376927,17.9323079359,18.2657301218,11.5939971474,11.6890521812,1876.85182826,24627.5,19287550.7383,24321378.2808,1310042.57613,49255.0,13462710415.4,48642756.5615,1,False,False,True,False,False,False,False,2014-02-08,2014-02-08,2014-01-07,2014-02-08,37526,419649,0.0002980037,0.0003445574,28775.96,0.06114599,22.36577,Rofo,1,238,7,48,1051,1025,26,0.00754755,0.002633301,0.002640949,0.0002790262,3.590203e-05,0.000279088,3.590231e-05,1397571.0,3.0,0.0003231873,0.0003051701,0.001076908,0.001094443,0.0
HZT,HazMatCoin,0.00450893,1.02297e-05,440.768546487,440.768546487,32.7483948752,20.5911439838,20.5911439838,16.7930550705,16.7930550705,3.68057685208,253.572,13707.9373084,56237.7326772,975.3528658,253.572,3632603.38673,56237.7326772,1,False,False,False,False,False,False,False,2015-04-17,2015-04-17,2015-04-10,2015-04-17,73229,853503,0.0001591618,0.0001778591,57991.87,0.04749062,23.31052,HazMatCoin-Dev,1,42,3,8,85,85,0,0.02464986,0.001112191,0.001113494,8.902091e-05,1.365579e-05,8.902823e-05,1.365579e-05,0.0,4.0,9.079372e-06,8.579403e-06,3.059053e-05,3.102677e-05,0.0
XPY,PayCoin,13.1639,0.0115227,1142.4318953,1142.4318953,231.711073599,15.2199360843,23.6860510264,19.2356136039,24.371969906,60755.0101835,463583.076923,88777.6343175,47957.2613981,23512188.941,6026580.0,34356944.4809,623444.398176,5,False,False,False,False,False,False,True,2014-12-16,2014-12-16,2014-12-15,2014-12-16,69453,791819,0.0001641511,0.0001835291,55150.29,0.0470946,22.80158,manfred87,1,17,5,356,37,34,3,0.01351351,0.001210167,0.001211317,9.66214e-05,1.899419e-05,9.662761e-05,1.899427e-05,117299.8,4.0,1.47139e-05,1.307917e-05,4.11808e-05,3.983997e-05,0.0
PIGGY,Piggycoin,0.000270145,1.14162e-05,23.6633030255,23.6633030255,8.01220166861,7.25873316349,7.4989743351,2.35442598014,2.849195567,232.530115568,19215.32,2026596.62499,85278096.1596,132774.695989,57645.96,1157186672.87,255834288.479,3,False,False,True,False,False,False,False,2014-06-15,2014-06-15,2014-05-31,2014-06-15,57437,620110,0.0001879686,0.0002119676,45641.97,0.05078101,21.5927,piggycoin,1,320,4,110,339,331,8,0.003500355,0.001548186,0.001550533,0.0001248116,2.286677e-05,0.0001248231,2.286687e-05,881524.4,3.0,8.486462e-05,8.267759e-05,0.0002737,0.0002767213,0.0
FIMK,FIMKrypto,0.00242621,5.3842e-05,45.0616618996,45.0616618996,7.51627973258,3.76456350305,3.76456350305,1.59571349601,1.59571349601,8115.54854642,5624.85,5337580.15303,2318368.97878,4414858.40925,5624.85,2903643603.25,2318368.97878,2,False,False,False,False,False,False,False,2014-07-12,2014-07-12,2014-05-31,2014-07-12,59950,654712,0.0001821679,0.0002049699,47733.02,0.04978944,21.84193,Eliphaz Fimk,1,81,2,42,124,123,1,0.002491477,0.001457568,0.001459094,0.0001157898,1.668085e-05,0.0001157964,1.668085e-05,280.25,4.0,3.0819e-05,2.710366e-05,0.000106197,0.0001007765,0.0
