symbol,slug,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade
MRY,murraycoin,Murraycoin,2.84719e-05,4.3e-07,66.21372093023255,66.21372093023255,35.150493827160496,9.214551272894827,11.893567976655913,3.585132969768655,4.704796331798792,70030,1,False,False,False,True,False,False,False,2014-03-03
JAY,jay,Jay,0.00116235,2.27481e-05,51.096575098579656,51.096575098579656,51.096575098579656,1.4013416190048447,1.3093479989921728,1.351865856639225,1.2170576637728756,6841,1,False,False,False,False,False,False,False,2015-04-17
MMNXT,mmnxt,MMNXT,8.61884e-05,1.51308e-05,5.6962222750945095,5.6962222750945095,5.6962222750945095,1.4779649961118244,1.5414342513392918,1.4465891510965443,1.5424732875879508,180112,2,False,False,True,False,False,False,False,2014-10-22
URO,uro,Uro,0.0207005,3.74026e-05,553.4508296214701,553.4508296214701,553.4508296214701,14.121502154277827,14.182512561062774,2.5756982495668646,2.4918556239248106,8620052,5,False,False,True,True,False,False,True,2014-06-12
MRS,marscoin,Marscoin,3.71236e-05,4.49975e-07,82.50147230401689,82.50147230401689,25.60248275862069,5.087097939471815,7.157037446489302,2.5231965268112195,3.5785859280030254,90714,1,False,False,True,False,False,False,False,2014-02-24
020,o2olondoncoin,020LondonCoin,6.039e-10,7.66e-11,7.883812010443863,7.883812010443863,5.49,2.5951288513274573,2.558208495398005,2.253992258668387,2.1556332436987153,386,2,False,False,False,False,False,False,False,2015-09-15
QBK,qibuck,Qibuck,0.000741537,7e-05,10.593385714285715,10.593385714285715,3.8954454717377605,4.068065168016271,4.377641824296413,2.0976249278336287,1.7927291537425853,163586,1,False,False,True,False,False,False,False,2014-08-17
DIGS,diggits,Diggits,0.05,1.50028e-07,333271.1227237583,333271.1227237583,147058.82352941178,13.824028874597408,23.091073218131356,3.6417044615260417,5.176904153964356,567648,1,False,False,False,False,False,False,True,2015-07-16
MRC,microcoin,microCoin,3.02293e-08,2.495e-10,121.15951903807616,121.15951903807616,7.745541662396229,5.056260052501613,5.117851832745103,1.5429615363781044,1.5593596955750606,310043,2,False,False,False,False,False,False,False,2014-03-03
UTIL,utilitycoin,UtilityCoin,0.000176489,1.11e-06,158.9990990990991,158.9990990990991,158.9990990990991,9.223135656850598,9.437771283632811,1.6618604700762445,1.6939880349660432,468381,1,False,False,False,True,False,False,False,2014-09-30
VIA,viacoin,Viacoin,0.000599348,9.48209e-06,63.20842767786427,63.20842767786427,63.20842767786427,4.363676867249819,4.776498438523962,1.9381120405784007,1.7608514616690705,6217938,6,False,False,True,True,False,True,True,2014-07-18
DBL,doubloons,Doubloons,0.000368007,1.05334e-06,349.3715229650445,349.3715229650445,349.3715229650445,17.83852941815354,23.05000670511428,46.40382346407995,46.40382346407995,5807,1,False,False,False,True,False,False,False,2013-07-04
MMBTCD,mmbtcd,MMBTCD,0.000489496,0.000210929,2.320667143920466,2.320667143920466,2.320667143920466,1.1891065291470124,1.2370475388997138,1.0811205955989855,1.0948390152771377,267,1,False,False,False,False,False,False,False,2015-07-07
SFR,saffroncoin,SaffronCoin,3.51752e-05,1.27e-06,27.69700787401575,27.69700787401575,27.69700787401575,3.860421164016002,4.59350772579108,1.6569941174396217,1.607494782251929,851699,1,False,False,False,True,False,False,False,2014-06-15
8BIT,8bit,8Bit,0.00317042,3.5169e-05,90.14814182945207,90.14814182945207,90.14814182945207,7.477558071505021,7.533170645087126,2.077373894773155,1.9959737601138414,93779,4,False,False,False,True,False,False,True,2015-04-18
APC,applecoin,Applecoin,0.000202467,1.25004e-05,16.196841701065566,16.196841701065566,5.7982067018147765,4.603400495343532,4.728950293314808,2.3178935962447027,2.5670823769293127,6018011,1,False,False,False,False,True,False,False,2014-02-09
NIRO,coinshield,Nexus,1.80205e-05,3.19934e-06,5.632567967143224,5.632567967143224,4.923633879781421,2.6104987382188365,2.6104987382188365,1.9717477460255142,1.9717477460255142,141628,1,False,False,False,False,False,False,True,2015-01-25
