network_date,num_vertices,num_edges,unweighted_density,weighted_density,unweighted_average_path_length,clustering_coefficient,average_degree
2015-11-09,78540,950647,0.0001541124,0.0001726872,3.867182,0.04953501,24.20797
2015-02-28,71898,830274,0.0001606156,0.0001795297,3.8793,0.0472444,23.09589
2014-09-17,65263,732294,0.0001719299,0.0001926062,3.890809,0.04823675,22.44132
2015-05-04,73771,862513,0.0001584872,0.0001771063,3.877309,0.04747235,23.38352
2014-09-16,65185,731290,0.0001721053,0.0001928139,3.892085,0.04825174,22.43737
2015-01-16,70657,808492,0.0001619442,0.0001809712,3.884199,0.04705899,22.88498
2013-12-28,24982,294845,0.0004724321,0.0005462946,3.602039,0.07525814,23.6046
2015-09-15,77285,928689,0.0001554819,0.000174014,3.868395,0.04889379,24.03284
2015-07-25,75849,902794,0.0001569238,0.0001754349,3.873018,0.04816183,23.80503
2014-06-03,56269,602887,0.0001904134,0.0002150076,3.888323,0.05138151,21.42874
2015-05-24,74263,872201,0.000158138,0.0001767479,3.875988,0.04758216,23.4895
2015-05-25,74269,872271,0.000158138,0.0001767479,3.875988,0.04758216,23.4895
2015-04-30,73642,860322,0.000158639,0.0001772684,3.877383,0.04749156,23.36498
2014-06-24,58183,631525,0.0001865513,0.0002102438,3.888474,0.05051362,21.70823
2015-09-01,76857,922526,0.0001561751,0.0001747397,3.870195,0.04878564,24.0063
2013-12-06,19858,246042,0.0006239334,0.0007302236,3.483788,0.08570906,24.78014
2013-07-04,14195,176620,0.0008765346,0.00103714,3.403225,0.09857196,24.88482
2014-08-23,63441,707573,0.000175805,0.0001971766,3.894305,0.04870465,22.30649
2014-08-17,62915,700623,0.0001770011,0.0001986019,3.896036,0.04882935,22.27205
2014-10-11,66612,751011,0.0001692549,0.0001895487,3.888591,0.04791846,22.54882
2014-09-14,65058,729410,0.0001723337,0.0001930951,3.893109,0.04829414,22.42338
2015-08-26,76718,919854,0.0001562875,0.0001748533,3.870523,0.04871924,23.98014
2014-06-23,58096,630133,0.000186698,0.0002104257,3.889078,0.05055379,21.69282
2015-10-30,78311,946281,0.0001543031,0.0001728621,3.867104,0.04933957,24.16726
2015-03-27,72660,843497,0.0001597691,0.0001785494,3.881097,0.0473395,23.21764
2014-10-01,66126,743997,0.0001701479,0.0001905421,3.88842,0.04799581,22.5024
2014-08-26,63722,710890,0.0001750748,0.0001963364,3.894016,0.04865018,22.31223
2013-12-04,19556,243419,0.0006364942,0.0007455227,3.474677,0.08647972,24.89456
2015-01-25,70897,812530,0.000161653,0.0001806533,3.882381,0.04708124,22.92142
2014-09-07,64582,722813,0.0001733018,0.0001942332,3.895365,0.04841534,22.38435
2014-07-01,58903,640584,0.0001846296,0.0002079112,3.88785,0.0502232,21.75047
2013-12-17,21919,265459,0.0005525301,0.0006424724,3.534744,0.08091455,24.22182
2015-08-04,76121,907915,0.0001566882,0.0001751966,3.871843,0.04827817,23.85452
2015-05-18,74154,869774,0.0001581748,0.0001767743,3.876241,0.04752246,23.45859
2014-05-11,53172,569249,0.0002013429,0.0002279899,3.873308,0.05280961,21.41161
2015-03-26,72633,843041,0.0001598015,0.0001785892,3.881145,0.04733938,23.21372
2014-11-01,67720,766353,0.0001671071,0.0001870205,3.892857,0.04760247,22.63299
2013-12-31,25724,303837,0.0004591596,0.0005308415,3.620361,0.07393132,23.62284
2014-02-02,35510,407983,0.0003235495,0.0003747679,3.761988,0.06250931,22.97848
2014-01-14,29086,350194,0.0004139432,0.0004794754,3.670364,0.06930544,24.0799
2013-07-17,14695,183420,0.0008493907,0.001005403,3.405656,0.09738758,24.96359
2013-11-03,17297,221256,0.0007395261,0.0008718185,3.432829,0.09215457,25.58316
2014-11-08,68029,770941,0.0001665839,0.0001863928,3.891779,0.04751595,22.66507
2015-05-06,73828,863739,0.0001584675,0.0001770838,3.877465,0.0474691,23.39868
2015-04-24,73441,856992,0.0001588911,0.0001775515,3.878562,0.04750452,23.33824
2015-02-20,71638,825745,0.0001609011,0.0001798239,3.88027,0.04718493,23.05327
2014-03-18,45430,489129,0.0002369943,0.0002707023,3.844256,0.05671886,21.5333
2015-07-21,75720,900593,0.0001570751,0.0001755912,3.873465,0.04809168,23.78745
2014-01-16,29498,356640,0.0004098688,0.0004752176,3.672729,0.06837377,24.18062
2014-09-11,64885,726932,0.0001726653,0.0001934818,3.893095,0.04835386,22.40678
2015-09-05,76964,924406,0.0001560585,0.0001746226,3.870025,0.04885735,24.02178
2014-04-11,48742,525066,0.0002210076,0.0002514335,3.846801,0.05489887,21.5447
2015-03-19,72440,839781,0.0001600329,0.0001788481,3.878854,0.04732657,23.18556
2015-09-04,76930,923920,0.0001561144,0.0001746818,3.870144,0.04883239,24.01976
2013-05-09,10764,124103,0.001071112,0.001282065,3.351059,0.1078251,23.0589
2015-10-01,77710,935213,0.0001548662,0.0001733763,3.867959,0.04905214,24.06931
2015-03-08,72129,834473,0.0001603956,0.000179281,3.879149,0.04730899,23.13835
2013-12-08,20159,248701,0.0006119833,0.0007155609,3.492387,0.08491853,24.67394
2014-04-03,47961,515381,0.0002240536,0.0002550094,3.851945,0.05533605,21.49167
2015-08-07,76202,909453,0.0001566201,0.0001751373,3.871782,0.04833705,23.86953
2013-12-19,22406,269438,0.0005366983,0.0006232052,3.546991,0.08003471,24.05052
2013-07-10,14434,179629,0.0008621901,0.001020243,3.40442,0.0979433,24.8897
2014-10-07,66409,748192,0.0001696521,0.0001899835,3.888714,0.04793769,22.53285
