symbol,name,children_amount,algorithm,technical,premine,pos
AID,Aidcoins,0,Scrypt,0,1,1
M.J,M.JCoin,0,Scrypt,0,1,1
numc,Numbercoin,0,Scrypt,0,1,1
RC,Russiacoin,0,Scrypt,0,1,1
CZC,Czechcoin,0,Multi-algo,1,0,0
Kool,Koolio Coin,0,Scrypt,0,0,1
RSC,RescueCoin,0,Scrypt,0,0,1
LTCD,LitecoinDark,0,Scrypt,0,1,0
CPTL,CapitalCoin,0,Scrypt,0,0,1
BMY,Bitmoney,0,Scrypt,0,0,1
LNKC,LINKCOIN,0,Scrypt,0,0,0
BLP,blueplanet coin,0,Scrypt,0,1,0
EVC,Evolvecoin,0,Scrypt,0,0,0
GB,GreenBacks,0,Scrypt,0,1,1
SYS,Syscoin,0,Scrypt,0,1,0
BUY,BuyCoin,0,Scrypt,0,1,0
ROOT,ROOTCOIN,0,Scrypt,0,0,1
TRDR,Trader Coin,0,Scrypt,0,1,0
MANA,Mana,0,Scrypt,0,0,0
SHADE,Shade,0,Scrypt,0,1,1
XBOT,SocialxBot,0,Scrypt,0,1,1
CGA,Crytographic Anomaly,0,Scrypt,0,1,0
BTLS,BitLitS,0,Scrypt,0,1,0
VAC,Vanadiumcoin,0,Scrypt,0,0,1
SLK,SleakCoin,0,Scrypt,0,0,0
DOLLAR,DollarCoin,0,Scrypt,0,1,0
SNG,Songcoin,0,Scrypt,0,1,0
DPC,DarkPeer,0,Scrypt,0,0,1
MTLMC,Metal Music Coin,0,Scrypt,0,1,1
SEED,Seedcoin,0,Scrypt,0,0,1
SMBR,Sembro Token,0,Scrypt,0,0,1
C2,Coin2,0,Scrypt,0,1,1
ONE,1Coin,0,Multi-algo,1,0,0
DBU,DuBeUcoin,0,Scrypt,0,0,0
VTR,vTorrent,0,Scrypt,0,1,1
INS,Insanity,0,Scrypt,0,1,0
DIBS,VIRTUALDIBS,0,Scrypt,0,1,0
DGMS,Digigems,0,Scrypt,0,0,0
FSC2,Friendshipcoin2,0,Scrypt,0,0,1
DIGI,DIGI,0,Scrypt,0,1,0
CARSI,Carsicoin,0,Scrypt,0,0,1
XTR,Extractcoin,0,Scrypt,0,1,0
EMC2,Einsteinium,0,Scrypt,0,0,0
DDC,Dokdocoin,0,Scrypt,0,1,0
BRD,Birdcoin,0,Scrypt,0,1,0
EMO,Emoticoin,0,Scrypt,0,0,0
EUC,Eurocoin,0,Scrypt,0,1,0
KIMO,KimoCoin,0,Scrypt,0,1,0
RUP,RupayaCoin,0,Scrypt,0,1,0
LEL,ComedyGold,0,Scrypt,0,0,0
GIAR,Giarcoin,0,Scrypt,0,0,0
FOF,FourOhFourCoin,0,Scrypt,0,0,0
NLG,Guldencoin,0,Scrypt,0,1,0
BUN,BunnyCoin,0,Scrypt,0,0,1
LQC,Liquidcoin,0,Scrypt,0,0,0
DVC,Devcoin,1,SHA-256d,0,0,0
STY,Stories,0,SHA-256d,0,0,0
FRC,Freicoin,1,SHA-256d,0,0,0
ZTC,Zenithcoin,0,Scrypt,1,0,0
PPC,Peercoin,3,SHA-256d,0,0,1
NVC,Novacoin,27,Scrypt,1,0,1
YAC,Yacoin,17,Scrypt,0,0,0
ONC,Onecoin,0,Scrypt,0,0,0
ZCC,ZcCoin,0,Scrypt,0,0,1
FRE,Freecoin,0,Scrypt,0,0,1
CENT,Pennies,0,Scrypt,0,1,0
APC,Applecoin,0,Scrypt,0,0,1
ECO,Ecocoin,0,Scrypt,0,1,1
KING,KingCoin,0,Multi-algo,1,0,1
PGC,Pangucoin,0,Scrypt,0,1,0
MRC,Microcoin,0,Scrypt,0,0,1
CACH,CACHeCoin,0,Scrypt,0,0,0
VTC,Vertcoin,1,Scrypt,0,1,0
ALT,Altcoin,0,Scrypt,0,1,0
QQC,QQcoin,0,Scrypt,0,0,0
JPU,J-coin,0,Scrypt,0,1,1
None,Thorcoin,0,Scrypt,0,1,1
FATE,Fatecoin,0,Scrypt,0,0,0
HRC,Herocoin,0,Scrypt,0,0,0
MCC,MadCowCoin,0,Scrypt,0,1,1
BTG,Bitgem,0,Scrypt,0,0,1
BITB,BitBar,0,Scrypt,0,0,1
PHS,Philosopherstone,0,Scrypt,0,0,1
CGB,CryptogenicBullion,0,Scrypt,0,1,1
DMD,Diamond,2,Scrypt,0,0,1
GRW,Growthcoin,0,Scrypt,0,0,1
BAC,Basecoin,0,Scrypt,0,0,1
CAP,Bottlecaps,1,Scrypt,0,0,1
LBW,Lebowskis,0,Scrypt,0,0,1
HBN,HoboNickels,0,Scrypt,0,0,1
CMC,Cosmoscoin,1,Scrypt,0,0,1
PYC,Paycoin,0,Scrypt,0,0,1
CDC,Cloudcoin,0,Scrypt,0,1,1
GLX,Galaxycoin,0,Scrypt,0,0,1
NEC,Neocoin,0,Scrypt,0,0,1
TAG,Tagcoin,0,Scrypt,0,1,1
LK7,Lucky7Coin,0,Scrypt,0,0,0
SAV,Savingcoin,0,Scrypt,0,0,1
PPL,Peoplecoin,0,Scrypt,0,0,1
SHT,Shitcoin,0,Scrypt,0,0,1
CIN,Cinnamoncoin,0,Scrypt,0,0,1
BOC,Bountycoin,0,SHA-256d,1,1,1
TEK,Tekcoin,0,SHA-256d,1,0,1
NIG,Nigeriacoin,0,SHA-256d,1,0,1
GRA,Graincoin,0,Scrypt,0,1,1
UFC,FederationCredits,0,Scrypt,0,1,1
XMAS,Xmascoin,0,Scrypt,0,0,1
MINT,Mintcoin,0,Scrypt,0,1,1
BC,Blackcoin,0,Scrypt,0,0,1
ZEIT,Zeitcoin,0,Scrypt,0,1,1
QBT,Qubits,0,SHA-256d,0,1,1
FLT,Fluttercoin,0,Scrypt,1,0,1
TRC,Terracoin,0,SHA-256d,0,0,1
BTE,Bytecoin,0,SHA-256d,0,0,0
XPM,Primecoin,3,Others,1,0,0
DTC,Datacoin,0,Others,0,0,0
CDN,CDNcoin,0,Others,0,0,0
FTW,pNUT,0,Others,0,1,0
MEG,Memorycoin,0,Scrypt,1,1,0
ZET,Zetacoin,4,SHA-256d,0,0,0
TEA,Teacoin,0,SHA-256d,0,0,0
MYR,Myriadcoin,0,Multi-algo,1,0,0
CHC,Chaincoin,0,Multi-algo,1,0,0
MZC,Mazacoin,0,SHA-256d,0,0,0
SIC,Sifcoin,1,Quark,1,0,0
QRK,Quark,23,Quark,0,0,0
OBC,Obamacoin,0,SHA-256d,1,0,0
RVD,RVDcoin,0,Quark,0,0,0
FZ,Frozencoin,0,Quark,0,0,0
