coin, max_price, min_price, severity_to_min_price, severity_to_min_price_after_max, severity_to_last, severity_to_average, severity_to_average_after_max, severity_to_average_volume_weighted, severity_to_average_after_max_volume_weighted
RBY, 0.00032504, 7.905e-05, 4.11182795699, 1.0, 1.0, 1.47383180504, 1.0, 2.01928116345, 1.0
DOPE, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
RBT, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
RBR, 8.1e-07, 2e-07, 4.05, 4.05, 3.24, 1.51458489155, 1.54041204437, 1.98243121876, 1.98566337629
SLR, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
MLS, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
SLG, 8.286e-05, 9.88e-06, 8.38663967611, 8.38663967611, 5.58355795148, 3.90320730758, 3.91970540713, 4.21045486498, 4.23362434847
U, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
MCN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
NRB, 0.00018701, 1e-06, 187.01, 130.776223776, 69.5204460967, 10.6654457473, 13.0933649135, 7.10361926294, 8.23099540912
JPC, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
HUC, 6.998e-05, 2.76e-06, 25.3550724638, 25.3550724638, 9.33066666667, 5.02885537909, 5.33844403036, 5.60193630714, 5.91017618529
QB, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
BDSM, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
NRS, 0.00028438, 8e-06, 35.5475, 35.5475, 7.1041718711, 5.04691901496, 5.62838866486, 4.69113056507, 5.7269625748
AXR, 1.515e-05, 1.2e-06, 12.625, 4.61890243902, 3.09183673469, 3.69753203307, 2.83888238247, 2.03092412612, 1.41978296083
EXE, 9.386e-05, 5.3e-07, 177.094339623, 177.094339623, 125.146666667, 12.8584022999, 13.1655391365, 7.53236523997, 7.58893057016
CKC, 2.441e-05, 4.3e-07, 56.7674418605, 56.7674418605, 48.82, 5.12778438986, 5.35572589492, 6.50052493096, 7.76892243401
EAGS, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
HBN, 0.000485, 6.5e-06, 74.6153846154, 16.5529010239, 15.554842848, 6.25047641502, 7.59083793387, 6.07395419817, 6.86905095552
BSTY, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
RIN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
CANN, 0.00013859, 7.54e-06, 18.3806366048, 18.3806366048, 14.8066239316, 8.53901313547, 9.12493091079, 5.88275976427, 6.87883345834
CLR, 0.00068, 1.15e-06, 591.304347826, 591.304347826, 485.714285714, 8.29329734743, 8.35192143406, 12.1896410606, 12.9957114629
RIC, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
