symbol,name,ann
FUNK,Cypherfunk,https://bitcointalk.org/index.php?topic=469407.0
VMP,Vampirecoin,https://bitcointalk.org/index.php?topic=455690.0
LYC,Lycancoin,https://bitcointalk.org/index.php?topic=455770.0
ZMB,Zombiecoin,https://bitcointalk.org/index.php?topic=455703.0
MVC,Moviecoin,https://bitcointalk.org/index.php?topic=466953.0
RBY,Rubycoin,https://bitcointalk.org/index.php?topic=459622.0
PHI,Phicoin,https://bitcointalk.org/index.php?topic=449104.0
BLA,Bladecoin,https://bitcointalk.org/index.php?topic=452956.0
FRY,Frycoin,https://bitcointalk.org/index.php?topic=449648.0
RPD,Rapidcoin,https://bitcointalk.org/index.php?topic=448291.0
LMC,Lemoncoin,https://bitcointalk.org/index.php?topic=456597.0
ANT,Antimatter,https://bitcointalk.org/index.php?topic=460112.0
BEE,Beecoin,https://bitcointalk.org/index.php?topic=461550.0
CARB,Carboncoin,https://bitcointalk.org/index.php?topic=526031.0
SHC,Scherlockcoin,https://bitcointalk.org/index.php?topic=454981.0
VGC,Vegascoin,https://bitcointalk.org/index.php?topic=466312.0
FSC,Friendshipcoin,https://bitcointalk.org/index.php?topic=461358.0
EQB,EquestrianBit,https://bitcointalk.org/index.php?topic=471712.0
PENG,Penguincoin,https://bitcointalk.org/index.php?topic=442876.0
ONI,Onioncoin,https://bitcointalk.org/index.php?topic=449964.0
PCC,Polishcoin,https://bitcointalk.org/index.php?topic=461130.0
VNC,Verncoin,https://bitcointalk.org/index.php?topic=465274.0
TAXI,Taxicoin,https://bitcointalk.org/index.php?topic=475815.0
BLL,Billaume,https://bitcointalk.org/index.php?topic=448528.0
MCR,Macrocoin,https://bitcointalk.org/index.php?topic=455269.0
MRS,Marscoin,https://bitcointalk.org/index.php?topic=416486.0
LTB,Litebar,https://bitcointalk.org/index.php?topic=461108.0
XXL,XXLcoin,https://cryptocointalk.com/topic/4107-xxlcoin-xxl-information/
SDM,Spodermancoin,https://bitcointalk.org/index.php?topic=450897.0
PAND,Pandacoin,https://bitcointalk.org/index.php?topic=399127.0
RDD,Reddcoin,https://bitcointalk.org/index.php?topic=423597.0
YACC,YACCoin,https://cryptocointalk.com/topic/4989-feb-12th-2014-yaccoin-launched/
PRC,Prospercoin,https://bitcointalk.org/index.php?topic=438433.0
