symbol,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,normalized_total_volume,normalized_total_volume_before_max,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted
FFC,FireFlyCoin,3.30028e-07,4.98093e-08,6.62583091913,6.60056,6.60056,2.91863799523,3.31885548788,2.91712768181,2.58161700346,243372.935804,440674.480809,106110600.01,0,False,False,False,False,False,False,False,2014-10-26,2014-10-26,2013-12-30,2014-10-26,Investment,1,51,1,315,23,2,21,0.08300395,0.001251261,0.001253777,0.00010138,1.95135e-05,0.0001013865,1.951358e-05,23.91667,4.0,1.983178e-06,1.787485e-06,5.440928e-06,5.132966e-06
BEN,Benjamins,9.46108e-05,9e-07,105.123111111,105.123111111,52.5615555556,18.1233773978,21.3413594074,8.29130367793,14.7768778938,5835.54202093,26937.5851692,3956497.49019,0,False,False,False,False,False,False,False,2014-02-27,2014-02-27,2014-02-02,2014-02-27,AllAboutTheBenjaminsBaby,1,422,10,25,102,79,23,0.02756154,0.002114523,0.002118851,0.0002268535,3.198815e-05,0.0002268911,3.198844e-05,181276.1,3.0,4.185698e-05,3.83206e-05,0.0001283639,0.00012283
GUE,Guerillacoin,0.000198316,8.41514e-07,235.665716791,235.665716791,134.908843537,18.990847966,22.4216035066,3.04560048037,3.84611775878,57626.5010314,1184909.56359,32386093.5796,0,False,False,False,False,False,False,False,2014-06-23,2014-06-23,2014-06-17,2014-06-23,guerillacoin,1,21,1,6,134,134,0,0.00392773,0.001510523,0.001512092,0.0001226216,1.721289e-05,0.0001226319,1.721289e-05,0.0,3.0,0.0001281497,0.0001105881,0.0001339647,0.0001337646
EVO,Evotion,1.19993e-05,1.09974e-07,109.11033517,109.11033517,16.2144157267,8.25362431933,17.7982431639,7.52768731816,9.15029956265,2213619.28072,1311988.12114,59767720.5793,1,False,False,False,False,False,False,False,2015-12-09,2015-12-09,2015-11-24,2015-12-09,Evo Shi Un,1,1,1,15,46,46,0,0.07149758,0.001039278,0.001040112,7.965351e-05,1.260668e-05,7.965756e-05,1.260668e-05,0.0,4.0,2.24121e-05,1.966962e-05,6.748786e-05,6.386877e-05
DTC,Datacoin,0.00114352,2.75359e-06,415.283321046,415.283321046,309.828168266,13.7475358427,15.2495863451,29.8053963665,29.8053963665,28713.980399,0.0,21822625.1033,2,False,False,False,False,False,True,False,2013-12-07,2013-12-07,2013-11-05,2013-12-07,oocook5u,1,27,1,32,94,93,1,0.06194483,0.005990861,0.006021124,0.0005987729,7.288708e-05,0.0005990268,7.288944e-05,19995.75,3.0,7.433123e-05,5.82849e-05,0.0002207069,0.0001896134
CME,Cashme,3.00114e-08,9.99278e-09,3.00330838866,3.00330838866,1.50048747319,1.42730089905,1.42730089905,1.2748747701,1.2748747701,1876320.09975,29129747.7313,82558084.389,1,False,False,False,False,False,False,False,2015-11-23,2015-11-23,2015-08-29,2015-11-23,stewpak,1,10,1,86,46,43,3,0.06868687,0.001037071,0.001037977,7.99791e-05,1.694406e-05,7.998406e-05,1.694411e-05,144681.3,4.0,2.727868e-05,2.495589e-05,8.401452e-05,8.282453e-05
007,007Coin,0.000823021,2.06e-06,399.524757282,399.524757282,262.108598726,55.8538736288,55.8538736288,38.6993456249,38.6993456249,26951.6352596,1602.44040715,6953521.89698,1,False,False,False,False,False,False,False,2015-04-23,2015-04-23,2015-04-21,2015-04-23,007coin,1,7,1,2,51,51,0,0.03607843,0.00110972,0.001110676,8.846257e-05,1.362231e-05,8.846835e-05,1.362231e-05,0.0,3.0,1.133396e-05,9.833791e-06,3.433447e-05,3.238896e-05
GUN,Guncoin,2.87542e-06,5.64799e-08,50.9105009039,50.9105009039,35.9452661686,12.4240471057,12.6349649467,3.79755489787,3.81050690643,176520.504926,2931699.26118,106794905.481,3,False,False,False,False,False,False,False,2014-05-11,2014-05-11,2014-03-03,2014-05-11,guncoin_support,1,96,1,69,133,133,0,0.003531556,0.001612741,0.001614539,0.0001427708,1.880689e-05,0.0001427835,1.880689e-05,0.0,4.0,3.930495e-05,3.436092e-05,0.000121986,0.000115565
YBC,YbCoin,0.00681789,0.000737414,9.24567474987,9.24567474987,4.76642197987,2.43981752921,2.58836283299,2.45585170475,2.45629669448,40205.1958682,282.877162158,28947741.0251,6,False,False,False,False,True,False,True,2014-01-16,2014-01-16,2013-07-03,2014-01-16,mikaelh,1,142,4,213,292,282,10,0.04339677,0.003791633,0.003806225,0.0003578132,4.756541e-05,0.0003579197,4.756593e-05,143459.6,3.0,0.0003057855,0.0003106371,0.0006953239,0.0007480907
BET,BetaCoin,0.000200238,3.1e-07,645.929032258,645.929032258,588.935294118,25.6421513309,29.1094899945,37.1514148763,37.1514148763,76202.4944944,0.0,57304275.8598,0,False,False,False,False,False,False,False,2013-12-14,2013-12-14,2013-10-30,2013-12-14,betacoindev,1,84,4,45,109,104,5,0.01885831,0.005075231,0.00509587,0.000556415,6.799609e-05,0.0005566784,6.799732e-05,103843.6,4.0,0.0001327978,0.000121608,0.0004154721,0.0004110695
