symbol,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted,nontrivial
ROS,RosCoin,1.25743e-06,3e-08,41.9143333333,41.9143333333,8.98164285714,6.04366651734,6.46265281364,2.22892045063,2.41280786427,120230,1,False,False,False,False,False,False,True,2014-09-30,2014-09-30,2014-09-05,godivacoin,1,77,3,1,3,3,0,0.0,0.001346221,0.001347817,0.0001070968,1.549667e-05,0.0001071055,1.549667e-05,0.0,6.0,9.965274e-07,9.115379e-07,3.863839e-06,3.797601e-06,0.0
MAX,MaxCoin,0.00428743,1.69782e-05,252.525591641,252.525591641,248.556753028,30.3830608045,33.2417961435,1.97272189785,2.45825825171,35949859,9,False,False,False,True,False,True,True,2014-02-12,2014-02-12,2014-01-30,maxcoinproject,1,2,1,1,147,147,0,0.01509645,0.003049752,0.003056286,0.0003070312,2.880018e-05,0.0003070883,2.880018e-05,0.0,3.0,0.0001340393,0.0001165422,0.000352407,0.0003318815,0.0
FFC,FireFlyCoin,3.30028e-07,4.98093e-08,6.62583091913,4.12535,4.12535,2.55002126543,2.11669740915,2.04865297438,1.67769087567,2455,1,False,False,False,True,False,False,False,2014-10-26,2014-10-26,2014-01-16,argakiig,1,271,8,25,11,0,11,0.2181818,0.003814267,0.00382522,3.386043e-05,4.750889e-05,3.386043e-05,4.750934e-05,0.0,inf,1.779803e-06,1.616556e-06,6.851081e-06,6.747714e-06,0.0
GUA,Guarany,0.00212737,6.1e-06,348.749180328,348.749180328,227.769807281,15.6966762384,17.396307983,1.90859903367,2.53895587502,8563,1,False,False,False,False,False,False,False,2014-11-23,2014-11-23,2014-12-21,guaranycrypto,1,0,0,1,3,3,0,0.3333333,0.001218598,0.001220052,9.643464e-05,1.434741e-05,9.644e-05,1.434741e-05,0.0,5.0,2.658177e-06,2.464447e-06,8.624916e-06,8.550606e-06,0.0
BEN,Benjamins,9.49095e-05,9e-07,105.455,105.455,18.0093927894,16.5130163315,19.1357960798,3.65568490955,8.06246195877,23233,1,False,False,False,True,False,False,False,2014-02-27,2014-02-27,2014-02-03,AllAboutTheBenjaminsBaby,1,415,10,1,26,25,1,0.03384615,0.002914086,0.002921265,0.0002976656,3.771871e-05,0.0002977492,3.771899e-05,9458.333,4.0,1.067567e-05,9.096778e-06,3.67545e-05,3.389358e-05,0.0
GUE,Guerillacoin,0.000212307,1.0186e-06,208.430198311,208.430198311,46.9705752212,16.3511183878,19.4708431561,1.55338412088,1.48797907946,1273921,2,False,False,False,True,False,False,False,2014-06-23,2014-06-23,2014-06-18,guerillacoin,1,21,1,1,6,6,0,0.0,0.00153502,0.001536844,0.0001242423,1.730852e-05,0.0001242505,1.730852e-05,0.0,4.0,1.596563e-06,1.420926e-06,5.649335e-06,5.436087e-06,0.0
DTC,Datacoin,0.00114352,2.75377e-06,415.256176079,415.256176079,164.364974415,10.915035962,12.0145464446,5.44382779938,5.44382779938,424591,2,False,False,False,False,False,True,False,2013-12-07,2013-12-07,2013-12-04,mstfck,1,38,4,11,10,6,4,0.3611111,0.006267815,0.006335975,0.0006208276,7.492404e-05,0.000621407,7.492696e-05,7311.588,4.0,9.892378e-06,1.042668e-05,3.274891e-05,3.633174e-05,0.0
GUN,Guncoin,2.87542e-06,5.99469e-08,47.9661166799,47.9661166799,31.9518092639,10.0153349629,10.1879456296,1.47705924234,1.47835123913,34373,3,False,False,False,False,False,False,False,2014-05-11,2014-05-11,2014-03-04,guncoin_support,1,96,1,1,0,0,0,0.0,2.335466e-05,2.335466e-05,2.335466e-05,2.335466e-05,2.335466e-05,2.335466e-05,0.0,inf,1.251571e-06,1.142853e-06,4.99255e-06,4.910684e-06,1.0
YBC,YbCoin,0.00681789,0.000737414,9.24567474987,9.24567474987,3.07175811204,2.32385368666,2.39838494183,2.05651744813,2.05817683656,19221329,6,False,False,False,False,True,False,False,2014-01-16,2014-01-16,2013-07-04,mikaelh,1,142,4,17,20,16,4,0.1684211,0.01146983,0.01161472,0.0008684681,0.0001065098,0.0008690897,0.0001065127,45.03333,4.0,1.911836e-05,1.643221e-05,5.759337e-05,5.366801e-05,0.0
BET,BetaCoin,0.000200238,5.2e-07,385.073076923,385.073076923,185.405555556,19.7958054794,22.3499084688,7.02457786845,7.02457786845,166065,1,False,False,False,True,False,False,False,2013-12-14,2013-12-14,2013-10-31,betacoindev,1,84,4,1,11,11,0,0.03636364,0.009141163,0.009226219,0.0007074489,5.819367e-05,0.000707972,5.819367e-05,0.0,4.0,4.209249e-05,3.450538e-05,0.0001248626,0.0001100885,0.0
