symbol,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,normalized_total_volume,normalized_total_volume_before_max,normalized_total_volume_orig,normalized_total_volume_orig_before_max,total_volume,total_volume_before_max,total_volume_orig,total_volume_orig_before_max,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted,nontrivial
NOBL,NobleCoin,1.63082e-06,3e-08,54.3606666667,54.3606666667,54.3606666667,11.7568249771,11.8985392303,7.74094495665,7.77991995626,4.0633958349,35.5569243293,19287550.7383,24321378.2808,2836.25029276,71.1138486586,13462710415.4,48642756.5615,1,False,False,True,False,False,False,False,2014-02-08,2014-02-08,2014-01-07,2014-02-08,Rofo,1,238,7,48,1051,1025,26,0.00754755,0.002633301,0.002640949,0.0002790262,3.590203e-05,0.000279088,3.590231e-05,1397571.0,3.0,0.0003231873,0.0003051701,0.001076908,0.001094443,0.0
HZT,HazMatCoin,1.99077e-05,4.0008e-08,497.592981404,497.592981404,62.2115625,21.5405875563,21.5405875563,17.5882030034,17.5882030034,0.0155157126343,1.11956391082,13707.9373084,56237.7326772,4.1116638481,1.11956391082,3632603.38673,56237.7326772,1,False,False,False,False,False,False,False,2015-04-17,2015-04-17,2015-04-10,2015-04-17,HazMatCoin-Dev,1,42,3,8,85,85,0,0.02464986,0.001112191,0.001113494,8.902091e-05,1.365579e-05,8.902823e-05,1.365579e-05,0.0,4.0,9.079372e-06,8.579403e-06,3.059053e-05,3.102677e-05,0.0
XPY,PayCoin,0.0415154,4.975e-05,834.48040201,834.48040201,314.510606061,13.4837933617,19.5316927493,16.632869326,20.1558958798,221.587684453,1428.40750452,88777.6343175,47957.2613981,85754.4338831,18569.2975587,34356944.4809,623444.398176,5,False,False,False,False,False,False,True,2014-12-16,2014-12-16,2014-12-15,2014-12-16,manfred87,1,17,5,356,37,34,3,0.01351351,0.001210167,0.001211317,9.66214e-05,1.899419e-05,9.662761e-05,1.899427e-05,117299.8,4.0,1.47139e-05,1.307917e-05,4.11808e-05,3.983997e-05,0.0
PIGGY,Piggycoin,4.4296e-07,3.91257e-08,11.3214587854,11.3214587854,5.6543633799,4.17645177489,4.25779882326,2.16785771084,2.56572077788,0.414096015858,32.2548452496,2026596.62499,85278096.1596,236.448825055,96.7645357489,1157186672.87,255834288.479,3,False,False,True,False,False,False,False,2014-06-15,2014-06-15,2014-05-31,2014-06-15,piggycoin,1,320,4,110,339,331,8,0.003500355,0.001548186,0.001550533,0.0001248116,2.286677e-05,0.0001248231,2.286687e-05,881524.4,3.0,8.486462e-05,8.267759e-05,0.0002737,0.0002767213,0.0
FIMK,FIMKrypto,4.90907e-06,2.10431e-07,23.3286445438,23.3286445438,6.54542666667,2.78577891744,4.1109485045,1.37963150203,1.34455805699,18.9924299085,91.3921420672,5337580.15303,25721067.4041,10331.8818702,7494.15564951,2903643603.25,2109127527.14,2,False,False,False,False,False,False,False,2014-07-12,2014-07-12,2014-05-31,2014-07-12,Eliphaz Fimk,1,81,2,42,124,123,1,0.002491477,0.001457568,0.001459094,0.0001157898,1.668085e-05,0.0001157964,1.668085e-05,280.25,4.0,3.0819e-05,2.710366e-05,0.000106197,0.0001007765,0.0
BYC,Bytecent,0.00185347,0.000180996,10.2403920529,10.2403920529,6.1887542155,4.98710151844,5.03281884438,5.95384731515,5.96022424812,16.7569798219,40.1149445362,53827.9547674,23450.0366834,6870.36172698,40.1149445362,22069461.4546,23450.0366834,1,False,False,False,False,False,False,True,2014-11-23,2014-11-23,2014-12-08,2014-11-23,Yanakitu Tenatako,1,42,0,320,13,0,13,0.1923077,0.001235619,0.001237376,1.456664e-05,1.919144e-05,1.456664e-05,1.919153e-05,0.0,inf,8.985775e-07,8.22988e-07,3.467361e-06,3.415514e-06,0.0
BTCD,BitcoinDark,0.014842,0.000229976,64.5371690959,9.52717188964,5.83694160305,2.99123393696,3.27542025916,4.03672237996,2.38658665792,35.8340137347,195.866400221,9746.1235148,71298.9617804,19350.3674167,10380.9192117,5262906.69799,3778844.97436,5,False,False,True,False,False,True,True,2014-07-16,2014-07-16,2014-07-09,2014-07-16,Azeh,1,91,3,135,159,142,17,0.008199984,0.001443029,0.001445386,0.0001143219,2.177296e-05,0.0001143291,2.17731e-05,938130.6,4.0,3.233202e-05,2.762349e-05,0.0001047651,9.749606e-05,1.0
TRICK,TrickyCoin,1.25998e-06,3.00035e-08,41.9944339827,41.9944339827,11.4588430023,2.47357868184,2.809761298,2.41440944402,2.95567540972,0.0219252981617,0.174275792936,42013.8787477,223363.712605,6.16100878343,2.96268847991,11805899.9281,3797183.11429,1,False,False,False,False,False,False,False,2015-03-31,2015-03-31,2015-03-27,2015-03-31,TrickyCoin,1,20,1,4,26,26,0,0.07692308,0.001123258,0.001124175,9.011971e-05,1.374174e-05,9.012543e-05,1.374174e-05,0.0,3.0,5.797746e-06,4.893847e-06,1.31248e-05,1.251248e-05,0.0
ROS,RosCoin,1.25743e-06,3e-08,41.9143333333,41.9143333333,15.717875,6.49334575203,7.17576908829,4.53360304668,5.15376420232,0.917604420708,5.63484277887,3308378.35694,7918138.79052,425.768451208,112.696855577,1535087557.62,158362775.81,1,False,False,False,False,False,False,True,2014-09-30,2014-09-30,2014-09-04,2014-09-30,godivacoin,1,77,3,26,168,168,0,0.008055318,0.001282021,0.001283146,0.0001035384,1.513752e-05,0.0001035465,1.513752e-05,0.0,4.0,3.44297e-05,3.070566e-05,0.0001131156,0.0001096525,0.0
MAX,MaxCoin,0.00428743,8.752e-06,489.880027422,489.880027422,369.567803331,39.071385988,42.7761235731,15.3748849815,18.4381369085,90.7099895665,4733.58991041,325289.428925,1322255.89128,62952.7327591,18934.3596416,225750863.674,5289023.56511,6,False,False,False,False,False,True,True,2014-02-12,2014-02-12,2014-01-29,2014-02-12,maxcoinproject,1,2,1,14,394,393,1,0.01084977,0.002440498,0.00244403,0.0002606347,3.485541e-05,0.0002606688,3.485566e-05,406754.6,3.0,0.0003441552,0.0003021219,0.001023854,0.0009641467,0.0
PAC,Paccoin,3.26012e-11,1.15415e-11,2.82469349738,2.80300581215,2.24314524175,1.91746096022,6.03835883695,1.71203298294,1.65369136725,0.0617131078646,0.0721943438363,3240827826.7,3334189933.76,4.0113520112,3.10435678496,2.10653808736e+11,1.43370167152e+11,2,False,False,False,False,False,False,False,2015-11-02,2015-11-02,2013-11-12,2015-11-02,wmcorless,1,77,4,856,121,111,10,0.04287991,0.001045062,0.001046204,8.03995e-05,1.707283e-05,8.040338e-05,1.707289e-05,212759.5,3.0,4.447133e-05,3.893413e-05,8.208579e-05,7.566435e-05,0.0
FFC,FireFlyCoin,3.30028e-07,4.98093e-08,6.62583091913,6.60056,6.60056,2.91863799523,3.31885548788,2.91712768181,2.58161700346,0.0275338936167,0.0498865508065,243372.935804,440674.480809,12.0047776169,3.89115096291,106110600.01,34372609.5031,0,False,False,False,False,False,False,False,2014-10-26,2014-10-26,2013-12-30,2014-10-26,Investment,1,51,1,315,23,2,21,0.08300395,0.001251261,0.001253777,0.00010138,1.95135e-05,0.0001013865,1.951358e-05,23.91667,4.0,1.983178e-06,1.787485e-06,5.440928e-06,5.132966e-06,0.0
BEN,Benjamins,9.46108e-05,9e-07,105.123111111,105.123111111,52.5615555556,18.1233773978,21.3413594074,8.29130367793,14.7768778938,0.066588478782,0.703505306702,5835.54202093,26937.5851692,45.1469886142,26.7332016547,3956497.49019,1023628.23643,0,False,False,False,False,False,False,False,2014-02-27,2014-02-27,2014-02-02,2014-02-27,AllAboutTheBenjaminsBaby,1,422,10,25,102,79,23,0.02756154,0.002114523,0.002118851,0.0002268535,3.198815e-05,0.0002268911,3.198844e-05,181276.1,3.0,4.185698e-05,3.83206e-05,0.0001283639,0.00012283,0.0
