symbol,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,normalized_total_volume,normalized_total_volume_before_max,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_unweighted,user1_satoshi_pagerank_weighted,user1_pagerank_unweighted,user1_pagerank_weighted
PRIME,PrimeChain,1.18989e-05,6.10714e-07,19.4835880625,19.4835880625,4.32616480939,2.56456717529,3.4987951423,3.1502567518,3.59874873846,202771.762862,184398.275005,22507665.6776,2.0,False,False,False,False,False,False,True,2015-09-14,2015-09-14,2015-08-11,2015-09-14,iGotSpots,1,4366,103,866,1870,1247,623,0.01828593,0.001061026,0.001062273,8.108635e-05,1.730512e-05,8.109226e-05,1.730519e-05,114568600.0,3.0,0.0003849068,0.0004439146,0.0009691007,0.001145262
XPM,Primecoin,0.0140613,7.83042e-05,179.572743225,179.572743225,88.3119901019,9.32400108044,9.53681297086,21.2196241603,21.2196241603,118639.615959,0.0,107606131.675,13.0,False,False,True,True,True,True,False,2013-07-10,2013-07-11,2013-07-07,2013-07-11,Sunny King,1,642,27,335,585,447,138,0.04315739,0.01171391,0.01186403,0.0008753513,0.0001040961,0.0008761024,0.0001041,2235934.0,2.0,0.001198787,0.001440692,0.002631984,0.003239622
GP,GoldPieces,0.00029999,3.51931e-06,85.2411410191,61.7263374486,28.5977121068,5.23386901774,10.3459585587,5.59402072843,4.87253209942,17050.8399191,23412.0926719,6001895.65151,1.0,False,False,False,False,False,False,True,2015-01-16,2015-01-16,2015-05-07,2015-01-16,HYPERfuture,1,503,12,236,252,229,23,0.0151574,0.001169776,0.001171136,9.385334e-05,1.870364e-05,9.386055e-05,1.87037e-05,1583076.0,4.0,0.0001029046,9.677043e-05,0.0003104018,0.0003099981
IXC,Ixcoin,0.000221394,2.14544e-05,10.3192818256,10.3192818256,1.72598638819,2.67448773472,3.25537917713,2.42369716381,2.42369716381,26945.4167306,0.0,26163999.6454,2.0,False,False,False,True,False,False,False,2013-05-08,2013-05-08,2011-08-10,2013-05-08,Nasakioto,1,99,13,637,216,203,13,0.1109704,0.01526234,0.01553684,0.001053157,0.0001458221,0.001054322,0.0001458294,38748.7,2.0,0.001021979,0.001131137,0.001466047,0.001633419
MTLMC3,Metal Music Coin,4.81374e-07,1.20276e-08,40.0224483688,40.0224483688,12.0323947359,4.27163069191,5.08795684438,3.108348063,2.98760082655,1177775.29412,2633370.35507,217888429.412,2.0,False,False,False,False,False,False,False,2015-07-02,2015-07-02,2015-02-23,2015-07-02,metalmusiccoin,1,221,2,272,76,72,4,0.011107,0.001082164,0.001083125,8.404612e-05,1.769261e-05,8.405119e-05,1.769266e-05,140328.5,3.0,1.769814e-05,1.659274e-05,5.267402e-05,5.266084e-05
NOBL,NobleCoin,1.63082e-06,3.17525e-08,51.3603653256,51.3603653256,28.3887971117,11.7430039068,11.8845963999,7.73873508761,7.7776982114,19392261.9105,0.0,13458229765.9,2.0,False,False,True,True,False,False,False,2014-02-08,2014-02-08,2014-01-07,2014-02-08,Rofo,1,238,7,48,1051,1025,26,0.00754755,0.002633301,0.002640949,0.0002790262,3.590203e-05,0.000279088,3.590231e-05,1397571.0,3.0,0.0003231873,0.0003051701,0.001076908,0.001094443
HZT,HazMatCoin,1.99077e-05,4.0008e-08,497.592981404,497.592981404,76.5557102314,21.1032080487,21.1032080487,17.946692542,17.946692542,14105.4506924,,3695628.08141,1.0,False,False,False,False,False,False,False,2015-04-17,2015-04-17,2015-04-10,2015-04-17,HazMatCoin-Dev,1,42,3,8,85,85,0,0.02464986,0.001112191,0.001113494,8.902091e-05,1.365579e-05,8.902823e-05,1.365579e-05,0.0,4.0,9.079372e-06,8.579403e-06,3.059053e-05,3.102677e-05
XPY,PayCoin,0.0415154,4.975e-05,834.48040201,834.48040201,503.456798208,13.3834442096,19.3892246577,16.5819462822,20.0938700825,89182.5349484,44894.5292522,34246093.4202,7.0,False,False,False,True,False,False,True,2014-12-16,2014-12-16,2014-12-15,2014-12-16,manfred87,1,17,5,356,37,34,3,0.01351351,0.001210167,0.001211317,9.66214e-05,1.899419e-05,9.662761e-05,1.899427e-05,117299.8,4.0,1.47139e-05,1.307917e-05,4.11808e-05,3.983997e-05
PIGGY,Piggycoin,4.4296e-07,3.91257e-08,11.3214587854,11.3214587854,5.50068857951,4.16871763832,4.25025161903,2.16774756986,2.56557879117,2040735.61142,73426347.3031,1157097091.67,3.0,False,False,True,False,False,False,False,2014-06-15,2014-06-15,2014-05-31,2014-06-15,piggycoin,1,320,4,110,339,331,8,0.003500355,0.001548186,0.001550533,0.0001248116,2.286677e-05,0.0001248231,2.286687e-05,881524.4,3.0,8.486462e-05,8.267759e-05,0.0002737,0.0002767213
FIMK,FIMKrypto,4.90907e-06,2.10431e-07,23.3286445438,23.3286445438,7.91785483871,2.77901989915,4.10505091136,1.3796412967,1.34459094371,5397148.73134,24808578.3982,2903666017.46,2.0,False,False,False,False,False,False,False,2014-07-12,2014-07-12,2014-05-31,2014-07-12,Eliphaz Fimk,1,81,2,42,124,123,1,0.002491477,0.001457568,0.001459094,0.0001157898,1.668085e-05,0.0001157964,1.668085e-05,280.25,4.0,3.0819e-05,2.710366e-05,0.000106197,0.0001007765
