coin,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_satoshi_distance,user1_satoshi_pagerank_weighted,user1_pagerank_weighted,nontrivial,slug,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade
TTC,2014-11-08,2014-01-30,vertoe,1,210,12,2,5,1,4,0.0,0.0030446159999999996,0.0030543209999999996,0.0003051752,3.927932e-05,0.00030524430000000003,3.927974e-05,5.0,1.4753149999999999e-06,6.112676e-06,0.0,tittiecoin,TittieCoin,1.79935e-07,3.5110999999999996e-09,51.24747230212754,6.081597198750794,4.498375,3.3829255355846475,3.205202133785136,2.307444690394771,2.1726032448947934,35189,1,False,False,False,True,False,False,False,2014-11-08
GRT,2015-07-27,2015-05-04,The Grantcoin Foundation,1,42,1,1,5,5,0,0.0,0.001111278,0.001112155,8.771231e-05,1.353894e-05,8.771723e-05,1.353894e-05,4.0,5.4673300000000006e-06,1.1154e-05,0,grantcoin,Grantcoin,1.59e-06,4.997650000000001e-07,3.181495302792313,1.4587155963302754,1.0594067322299512,1.9235396613916915,1.2026439479824236,1.934525460611568,1.1672598359111994,5121,1,False,False,False,False,False,False,True,2015-07-27
GRS,2014-04-11,2014-03-23,gruve_p,1,24,1,1,31,31,0,0.017204300000000002,0.001801246,0.001803616,0.00018637599999999998,2.157637e-05,0.0001863922,2.157637e-05,4.0,8.564937999999999e-06,3.118297e-05,0.0,groestlcoin,GroestlCoin,1.1489000000000001e-05,1.65181e-07,69.55400439517861,69.55400439517861,2.2978,5.291212195802687,5.33574715748483,1.8166694772092749,1.8532700990954607,308179,2,False,False,True,False,False,False,False,2014-04-11
SOLE,2014-08-21,2014-08-09,solecoin,1,50,1,1,15,15,0,0.02857143,0.001409973,0.00141161,0.000112098,1.603335e-05,0.0001121045,1.603335e-05,4.0,4.634485e-06,1.801691e-05,1.0,solecoin,Solecoin,2.9992699999999998e-05,1.59791e-06,18.769955754704586,18.769955754704586,4.1085890410958905,4.6960802746941965,5.159503254160781,2.121767466343646,3.027266925375669,37778,1,False,False,False,True,False,False,False,2014-08-21
FTC,2013-05-03,2013-04-22,thep33t,1,141,1,5,4,1,3,0.6666667,0.01743347,0.01778015,0.0001082603,0.00017056380000000002,0.0001082603,0.0001705762,inf,5.634986e-06,2.3180410000000003e-05,0.0,feathercoin,Feathercoin,0.00475216,9.16053e-06,518.7647439613211,518.7647439613211,291.8120970217992,13.535021863572053,13.535021863572053,13.852399918148905,13.852399918148905,20588112,11,False,False,False,True,False,True,True,2013-05-03
GRE,2014-06-23,2014-06-03,ncsupanda,1,104,5,104,14,7,7,0.02197802,0.0015592479999999998,0.001561465,0.0001300268,2.329669e-05,0.000130039,2.329679e-05,4.0,2.0993309999999998e-06,8.028088e-06,0.0,greencoin,Greencoin,2.90152e-07,9.9847e-09,29.059661281761088,29.059661281761088,7.2538,4.452489291588881,4.6180975131081965,2.5438099682796587,2.689183846044497,43190,1,False,False,False,False,False,False,False,2014-06-23
GRC,2015-02-28,2013-10-30,prophetx,1,351,7,175,30,2,28,0.11264369999999999,0.009105702,0.009179146,0.0007069303,8.714128e-05,0.0007074686,8.714324e-05,4.0,4.259486e-06,1.5226729999999998e-05,0,gridcoin,GridCoin,1.44538e-05,2.45989e-06,5.875791193915175,1.0,1.0,3.89171737413021,1.0,3.476712895121695,1.0000000000000002,39986,3,False,False,True,False,False,False,True,2015-02-28
BLK,2014-02-28,2014-05-08,Soepkip,1,49,1,1085,130,105,25,0.01249844,0.0016422029999999998,0.001644056,0.0001445471,2.5088720000000004e-05,0.00014455959999999998,2.508884e-05,3.0,6.719455e-05,0.0001504201,0.0,blackcoin,BlackCoin,0.0005601530000000001,4.8099500000000004e-06,116.45713572906165,10.338855727453607,5.226185366945941,4.390703098364068,4.148610501136705,2.1052230056476415,1.9286292233711508,91681104,18,False,False,True,True,True,True,True,2014-02-28
BLC,2014-02-12,2013-10-08,BlueDragon747,1,332,3,49,26,24,2,0.04615385,0.009243444,0.009318756999999999,0.0007090596,8.910376e-05,0.0007095116999999999,8.910673000000001e-05,4.0,1.8793270000000003e-05,5.9299140000000006e-05,1.0,blakecoin,Blakecoin,0.00019914,3.96e-06,50.28787878787878,50.28787878787878,50.28787878787878,10.586046061592821,10.941441226157329,4.213425741183561,4.425083676113625,131048,2,False,False,False,False,False,False,True,2014-02-12
ZS,2014-05-02,2014-04-26,CryptoGir,1,23,1,43,36,33,3,0.02857143,0.001657668,0.001660045,0.0001561593,2.6156050000000002e-05,0.0001561786,2.615619e-05,4.0,5.1860410000000005e-06,2.1001529999999997e-05,0.0,zimstake,ZimStake,0.000114984,4.49775e-07,255.64782391195598,255.64782391195598,65.71528178633275,5.016196289264854,5.212728580135463,1.7227523575013493,1.6677324393781765,406319,1,False,False,False,False,False,False,False,2014-05-02
HYPER,2014-05-31,2013-05-31,shakezula,1,1101,25,40,275,153,122,0.1295876,0.01272367,0.0129043,0.000889105,0.0001209835,0.0008898567999999999,0.00012098850000000001,3.0,0.0002852027,0.0007940856,0,hyper,Hyper,0.00038827199999999994,3.0221699999999996e-06,128.47457290622302,3.6101534170153418,1.9210924743951316,2.8478515173163848,2.2282414932719616,2.5421036001809334,1.755734785159178,514854,1,False,False,False,False,False,False,True,2014-05-31
MI,2015-09-04,2015-06-12,xiaomicoin,1,5,1,1,4,4,0,0.0,0.001089816,0.001091093,8.54239e-05,1.336148e-05,8.542855e-05,1.336148e-05,4.0,1.1379439999999999e-06,4.646180000000001e-06,0,xiaomicoin,Xiaomicoin,1.4602200000000001e-06,1.8672e-07,7.820372750642672,7.820372750642672,1.8273216001922152,2.0749110313884698,2.0749110313884698,1.6170474770762595,1.6170474770762595,35577,2,False,False,False,False,False,False,False,2015-09-04
EMC2,2014-04-09,2014-03-02,einsteinium,1,71,4,1,71,71,0,0.02052314,0.002100644,0.002103908,0.00022496080000000002,2.356712e-05,0.00022499650000000002,2.356712e-05,4.0,2.2483429999999998e-05,7.896114e-05,0.0,einsteinium,Einsteinium,7.20995e-06,1.24732e-07,57.803530769970806,57.803530769970806,24.01851537228957,6.579347990954227,7.492024891095464,1.8949368695200293,2.51348970053793,642101,5,False,False,True,True,False,False,True,2014-04-09
DON,2014-06-15,2014-04-22,Donationcoin,1,230,11,2,16,16,0,0.03333333,0.001663081,0.001665531,0.0001622125,1.993581e-05,0.0001622282,1.993581e-05,4.0,3.993191e-06,1.453967e-05,0,donationcoin,Donationcoin,1.00853e-06,1.02043e-08,98.83382495614592,98.83382495614592,7.757923076923077,12.397935436337034,13.987440914679427,3.6802711885832835,4.619941188905776,1227,1,False,False,False,False,False,False,False,2014-06-15
