symbol,name,url
HAL,Halcyon,https://bitcointalk.org/index.php?topic=741728.0
LEA,LeaCoin,https://bitcointalk.org/index.php?topic=1006917.0
BOST,BoostCoin,https://bitcointalk.org/index.php?topic=601965.0
KNC,KhanCoin,https://bitcointalk.org/index.php?topic=1159249.0
DASH,Dash,https://bitcointalk.org/index.php?topic=421615.0
TRMB,TRMB,https://bitcointalk.org/index.php?topic=1104238.0
BNB,BnB Coin,https://bitcointalk.org/index.php?topic=1079548.0
THC,HempCoin,https://bitcointalk.org/index.php?topic=506320.0
CETI,Cetuscoin,https://bitcointalk.org/index.php?topic=790782.0
HIRO,Hirocoin,https://bitcointalk.org/index.php?topic=569717.0
LXC,Librexcoin,https://bitcointalk.org/index.php?topic=703042.0
MZC,MazaCoin,https://bitcointalk.org/index.php?topic=502628.0
XSEED,BitSeeds,https://bitcointalk.org/index.php?topic=1195172.0
INDEX,CoinoIndex,https://bitcointalk.org/index.php?topic=1064331.0
CRW,CrownCoin,https://bitcointalk.org/index.php?topic=815487.0
CRT,CRTCoin,https://bitcointalk.org/index.php?topic=555578.0
BELA,BellaCoin,https://bitcointalk.org/index.php?topic=437825.0
CGN,KolschCoin,https://bitcointalk.org/index.php?topic=1019421.0
SKB,SkullBuzz,https://bitcointalk.org/index.php?topic=1066128.0
TCO,TacoCoin,https://bitcointalk.org/index.php?topic=651500.0
XDQ,Dirac,https://bitcointalk.org/index.php?topic=616288.0
XDP,Dogeparty,https://bitcointalk.org/index.php?topic=706739.0
BUB,Bubble,https://bitcointalk.org/index.php?topic=1044272.0
SWIFT,BitSwift,https://bitcointalk.org/index.php?topic=807557.0
FIBRE,Fibre,https://bitcointalk.org/index.php?topic=737771.0
TAGR,TAGRcoin,https://bitcointalk.org/index.php?topic=1092796.0
OSC,OpenSourcecoin,https://bitcointalk.org/index.php?topic=268705.0
UNIC,UniCoin,https://bitcointalk.org/index.php?topic=392204.0
XRA,Ratecoin,https://bitcointalk.org/index.php?topic=1119477.0
FUND,Cryptofund,https://bitcointalk.org/index.php?topic=1169633.0
EFL,Electronic Gulden,https://bitcointalk.org/index.php?topic=522661.0
BRE,BREAKcoin,https://bitcointalk.org/index.php?topic=1160670.0
UNIT,Universal Currency,https://bitcointalk.org/index.php?topic=1037825.0
ULTC,Umbrella-LTC,https://bitcointalk.org/index.php?topic=687265.0
MARYJ,MaryJane,https://bitcointalk.org/index.php?topic=793704.0
ANC,Anoncoin,https://bitcointalk.org/index.php?topic=227287.0
CBIT,CryptBit,https://bitcointalk.org/index.php?topic=1188889.0
XEMP,EmpoCredits,https://bitcointalk.org/index.php?topic=1148697.0
SJCX,Storjcoin X,https://bitcointalk.org/index.php?topic=702602.0
FRSH,FreshCoin,https://bitcointalk.org/index.php?topic=670939.0
JLH,jl777hodl,https://bitcointalk.org/index.php?topic=699887.0
HNC,Helleniccoin,https://bitcointalk.org/index.php?topic=950020.0
COV,Coven,https://bitcointalk.org/index.php?topic=1029754.0
BCF,BitcoinFast,https://bitcointalk.org/index.php?topic=881774.0
DVC,Devcoin,https://bitcointalk.org/index.php?topic=34586.0
BCX,BattleCoin,https://bitcointalk.org/index.php?topic=409482.0
BCY,Bitcrystals,https://bitcointalk.org/index.php?topic=957797.0
FIST,FistBump,https://bitcointalk.org/index.php?topic=1077662.0
ETH,Ethereum,https://bitcointalk.org/index.php?topic=412878.0
BCR,Bitcredits,https://bitcointalk.org/index.php?topic=896133.0
CON,PayCon,https://bitcointalk.org/index.php?topic=912034.0
DETH,DarkEther,https://bitcointalk.org/index.php?topic=1148229.0
SPRTS,Sprouts,https://bitcointalk.org/index.php?topic=1103868.0
CASH,Cashcoin,https://bitcointalk.org/index.php?topic=424421.0
KDC,KlondikeCoin,https://bitcointalk.org/index.php?topic=407705.0
VRC,VeriCoin,https://bitcointalk.org/index.php?topic=602041.0
QORA,Qora,https://bitcointalk.org/index.php?topic=522102.0
C2,Coin2.1,https://bitcointalk.org/index.php?topic=483847.0
COOL,CoolCoin,https://bitcointalk.org/index.php?topic=601045.0
SANDG,Save and Gain,https://bitcointalk.org/index.php?topic=1091306.0
FAIR,FairCoin,https://bitcointalk.org/index.php?topic=601280.0
HEX,Heisenberg,https://bitcointalk.org/index.php?topic=481417.0
CF,Californium,https://bitcointalk.org/index.php?topic=1027613.0
COMM,CommunityCoin,https://bitcointalk.org/index.php?topic=529481.0
CS,CryptoSpots,https://bitcointalk.org/index.php?topic=971737.0
IEC,IvugeoCoin,https://bitcointalk.org/index.php?topic=1026371.0
LDOGE,LiteDoge,https://bitcointalk.org/index.php?topic=1077390.0
