coin,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
POP,2014-04-23,2014-02-02,2014-04-23,cryptojette,1,111,21,84
TGC,2013-12-21,2013-09-06,2013-12-21,mintedstone,1,52,1,111
RPC,2014-01-06,2013-12-28,2014-01-06,colinistheman,1,211,24,211
TIPS,2013-12-31,2013-12-22,2013-12-31,MystPhysX,1,57,1,9
NODE,2014-09-13,2011-04-14,2014-09-13,Frodo,1,8,5,1248
BITGOLD,2015-01-04,2013-12-30,2015-01-04,bitgoldpw,1,82,2,370
RBY,2014-03-20,2014-02-11,2014-03-20,rby,1,7,1,42
DOPE,2014-02-22,2014-01-21,2014-02-22,dopey,1,277,12,67
ARG,2013-07-04,2013-06-10,2013-07-04,eddyfitz,1,201,2,58
LSD,2014-09-13,2014-09-04,2014-09-13,lightspeedLS,1,45,1,9
SLR,2014-03-29,2014-01-23,2014-03-29,ddirt,1,29,1,79
SLG,2014-09-23,2014-08-02,2014-09-23,Sterlingcoin,1,297,1,52
MCN,2014-08-25,2014-06-19,2014-08-25,cryptomidnight,1,105,3,71
NRB,2013-07-04,2013-12-02,2013-07-04,educatedwarrior,1,20,0,40
QB,2014-05-26,2014-02-26,2014-05-26,QuarkBar,1,26,1,89
BDSM,2014-10-20,2014-09-19,2014-10-20,altcoin.center,1,51,3,42
NRS,2014-04-20,2014-02-22,2014-04-20,r3wt,1,2816,87,343
XGR,2014-06-28,2014-06-05,2014-06-28,Mesterlovesz74,1,177,2,158
$$$,2015-11-12,2014-01-10,2015-11-12,ltcifc,1,202,8,678
AXR,2014-08-27,2014-08-14,2014-08-27,Project Axron,1,118,1,13
EXE,2014-03-10,2014-04-02,2014-03-10,TrollboxChamp,1,194,4,58
EXC,2014-01-16,2013-08-17,2014-01-16,CaptChadd,1,883,40,560
MUSE,2015-05-06,2015-06-16,2015-05-06,bitcoinjesus2.0,1,12,9,107
SWARM,2014-09-16,2010-08-07,2014-09-16,Anonymous,1,2239,220,1708
HBN,2013-12-20,2013-07-24,2013-12-20,thundertoe,1,218,35,927
WS,2015-07-02,2015-04-12,2015-07-02,KrLos,1,227,7,866
EXP,2015-09-15,2015-08-10,2015-09-15,CryptoClub,1,713,3,556
LQD,2015-02-06,2015-02-07,2015-02-06,Geenstijl,1,212,10,432
IBITS,2015-07-27,2015-07-13,2015-07-27,iBITS,1,1,1,14
BUK,2014-10-04,2013-08-31,2014-10-04,CryptoBuck,1,114,6,411
VNL,2015-03-05,2014-12-12,2015-03-05,john-connor,1,76,4,83
RIN,2014-08-02,2014-05-23,2014-08-02,homhomhom,1,91,1,147
CANN,2014-08-02,2014-05-06,2014-08-02,CannabisCoinDev,1,189,13,121
CLR,2013-11-03,2013-07-03,2013-11-03,icreator,1,37,1,149
BITUSD,2014-09-23,2014-08-22,2014-09-23,ChuckOne,1,642,16,243
RIC,2014-02-27,2013-09-05,2014-02-27,gatra,1,115,5,243
FRAC,2014-06-15,2014-06-12,2014-06-15,Fractalcoin,1,1,1,3
HAM,2014-10-26,2014-11-13,2014-10-26,hamhrc,1,43,1,115
LEA,2015-04-19,2015-03-30,2015-04-19,tattooman67,1,30,1,111
BOT,2015-09-08,2015-08-31,2015-09-08,Walter Botcoin,1,9,1,8
KNC,2015-09-28,2015-08-22,2015-09-28,k0er,1,19,1,189
DASH,2014-02-14,2014-01-18,2014-02-14,eduffield,1,157,9,253
TRMB,2015-05-25,2015-06-30,2015-05-25,godda04,1,181,0,314
THC,2014-06-28,2014-03-08,2014-06-28,HempCoin,1,64,1,112
CETI,2015-01-31,2014-09-21,2015-01-31,optigon,1,380,3,296
PHO,2014-05-23,2014-02-21,2014-05-23,photon_coin,1,6,1,91
BURST,2014-08-30,2011-04-30,2014-08-30,stakhanov,1,134,17,1348
ZEIT,2014-03-20,2014-02-14,2014-03-20,ZEITCOIN,1,182,2,34
SWIFT,2014-10-05,2014-09-29,2014-10-05,BitSwift,1,46,2,6
SYS,2014-08-20,2014-09-13,2014-08-20,tobeaj2mer01,1,152,2,114
HIRO,2014-03-26,2014-04-13,2014-03-26,dupee419,1,229,3,211
TRBO,2015-10-30,2015-10-08,2015-10-30,CryptoWiz420,1,56,2,145
LXC,2014-08-05,2014-07-21,2014-08-05,Librexcoindev,1,55,1,15
MZC,2014-02-27,2014-02-22,2014-02-27,dbbit,1,64,5,109
NAV,2014-06-12,2014-06-25,2014-06-12,SUM2dev,1,0,0,-11
SPEC,2015-07-27,2013-04-21,2015-07-27,elliotp,1,3,1,827
INDEX,2015-06-18,2015-07-06,2015-06-18,sasha35625,1,36,2,220
DMD,2013-12-19,2013-07-13,2013-12-19,JohnLuc,1,50,1,165
CRW,2014-11-08,2014-10-07,2014-11-08,jeliman,1,33,3,314
EMC,2014-08-23,2013-12-08,2014-08-23,Fixx,1,76,4,476
BELA,2014-03-20,2014-01-29,2014-03-20,twoturtles,1,28,2,50
SYNC,2014-05-20,2011-05-03,2014-05-20,epii,1,112,9,1153
DRZ,2015-04-27,2015-04-14,2015-04-27,DRZ,1,28,1,13
CRC,2013-07-07,2013-07-05,2013-07-07,Blindfolded,1,66,3,347
SKC,2014-03-15,2013-11-01,2014-03-15,Red Kendra,1,34,1,134
SKB,2015-10-14,2015-05-20,2015-10-14,SkullBuzz,1,23,1,147
GRS,2014-04-11,2014-03-22,2014-04-11,gruve_p,1,9,1,20
ACOIN,2014-09-13,2014-02-06,2014-09-13,amitco177,1,1,1,219
XDN,2014-06-24,2015-06-06,2014-06-24,dNote,1,24,1,25
TCO,2014-07-21,2014-06-14,2014-07-21,bassguitarman,1,30,3,67
BUN,2014-09-11,2014-05-01,2014-09-11,Fablio2,1,377,10,462
XDQ,2014-05-26,2014-05-19,2014-05-26,coinweaver,1,76,4,101
XDP,2014-08-28,2014-07-23,2014-08-28,dogeparty,1,1,1,36
BUB,2015-05-06,2015-05-01,2015-05-06,MakingBubbles,1,48,1,6
GEO,2015-02-21,2013-07-16,2015-02-21,Jaxkr,1,92,6,655
FIBRE,2014-08-30,2014-02-07,2014-08-30,rapcrash,1,13,1,204
LIMX,2014-06-08,2014-06-03,2014-06-08,IParn,1,234,3,65
ZET,2013-09-10,2013-08-03,2013-09-10,Giskard,1,107,5,118
UNIC,2015-06-14,2013-12-30,2015-06-14,Teamunicoin,1,36,1,531
XRA,2015-06-26,2015-06-17,2015-06-26,R-A-T-E,1,17,1,9
VGC,2014-05-06,2014-02-15,2014-05-06,Byates,1,11,1,80
XRP,2013-08-04,2013-02-21,2013-08-04,Sunny King,1,895,31,359
ANC,2013-07-14,2013-06-16,2013-07-14,BroTroxer,1,83,3,66
XEMP,2015-09-14,2015-08-09,2015-09-14,EmpoEX,1,226,3,338
ANI,2014-02-28,2014-01-19,2014-02-28,ani-chan,1,40,2,51
NVC,2013-04-28,2013-02-22,2013-04-28,bushstar,1,287,14,262
FRSH,2014-08-22,2014-06-30,2014-08-22,savale,1,281,5,243
JLH,2014-07-23,2014-07-18,2014-07-23,EvilDave,1,459,3,219
BCN,2014-06-17,2014-03-12,2014-06-17,DStrange,1,110,4,141
DSH,2014-10-07,2014-07-05,2014-10-07,slb,1,121,2,135
COV,2015-04-21,2015-04-19,2015-04-21,CovenDev,1,17,2,2
CHIP,2015-08-04,2015-07-25,2015-08-04,Chips,1,51,1,10
DVC,2013-04-28,2011-11-20,2013-04-28,cablepair,1,322,35,711
BCX,2014-01-30,2013-12-02,2014-01-30,jackofall1232,1,143,15,193
BCY,2015-09-14,2015-02-16,2015-09-14,hnin,1,100,4,210
FIST,2015-06-08,2015-06-01,2015-06-08,FistBump,1,63,2,7
ETH,2015-08-07,2014-02-13,2015-08-07,AltcoinBull,1,31,6,540
COL,2013-11-30,2013-09-14,2013-11-30,sudo23,1,99,2,91
DIGS,2015-07-16,2015-07-03,2015-07-16,DIGGITSquad,1,1,1,13
CON,2015-02-15,2015-01-02,2015-02-15,muddafudda,1,1358,40,660
