symbol,name,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
LTD,LimitedCoin,2015-09-15,2015-09-11,2015-09-15,LimitedDev,1,13,1,8
SHF,Shift,2015-09-05,2015-09-02,2015-09-05,freequant,1,503,16,1547
RT2,RotoCoin,2014-03-29,2014-03-15,2014-03-29,Rotocoin,1,101,2,14
ECC,ECCoin,2014-03-20,2014-03-06,2014-03-20,hostmaster,1,965,44,110
CAGE,CageCoin,2014-04-15,2014-01-01,2014-04-15,Nicolas_Cage,1,19,3,104
LEAF,LeafCoin,2014-02-02,2014-01-24,2014-02-02,mcg,1,118,7,37
BTS,BitShares,2014-07-21,2014-11-17,2014-07-21,emailtooaj,1,23,0,68
XCE,Cerium,2015-06-10,2015-06-06,2015-06-10,Cerium,1,21,1,4
XCH,ClearingHouse,2014-10-04,2014-08-07,2014-10-04,btcdrak,1,406,9,488
DOGE,Dogecoin,2013-12-15,2013-12-08,2013-12-15,Dogecoin,1,24,2,7
XCN,Cryptonite,2014-08-02,2014-07-18,2014-08-02,Cryptonite XCN,1,3,1,15
MOON,Mooncoin,2014-01-06,2013-09-24,2014-01-06,vipah,1,88,11,269
BTE,Bytecoin,2013-05-10,2013-03-28,2013-05-10,Maria2.0,1,39,2,43
BTG,Bitgem,2013-07-04,2013-05-16,2013-07-04,mineral,1,108,2,49
MGW,MGW,2014-08-22,2014-03-05,2014-08-22,jl777,1,233,5,242
BTC,Bitcoin,2013-04-28,2010-10-03,2013-04-28,S3052,1,294,12,953
BTB,BitBar,2013-05-09,2013-05-02,2013-05-09,Dervana,1,22,2,19
BTM,Bitmark,2014-08-19,2014-07-25,2014-08-19,tdokta,1,20,1,38
SSD,Sonic,2014-08-12,2014-08-24,2014-08-12,argakiig,1,186,7,233
JBS,Jumbucks,2014-09-07,2014-09-01,2014-09-07,jyap,1,28,1,113
ISR,Isracoin,2014-04-08,2014-03-24,2014-04-08,IsraelCoin,1,34,3,15
SPHR,Sphere,2015-05-02,2015-04-30,2015-05-02,ChronoSphereDev,1,9,1,2
MUE,MonetaryUnit,2014-11-01,2014-09-11,2014-11-01,Mue,1,99,2,51
CURE,CureCoin,2014-05-26,2013-08-07,2014-05-26,cygnusxi,1,259,23,408
BAY,BitBay,2014-11-16,2014-10-30,2014-11-16,BitBay Team,1,107,2,17
ISL,IslaCoin,2015-09-28,2015-05-05,2015-09-28,isladev,1,55,2,146
DGB,DigiByte,2014-02-06,2014-01-10,2014-02-06,DigiByte,1,166,12,39
DGC,Digitalcoin,2013-06-09,2013-05-20,2013-06-09,schnebi,1,172,13,37
MONETA,Moneta,2015-10-24,2014-06-15,2015-10-24,cryptomidnight,1,107,3,496
ASC,AsicCoin,2013-12-31,2013-09-11,2013-12-31,asicuser,1,26,2,112
BITZ,Bitz,2015-03-08,2015-02-13,2015-03-08,EBK1000,1,290,6,404
KUMA,Kumacoin,2014-08-02,2014-04-26,2014-08-02,kumacoinproject,1,1,1,98
X2,X2,2015-12-15,2013-05-13,2015-12-15,nookiegirl,1,40,2,976
QTL,Quatloo,2014-07-12,2014-06-17,2014-07-12,MarKusRomanus,1,396,10,457
BITS,Bitstar,2014-04-23,2014-04-17,2014-04-23,Bitstar_coin,1,53,1,6
JKC,Junkcoin,2013-06-14,2013-05-07,2013-06-14,ymer,1,461,22,60
FRC,Freicoin,2013-05-03,2012-12-23,2013-05-03,scrybe,1,158,5,197
VTC,Vertcoin,2014-01-20,2014-01-11,2014-01-20,sang,1,40,1,946
DUO,ParallelCoin,2015-10-24,2015-06-22,2015-10-24,marcetin,1,542,11,902
FRK,Franko,2013-06-09,2013-05-11,2013-06-09,defaced,1,230,7,829
XC,XCurrency,2014-05-23,2014-05-29,2014-05-23,Teka,1,318,11,416
EUC,Eurocoin,2015-08-23,2014-03-04,2015-08-23,deeppurple72,1,373,74,784
UNB,UnbreakableCoin,2014-05-23,2014-03-27,2014-05-23,jimblasko,1,66,5,57
VTR,vTorrent,2014-12-25,2014-12-11,2014-12-25,vtorrent,1,75,1,14
CARB,Carboncoin,2014-08-02,2014-03-06,2014-08-02,axismundi,1,246,3,158
CLV,CleverCoin,2015-05-13,2015-10-29,2015-05-13,trinaldao,1,2,1,570
BBR,Boolberry,2014-06-24,2014-04-20,2014-06-24,crypto_zoidberg,1,214,6,208
YAC,Yacoin,2013-06-09,2013-05-05,2013-06-09,pocopoco,1,12,1,35
UNO,Unobtanium,2013-12-21,2013-11-09,2013-12-21,Useless1d1ot,1,31,3,50
ZED,Zedcoin,2014-03-06,2014-01-25,2014-03-06,Kilo88,1,54,5,40
HVC,Heavycoin,2014-03-12,2014-02-17,2014-03-12,keccak512,1,242,2,297
CRAVE,Crave,2015-03-26,2015-03-20,2015-03-26,industrialcoinmagic,1,33,1,6
KEY,KeyCoin,2014-07-18,2014-07-15,2014-07-18,keycoin,1,15,1,3
INFX,Influxcoin,2015-09-15,2015-08-25,2015-09-15,Coryvmcs1,1,69,12,40
BITCNY,bitCNY,2014-09-23,2014-08-25,2014-09-23,instacash,1,939,16,298
VTA,Virtacoin,2014-08-09,2014-07-05,2014-08-09,broboltz,1,5,1,35
SLFI,Selfiecoin,2015-03-22,2015-03-05,2015-03-22,freedomsr40,1,149,7,175
AMS,AmsterdamCoin,2015-08-20,2015-08-14,2015-08-20,keesdewit,1,91,2,59
WBB,WildBeastBitcoin,2015-02-28,2015-02-11,2015-02-28,WildBeastBitcoin,1,68,1,17
DUCK,DuckDuckCoin,2014-02-22,2014-02-04,2014-02-22,mainduck,1,42,1,18
DT,DarkToken,2014-09-17,2014-09-16,2014-09-17,darktoken,1,4,1,1
DP,DigitalPrice,2014-10-04,2014-09-20,2014-10-04,7vpo,1,76,2,232
CESC,CryptoEscudo,2014-04-03,2014-03-20,2014-04-03,cryptoescudo,1,17,1,14
CYP,Cypher,2015-04-11,2015-03-29,2015-04-11,Cypher7A69,1,53,1,13
CYT,Cryptokenz,2015-09-21,2015-09-10,2015-09-21,Crypt0ken,1,102,1,11
POT,PotCoin,2014-02-10,2014-01-17,2014-02-10,PotCoin,1,23,6,24
POP,PopularCoin,2014-04-23,2014-02-02,2014-04-23,cryptojette,1,111,21,84
TGC,Tigercoin,2013-12-21,2013-09-06,2013-12-21,mintedstone,1,52,1,111
RPC,RonPaulCoin,2014-01-06,2013-12-28,2014-01-06,colinistheman,1,213,24,211
TIPS,FedoraCoin,2013-12-31,2013-12-22,2013-12-31,MystPhysX,1,57,1,9
NODE,Node,2014-09-13,2011-04-14,2014-09-13,Frodo,1,8,5,1248
BITGOLD,bitGold,2015-01-04,2013-12-30,2015-01-04,bitgoldpw,1,82,2,370
