symbol,name,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
MMC,Memorycoin,2013-12-24,2013-12-14,FreeTrade,https://bitcointalk.org/index.php?topic=370806.0,2013-12-14
GLYPH,Glyph,2014-06-17,2014-01-08,AliceWonder,https://bitcointalk.org/index.php?topic=405545.0,2014-01-08
I0C,I0Coin,2013-11-27,2013-08-17,rsnel,https://bitcointalk.org/index.php?topic=276483.0,2013-08-17
BAT,BatCoin,2014-03-03,2014-01-10,infofront,https://bitcointalk.org/index.php?topic=407865.0,2014-01-10
SSV,SSVCoin,2014-09-07,2014-06-22,SSVCoin,https://bitcointalk.org/index.php?topic=661043.0,2014-06-22
FUTC,FutCoin,2015-07-21,2015-02-19,FUTCOIN,https://bitcointalk.org/index.php?topic=960951.0,2015-02-19
TOR,TorCoin,2014-07-12,2013-05-29,Time,https://bitcointalk.org/index.php?topic=218993.0,2013-05-29
TOP,TopCoin,2014-02-17,2014-02-02,topdude,https://bitcointalk.org/index.php?topic=445007.0,2014-02-02
CAP,Bottlecaps,2013-07-04,2013-09-20,dmatthewstewart,https://bitcointalk.org/index.php?topic=298514.0,2013-09-20
RIPO,RipoffCoin,2014-08-23,2014-08-01,RipoffCoinDevTeam,https://bitcointalk.org/index.php?topic=721006.0,2014-08-01
MOTO,Motocoin,2014-06-03,2014-05-01,WilliamLie2,https://bitcointalk.org/index.php?topic=591724.0,2014-05-01
OS76,OsmiumCoin,2015-10-19,2015-10-06,OSMIUMCOIN,https://bitcointalk.org/index.php?topic=1201395.0,2015-10-06
ERC,EuropeCoin,2015-06-18,2014-05-03,EuropeCoin,https://bitcointalk.org/index.php?topic=594758.0,2014-05-03
XCR,Crypti,2014-08-07,2014-06-16,crypti,https://bitcointalk.org/index.php?topic=654463.0,2014-06-16
XCP,Counterparty,2014-02-15,2014-01-02,PhantomPhreak,https://bitcointalk.org/index.php?topic=395761.0,2014-01-02
CELL,SolarFarm,2015-01-25,2015-01-08,koko2530,https://bitcointalk.org/index.php?topic=917737.0,2015-01-08
XPB,Pebblecoin,2015-03-31,2015-01-01,XPB,https://bitcointalk.org/index.php?topic=909624.0,2015-01-01
VPN,VPNCoin,2014-11-23,2014-07-22,vpncoin,https://bitcointalk.org/index.php?topic=705446.0,2014-07-22
HUGE,BigCoin,2015-04-24,2015-01-25,hardforkcoin,https://bitcointalk.org/index.php?topic=935597.0,2015-01-25
DCYP,DarkCypher,2015-10-24,2015-10-06,Atomictie,https://bitcointalk.org/index.php?topic=1202219.0,2015-10-06
NEOS,NeosCoin,2014-08-25,2014-08-18,twoturtles,https://bitcointalk.org/index.php?topic=744291.0,2014-08-18
STV,Sativacoin,2014-10-20,2014-09-21,sativacoin,https://bitcointalk.org/index.php?topic=791266.0,2014-09-21
ZRC,ZiftrCOIN,2015-03-03,2015-03-18,gnargnar,https://bitcointalk.org/index.php?topic=995250.0,2015-03-18
RZR,Razor,2014-06-21,2014-06-08,RazorTech,https://bitcointalk.org/index.php?topic=644498.0,2014-06-08
STR,StarCoin,2014-02-02,2013-09-05,nzdude,https://bitcointalk.org/index.php?topic=288383.0,2013-09-05
CZC,CzechCrownCoin,2014-10-20,2014-08-27,zoata87,https://bitcointalk.org/index.php?topic=759020.0,2014-08-27
EXCL,ExclusiveCoin,2014-09-30,2015-02-12,stolenjelly,https://bitcointalk.org/index.php?topic=952866.0,2015-02-12
CACH,CacheCoin,2014-02-15,2014-01-05,kalgecin,https://bitcointalk.org/index.php?topic=400389.0,2014-01-05
JINN,Jinn,2014-10-03,2015-12-02,DecentralizeEconomics,https://bitcointalk.org/index.php?topic=1273040.0,2015-12-02
PND,Pandacoin,2014-02-27,2014-02-14,slaithe,https://bitcointalk.org/index.php?topic=464476.0,2014-02-14
GB,GreenBacks,2014-08-23,2014-08-15,GreenBacksTeam,https://bitcointalk.org/index.php?topic=740744.0,2014-08-15
XQN,Quotient,2014-11-23,2014-11-11,CedricQuotient,https://bitcointalk.org/index.php?topic=854299.0,2014-11-11
LIT,Lightcoin,2014-07-05,2014-06-12,Lightcoinproject,https://bitcointalk.org/index.php?topic=649890.0,2014-06-12
GHC,GamerholicCoin,2014-10-10,2014-09-25,coinweaver,https://bitcointalk.org/index.php?topic=796370.0,2014-09-25
XUP,UPcoin,2015-09-22,2015-09-16,TheTerminator,https://bitcointalk.org/index.php?topic=1182202.0,2015-09-16
ZNY,Bitzeny,2015-07-09,2014-11-07,bitzeny,https://bitcointalk.org/index.php?topic=849994.0,2014-11-07
SAK,Sharkcoin,2015-03-08,2014-05-20,SAKTeam,https://bitcointalk.org/index.php?topic=617410.0,2014-05-20
PRC,ProsperCoin,2014-02-20,2014-01-29,inmean,https://bitcointalk.org/index.php?topic=438433.0,2014-01-29
