coin,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_weighted,user1_pagerank_weighted
BITS,2014-04-23,2011-06-03,bitstarter,1,169,4,1,4,4,0,0.0,0.09765754,0.1051696,0.002638056,0.0005627462,0.002642942,0.0005627462,0.0,3,0.0001004248,0.0002536388
JKC,2013-06-14,2013-01-02,xorxor,1,368,9,1,8,8,0,0.3214286,0.0270035,0.02768001,0.001430531,0.0001580278,0.0014323,0.0001580278,0.0,3,3.644596e-05,9.089704e-05
FRC,2013-05-03,2011-07-08,coinotron,1,263,9,1,1,1,0,0.0,0.03889854,0.03998677,0.0002938584,0.000293772,0.0002938584,0.000293772,0.0,inf,2.353483e-05,7.443253e-05
VTC,2014-01-20,2013-03-08,tacotime,1,1467,45,570,360,231,129,0.08869364,0.02606158,0.02685971,0.001415326,0.0002282821,0.001417659,0.0002283042,376863.2,3,0.001207755,0.00243619
FRK,2013-06-09,2013-01-02,xorxor,1,352,9,1,8,8,0,0.3214286,0.0270035,0.02768001,0.001430531,0.0001580278,0.0014323,0.0001580278,0.0,3,3.644596e-05,9.089704e-05
XC,2014-05-23,2014-05-30,Teka,1,317,11,423,282,229,53,0.01668343,0.001577849,0.001580199,0.0001310802,2.347612e-05,0.0001310953,2.347624e-05,803427.6,4,7.555265e-05,0.000240878
UNB,2014-05-23,2013-08-29,Tommo_Aus,1,227,2,27,7,1,6,0.3809524,0.009231618,0.009310818,6.276676e-05,9.388085e-05,6.276676e-05,9.388334e-05,47.83333,inf,3.535106e-06,1.468258e-05
UNC,2014-03-03,2013-12-11,dr_chen,1,185,16,101,112,69,43,0.1148245,0.00535454,0.005384146,0.0005827714,7.028096e-05,0.0005830092,7.028242e-05,52201.25,3,5.798807e-05,0.000159707
VTX,2014-10-04,2014-09-11,VvXxCoin,1,18,2,1,18,18,0,0.03921569,0.001332582,0.001333967,0.0001062269,1.539504e-05,0.0001062336,1.539504e-05,0.0,4,9.956696e-06,3.484467e-05
BBR,2014-06-24,2014-04-21,crypto_zoidberg,1,215,6,144,7,6,1,0.0,0.001651075,0.001654084,0.0001628599,2.656733e-05,0.0001628818,2.656749e-05,12.83333,5,1.990672e-06,8.035337e-06
CLR,2013-11-03,2013-07-01,BitJohn,1,1073,60,50,389,240,149,0.1140896,0.01155856,0.01171474,0.0008675017,0.0001080669,0.0008683486,0.0001080703,491708.9,3,0.0005290578,0.001463481
UNO,2013-12-21,2013-01-02,xorxor,1,470,12,1,8,8,0,0.3214286,0.0270035,0.02768001,0.001430531,0.0001580278,0.0014323,0.0001580278,0.0,3,3.644596e-05,9.089704e-05
OMC,2014-05-11,2014-01-20,omcdice,1,2,1,1,2,1,1,0.0,0.003834874,0.003850528,0.0003550465,3.301093e-05,0.0003551547,3.301093e-05,9.25,5,1.681163e-06,6.890011e-06
