coin,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_satoshi_distance,user1_satoshi_pagerank_weighted,user1_pagerank_weighted
SPA,2014-03-15,2014-03-05,SpainCoinDev,1,54,1,1,9,9,0,0.02777778,0.002018834,0.002022473,0.0002179848,2.323312e-05,0.000218024,2.323312e-05,3,7.43865e-06,2.373687e-05
TAK,2014-02-27,2014-02-08,TakeiCoin,1,165,13,1,14,14,0,0.02197802,0.002657683,0.002664205,0.0002801511,2.65915e-05,0.0002802046,2.65915e-05,4,5.029273e-06,1.902258e-05
XPH,2015-06-08,2015-06-07,Pharma,1,6,1,1,21,21,0,0.07142857,0.001092523,0.001093559,8.568596e-05,1.338455e-05,8.56912e-05,1.338455e-05,4,1.442339e-06,5.646053e-06
XPM,2013-07-11,2013-06-29,Sunny King,1,846,28,323,405,271,134,0.07048384,0.01131186,0.01145225,0.0008654677,0.0001090569,0.0008662056,0.0001090613,2,0.001084373,0.002146701
GP,2015-01-16,2015-05-08,HYPERfuture,1,512,13,348,282,249,33,0.01436252,0.001111305,0.001112521,8.751275e-05,1.793963e-05,8.751895e-05,1.793968e-05,4,9.581129e-05,0.0003051743
IXC,2013-05-08,2013-12-12,FrictionlessCoin,1,0,0,188,94,57,37,0.1049556,0.005502498,0.005537227,0.0005794144,6.937894e-05,0.0005797576,6.938014e-05,3,7.38165e-05,0.0001948434
NOBL,2014-02-08,2014-01-10,cozie,1,120,12,319,102,92,10,0.06658901,0.003612373,0.003622746,0.0003602363,4.979399e-05,0.000360316,4.979455e-05,3,5.647111e-05,0.0001529065
HZT,2015-04-17,2015-04-11,HazMatCoin-Dev,1,42,3,2,44,44,0,0.05285412,0.001118298,0.001119725,8.986049e-05,1.366848e-05,8.986828e-05,1.366848e-05,4,4.982664e-06,1.8649e-05
XPY,2014-12-16,2014-12-16,manfred87,1,17,5,356,37,34,3,0.01351351,0.001219018,0.001220187,9.695866e-05,1.897509e-05,9.696492e-05,1.897517e-05,4,1.301587e-05,3.97262e-05
CAT,2013-12-28,2013-12-25,nod,1,142,8,18,166,158,8,0.01664841,0.004292111,0.004309808,0.0004698683,5.84974e-05,0.0004700291,5.849801e-05,3,7.643087e-05,0.0002814696
PIGGY,2014-06-15,2014-06-01,piggycoin,1,320,4,96,223,215,8,0.006060606,0.001567526,0.001569884,0.0001308366,2.338767e-05,0.0001308496,2.338777e-05,3,5.661696e-05,0.0001845954
FIMK,2014-07-12,2014-06-01,Eliphaz Fimk,1,81,2,1,3,3,0,0.0,0.00156562,0.001567658,0.0001308301,1.780849e-05,0.0001308408,1.780849e-05,5,1.239904e-06,5.140646e-06
BTCD,2014-07-16,2014-07-10,Azeh,1,91,3,129,23,6,17,0.1264822,0.001474523,0.001477418,0.0001166099,2.193149e-05,0.0001166189,2.193163e-05,4,1.583735e-06,5.764048e-06
