Coin,Coin-href,Name,hashing_algorithm,genesis_date,market_capitalization,hashrate,block_time,available/total_supply,repo_stars/forks/watches,bing_results,alexa_ranking
"LitecoinDark","https://www.coingecko.com/en/coins/litecoindark","LitecoinDark","Scrypt","August 29, 2014 (over 1 year)","$9,645.33","15.3 MH/s","1.0 Minute","78.9 Million
                      /
                      82 Million","","",""
"Crypto Bullion","https://www.coingecko.com/en/coins/cryptobullion","Crypto Bullion","Scrypt","June 27, 2013 (over 2 years)","$121,784.89","N/A","1.0 Minute","968 Thousand
                      /
                      1 Million","","",""
"Bata","https://www.coingecko.com/en/coins/bata","Bata","Scrypt","May  8, 2015 (7 months)","$17,982.90","1.14 GH/s","1.5 Minute","3.59 Million
                      /
                      5 Million","","",""
"Stellar","https://www.coingecko.com/en/coins/stellar","Stellar","null","null","$7,949,690.56","N/A","null","4.84 Billion
                      /
                      227 Million","","",""
"Bitcoin","https://www.coingecko.com/en/coins/bitcoin","Bitcoin","SHA-256","January  3, 2009 (almost 7 years)","$5,350,373,990.50","673 PH/s","10.0 Minute","14.9 Million
                      /
                      21 Million","","",""
"DNotes","https://www.coingecko.com/en/coins/dnotes","DNotes","Scrypt","February 16, 2014 (almost 2 years)","$733,864.97","7.63 GH/s","1.0 Minute","106 Million
                      /
                      500 Million","","",""
"MasterTraderCoin","https://www.coingecko.com/en/coins/mastertradercoin","MasterTraderCoin","X11","January 21, 2015 (11 months)","$5,202.73","N/A","1.0 Minute","223 Thousand
                      /
                      10.1 Million","","",""
"Nyancoin","https://www.coingecko.com/en/coins/nyancoin","Nyancoin","Scrypt","January  6, 2014 (almost 2 years)","$15,985.98","370 MH/s","1.0 Minute","251 Million
                      /
                      337 Million","","",""
"Boolberry","https://www.coingecko.com/en/coins/boolberry","Boolberry","Keccak","May 17, 2014 (over 1 year)","$55,336.22","N/A","2.0 Minute","5.82 Million
                      /
                      18.5 Million","","",""
"UFO Coin","https://www.coingecko.com/en/coins/ufocoin","UFO Coin","NeoScrypt","January  3, 2014 (almost 2 years)","$24,956.32","22.6 MH/s","1.5 Minute","2.31 Billion
                      /
                      4 Billion","","",""
"jl777hodl","https://www.coingecko.com/en/coins/jl777hodl","jl777hodl","null","null","$119,560.00","N/A","null","null","","",""
"Myriadcoin","https://www.coingecko.com/en/coins/myriadcoin","Myriadcoin","null","February 23, 2014 (almost 2 years)","$36,023.67","N/A","0.5 Minute","1.11 Billion
                      /
                      2 Billion","","",""
"Anoncoin","https://www.coingecko.com/en/coins/anoncoin","Anoncoin","Scrypt","June  2, 2013 (over 2 years)","$176,524.64","2.3 GH/s","3.0 Minute","1.94 Million
                      /
                      3.1 Million","","",""
"Elektron","https://www.coingecko.com/en/coins/elektron","Elektron","X13","April  7, 2015 (8 months)","$691.49","N/A","1.0 Minute","2.64 Million
                      /
                      3 Million","","",""
"Opal","https://www.coingecko.com/en/coins/opal","Opal","X13","August  3, 2014 (over 1 year)","$20,806.25","N/A","1.5 Minute","15 Million
                      /
                      15 Million","","",""
"DigitalNote","https://www.coingecko.com/en/coins/digitalnote","DigitalNote","Cryptonight","May 30, 2014 (over 1 year)","$452,372.09","N/A","4.0 Minute","6.85 Billion
                      /
                      8.59 Billion","","",""
"Solarcoin","https://www.coingecko.com/en/coins/solarcoin","Solarcoin","Scrypt","December 21, 2013 (almost 2 years)","$400,154.09","N/A","1.0 Minute","34.2 Million
                      /
                      98.1 Billion","","",""
"Heavycoin","https://www.coingecko.com/en/coins/heavycoin","Heavycoin","null","null","$5,712.85","N/A","2.0 Minute","88.3 Million
                      /
                      116 Million","","",""
"Shibecoin","https://www.coingecko.com/en/coins/shibecoin","Shibecoin","Proof of Stake","October 14, 2014 (about 1 year)","","N/A","1.0 Minute","","","",""
"Bluecoin","https://www.coingecko.com/en/coins/bluecoin","Bluecoin","X11","April 23, 2014 (over 1 year)","$16,341.68","N/A","1.0 Minute","570 Million
                      /
                      500 Million","","",""
"Transfercoin","https://www.coingecko.com/en/coins/transfercoin","Transfercoin","Proof of Stake","August 11, 2015 (4 months)","$13,320.05","N/A","1.0 Minute","null","","",""
"CryptCoin","https://www.coingecko.com/en/coins/cryptcoin","CryptCoin","X11","null","$18,349.53","N/A","1.5 Minute","6.03 Million
                      /
                      11 Million","","",""
"Qora","https://www.coingecko.com/en/coins/qora","Qora","Proof of Stake","May 16, 2014 (over 1 year)","$140,000.00","N/A","null","10 Billion
                      /
                      10 Billion","","",""
"Infinitecoin","https://www.coingecko.com/en/coins/infinitecoin","Infinitecoin","Scrypt","June  5, 2013 (over 2 years)","$428,103.57","176 KH/s","0.5 Minute","90.6 Billion
                      /
                      90.6 Billion","","",""
"PhilosopherStone","https://www.coingecko.com/en/coins/philosopherstone","PhilosopherStone","Scrypt","July 28, 2013 (over 2 years)","$14,190.17","N/A","null","2.43 Million
                      /
                      8.89 Million","","",""
"LTBcoin","https://www.coingecko.com/en/coins/ltbcoin","LTBcoin","null","March 12, 2014 (over 1 year)","$26,259.15","N/A","null","null","","",""
"Potcoin","https://www.coingecko.com/en/coins/potcoin","Potcoin","Scrypt","January 15, 2014 (almost 2 years)","$104,628.60","N/A","0.67 Minute","212 Million
                      /
                      420 Million","","",""
"RibbitRewards","https://www.coingecko.com/en/coins/ribbitrewards","RibbitRewards","SHA-256","January 20, 2015 (11 months)","$24,463.11","N/A","1.0 Minute","400 Million
                      /
                      1 Billion","","",""
"xCash","https://www.coingecko.com/en/coins/xcash","xCash","Proof of Stake","September  2, 2014 (over 1 year)","$1,289.79","N/A","1.0 Minute","2.46 Million
                      /
                      2.4 Million","","",""
"Myriadcoin","https://www.coingecko.com/en/coins/myriadcoin","Myriadcoin","null","February 23, 2014 (almost 2 years)","$36,023.67","N/A","0.5 Minute","1.11 Billion
                      /
                      2 Billion","","",""
"Bitz","https://www.coingecko.com/en/coins/bitz","Bitz","X11","March  1, 2015 (9 months)","$4,620.96","N/A","1.0 Minute","1.97 Million
                      /
                      2 Million","","",""
"Maxcoin","https://www.coingecko.com/en/coins/maxcoin","Maxcoin","Keccak","February  6, 2014 (almost 2 years)","$171,000.28","171 GH/s","1.0 Minute","41.5 Million
                      /
                      100 Million","","",""
"CryptoEscudo","https://www.coingecko.com/en/coins/cryptoescudo","CryptoEscudo","Scrypt","March 25, 2014 (over 1 year)","$27,524.07","N/A","2.0 Minute","144 Million
                      /
                      1 Billion","","",""
