coin, max_price, min_price, severity_to_min_price, severity_to_min_price_after_max, severity_to_last, severity_to_average, severity_to_average_after_max, severity_to_average_volume_weighted, severity_to_average_after_max_volume_weighted, total_volume, market_num, BTC-E, Kraken, Poloniex, Cryptsy, BTC38, BTER, Bittrex
NYC, 1413.3943662, 1.00351e-08, 7.1e-12, 1413.3943662, 9.80564784053, 5.5575595348, 7.05839219786, 3.66742364234, 7.15565712678, 6701, 2, False, False, False, False, False, False, False
GAIA, 8.66342857143, 9.0966e-06, 1.05e-06, 8.66342857143, 8.66342857143, 2.26872133791, 2.54098200702, 1.39957629924, 1.73078201426, 458149, 1, False, False, False, False, False, False, True
BSTY, 7.7713678785, 1.44141e-05, 1.85477e-06, 1.0, 1.0, 2.16461796651, 1.0, 2.32214083475, 1.0, 339043, 5, False, False, False, False, False, False, True
SHLD, 129.454672013, 0.00035708, 2.75834e-06, 129.454672013, 57.6865912763, 19.0652123422, 20.121226052, 1.18344080265, 1.18163311526, 927475, 1, False, False, False, True, False, False, False
MED, 4.60512428601, 6.98998e-06, 1.51787e-06, 2.32999333333, 2.32999333333, 2.0137217808, 1.16546696247, 1.60251600381, 1.14776164331, 40231, 2, False, False, False, True, True, False, False
AMBER, 9.26590151796, 0.000125136, 1.3505e-05, 1.03715614199, 1.03715614199, 2.17444920244, 1.01823922145, 1.55485707191, 1.00724605233, 123829, 5, False, False, False, True, False, False, False
OMC, 17.8256921787, 4.1031e-05, 2.30179e-06, 17.8256921787, 17.1677824268, 4.2180099669, 4.2180099669, 3.27610400288, 3.27610400288, 51106, 1, False, False, False, False, False, False, True
SXC, 267.946666092, 0.000149171, 5.56719e-07, 267.946666092, 118.05893014, 30.9730824508, 31.1339281546, 10.1030551201, 10.1030551201, 965249, 2, False, False, False, True, False, False, False
CKC, 67.8607159946, 3.1201e-05, 4.5978e-07, 67.8607159946, 62.402, 5.20838754261, 5.53032141854, 2.19664501472, 1.86036566975, 392188, 2, False, False, False, True, False, False, False
PRC, 480.336078656, 0.000240169, 5.00002e-07, 480.336078656, 150.105625, 14.2485330748, 18.3793915245, 2.50677592372, 2.71956525136, 34184, 1, False, False, True, False, False, False, False
MONA, 28.8811551346, 0.00124232, 4.30149e-05, 15.0470614312, 4.53336933794, 4.29074700187, 3.68409446113, 2.68889918788, 2.61902386438, 3419631, 9, False, False, False, True, False, False, True
MEOW, 2769.18005072, 9.82782e-07, 3.549e-10, 2769.18005072, 512.532985658, 25.9954678998, 27.0341904733, 1.9335937696, 1.8708869148, 4724559, 1, False, False, False, True, False, False, False
OPAL, 29.7432474123, 5.59179e-05, 1.88002e-06, 6.14346721219, 6.14346721219, 2.69050453571, 2.15802954822, 1.86641066952, 1.54146804497, 454424, 3, False, False, True, True, False, False, True
MYR, 87.1010152019, 1.00039e-05, 1.14854e-07, 87.1010152019, 56.6100409697, 8.19745633076, 10.3115426214, 1.94940365617, 2.19008196715, 3670802, 5, False, False, True, True, False, False, True
SPT, 713.532187034, 0.000199936, 2.80206e-07, 713.532187034, 217.32173913, 19.5625359709, 25.4150744033, 8.36537514898, 8.36537514898, 44505, 1, False, False, False, True, False, False, False
PXI, 39.2730854425, 8.81182e-06, 2.24373e-07, 39.2730854425, 6.52727407407, 4.45671334298, 4.58286062841, 2.66318483148, 2.71210254333, 31448, 1, False, False, False, False, False, False, True
EAC, 682.577427314, 7.77326e-06, 1.13881e-08, 682.577427314, 76.484375, 28.8940046316, 29.8400162158, 4.11401685488, 4.16039196533, 4843647, 5, False, False, False, True, True, False, False
RIN, 7.85602746421, 3.29525e-06, 4.19455e-07, 3.66138888889, 2.99568181818, 2.134044137, 1.84577824989, 1.79597754976, 1.61134797374, 12821, 2, False, False, False, False, False, False, False
PRT, 123.759189569, 4.95262e-06, 4.00182e-08, 123.759189569, 70.7517142857, 7.66623636053, 7.69300416478, 2.29083087299, 2.28666804177, 857560, 1, False, False, False, False, False, True, False
UIS, 67.7272102454, 1.18249e-05, 1.74596e-07, 67.7272102454, 31.9591891892, 9.36936213146, 9.36936213146, 3.31390373264, 3.31390373264, 17275, 1, False, False, True, False, False, False, False
TAG, 84.9984967521, 0.00279889, 3.29287e-05, 84.9984967521, 24.0324394872, 7.46767821728, 8.03280451845, 3.10533109491, 3.10533109491, 2207768, 4, False, False, False, True, True, True, False
DRKC, 10.22172949, 4.61e-05, 4.51e-06, 10.22172949, 5.42991755006, 4.00268251416, 3.9456135037, 3.35857160189, 3.26066249605, 67777, 2, False, False, False, True, False, True, False
YAC, 506.865998764, 0.000390374, 7.70172e-07, 506.865998764, 300.71100087, 10.4096601367, 12.6530684074, 16.7394042018, 16.7394042018, 401480, 5, False, False, False, True, False, True, False
KOBO, 18.032034218, 7.58e-06, 4.20363e-07, 7.50495049505, 7.50495049505, 3.09748114071, 1.23553382233, 3.00223255448, 1.06409614375, 21510, 2, False, False, False, False, False, False, True
LYC, 240.470764587, 2.37424e-06, 9.8733e-09, 240.470764587, 118.712, 26.5604244957, 27.8132128796, 6.44724865034, 6.64617425573, 361210, 1, False, False, False, True, False, False, False
TRK, 270.24459776, 4.62602e-05, 1.71179e-07, 243.474736842, 17.1515753724, 17.4619075633, 15.8573943827, 9.78621633488, 8.07009977168, 28918, 4, False, False, False, True, False, False, True
SPA, 13063.7158361, 0.00444425, 3.40198e-07, 13063.7158361, 6440.94202899, 156.218663394, 162.649252616, 2.28834458409, 2.28731785726, 1564946, 1, False, False, False, True, False, False, False
IOC, 35.4781337927, 0.000139836, 3.94147e-06, 3.14973612547, 3.14973612547, 4.48736798172, 1.28642275128, 2.24006798851, 1.22276070028, 1657686, 4, False, False, True, True, False, False, True
RIC, 118.977880657, 0.00098789, 8.30314e-06, 118.977880657, 29.4910143889, 15.299131863, 15.5334312803, 4.04500849445, 4.07892110914, 904547, 2, False, False, True, False, True, False, False
VRC, 75.7490115726, 0.00051461, 6.79362e-06, 15.6753743618, 6.7892113533, 4.87937842354, 4.91807443829, 1.8403609449, 1.61436153183, 33204485, 11, False, False, True, True, False, True, True
TAK, 766.74768787, 7.60238e-06, 9.9151e-09, 766.74768787, 380.119, 41.7950794211, 74.5962795927, 2.81477564119, 3.14909504121, 905045, 1, False, False, False, True, False, False, False
CHA, 235888.665527, 0.00235858, 9.9987e-09, 235888.665527, 25.2227569244, 4.17458172497, 4.21547303985, 1.98328728623, 2.01079848839, 86706, 1, False, False, True, False, False, False, False
PTS, 147014.183756, 0.0309187, 2.10311e-07, 147014.183756, 147014.183756, 4.95102052209, 7.14915574247, 1.58484122939, 2.18335449866, 38569704, 3, False, False, True, False, False, True, False
FRAC, 416.886856343, 0.00281314, 6.74797e-06, 416.886856343, 185.685808581, 41.9819454344, 41.9819454344, 3.90019444259, 3.90019444259, 478285, 1, False, False, False, True, False, False, False
MRY, 66.2137209302, 2.84719e-05, 4.3e-07, 66.2137209302, 61.8954347826, 9.21675847881, 11.897530356, 3.58534619189, 4.70516957185, 70034, 1, False, False, False, True, False, False, False
XPM, 179.572743225, 0.0140613, 7.83042e-05, 179.572743225, 55.1220334465, 7.75789384097, 7.8642680134, 5.07926719935, 5.07926719935, 28336206, 13, False, False, True, True, True, True, False
GP, 44.8610665159, 0.00015788, 3.51931e-06, 2.77518017226, 2.3214233201, 3.98760085164, 1.53927330856, 2.63552275789, 1.1655681738, 42186, 1, False, False, False, False, False, False, True
IXC, 10.3192818256, 0.000221394, 2.14544e-05, 10.3192818256, 4.08004024864, 2.54744391305, 2.38975620524, 2.04410119045, 2.04410119045, 1001901, 3, False, False, False, True, False, False, False
URO, 168.565356177, 0.0207005, 0.000122804, 168.565356177, 168.565356177, 14.1193711069, 14.1802142282, 2.57571117696, 2.49186918774, 8620096, 5, False, False, True, True, False, False, True
BQC, 340.353925604, 0.000350619, 1.03016e-06, 340.353925604, 155.393492973, 20.1974938715, 20.1974938715, 12.7482050632, 12.7482050632, 439487, 3, False, False, False, True, False, True, False
NOBL, 41.5532595263, 1.63082e-06, 3.92465e-08, 41.5532595263, 27.1162485991, 9.79779188678, 9.91178795857, 3.19687238231, 3.23301245751, 1293478, 3, False, False, True, True, False, False, False
DASH, 73.7475515714, 0.0250752, 0.000340014, 6.98053538818, 2.66508799769, 2.83827529316, 2.46625588223, 1.7173512796, 1.6054832431, 161715027, 35, False, False, True, True, False, True, True
PIGGY, 11.3214587854, 4.4296e-07, 3.91257e-08, 11.3214587854, 2.95109926716, 4.43745877764, 4.53326130003, 1.52084367185, 1.75381312872, 130373, 3, False, False, True, False, False, False, False
NBT, 2.32836509253, 0.00525044, 0.00225499, 1.5518603029, 1.29388426005, 1.4366612124, 1.26871087371, 1.46400435198, 1.17261806057, 57216546, 17, False, False, True, True, False, True, True
NKA, 20.0372100467, 2.00318e-07, 9.9973e-09, 20.0372100467, 10.3268411882, 2.84927925892, 2.90256361079, 1.87520585434, 1.95295859482, 21387, 2, False, False, False, False, False, False, False
