symbol,slug,coin_name,max_price,min_price,severity_to_min_price,severity_to_min_price_after_max,severity_to_last,severity_to_average,severity_to_average_after_max,severity_to_average_volume_weighted,severity_to_average_after_max_volume_weighted,total_volume,market_num,BTC-E,Kraken,Poloniex,Cryptsy,BTC38,BTER,Bittrex,first_trade
M1,supply-shock,Supply Shock,0.0145707,9.995e-05,145.7798899449725,145.7798899449725,145.7798899449725,13.005077384079643,7.012254865609135,4.360572448778722,1.4771191595970716,13910,3,False,False,False,False,False,False,True,2015-05-21
VERSA,versa,Versa,4.00447e-06,1.00018e-08,400.37493251214784,400.37493251214784,400.37493251214784,1.3347441607588642,1.3347441607588642,1.0035613419027558,1.0035613419027558,440,1,False,False,False,False,False,False,False,2015-07-07
YBC,ybcoin,YbCoin,0.00681789,0.000737414,9.245674749869137,9.245674749869137,3.071758112041234,2.323853686657847,2.3983849418267624,2.056517448129854,2.058176836555435,19221329,6,False,False,False,False,True,False,False,2014-01-16
BET,betacoin,BetaCoin,0.000200238,5.2e-07,385.0730769230769,385.0730769230769,185.40555555555554,19.795805479409406,22.349908468835476,7.024577868450623,7.024577868450623,166065,1,False,False,False,True,False,False,False,2013-12-14
LSD,lightspeed,Lightspeed,7.18e-05,4.50587e-06,15.934769533963474,1.7941029485257372,1.2953274400144326,4.193717336604487,1.2844939398005277,1.7923106582877228,1.0280019772974986,79130,1,False,False,False,True,False,False,False,2014-09-13
HUC,huntercoin,HunterCoin,0.00155347,4.01728e-06,386.696969093516,386.696969093516,198.71291409449884,14.104287755848024,17.484531416260527,1.9593640684198352,2.286019910624407,469247,2,False,False,True,True,False,False,False,2014-02-14
HUN,hundredcoin,Hundredcoin,2.64739e-07,1.61114e-08,16.431781223233237,16.431781223233237,16.01644362703579,4.645884769187239,6.173744623697541,1.5001161526378919,1.6606761284092768,1001,1,False,False,False,False,False,False,False,2015-06-19
KDC,klondikecoin,KlondikeCoin,0.000131729,4.8837e-07,269.73196551794746,269.73196551794746,96.85955882352941,13.822230203932541,13.822230203932541,2.7147790719785037,2.7147790719785037,410989,2,False,False,False,True,False,True,False,2014-02-02
TTC,tittiecoin,TittieCoin,1.79935e-07,3.5111e-09,51.24747230212754,6.081597198750794,4.498375,3.382925535584648,3.205202133785136,2.307444690394771,2.172603244894793,35189,1,False,False,False,True,False,False,False,2014-11-08
NMB,nimbus,Nimbus,1.52853e-05,1.20504e-07,126.84475204142602,126.84475204142602,80.44894736842106,12.742999074523999,13.101282079848266,1.5820153529491932,1.580414805666854,54537,1,False,False,False,True,False,False,False,2014-09-05
GRT,grantcoin,Grantcoin,1.59e-06,4.99765e-07,3.181495302792313,1.4587155963302754,1.0594067322299512,1.9235396613916913,1.2026439479824236,1.9345254606115678,1.1672598359111994,5121,1,False,False,False,False,False,False,True,2015-07-27
GRS,groestlcoin,GroestlCoin,1.1489e-05,1.65181e-07,69.55400439517862,69.55400439517862,2.2977999999999996,5.291212195802686,5.33574715748483,1.816669477209275,1.8532700990954607,308179,2,False,False,True,False,False,False,False,2014-04-11
BLU,bluecoin,BlueCoin,1.47874e-06,8.24904e-08,17.92620717077381,11.374923076923077,11.374923076923077,3.865237469561228,3.2911159318703915,2.601096073820625,2.723031422335788,556709,3,False,False,False,True,False,False,False,2014-04-28
SOLE,solecoin,Solecoin,2.99927e-05,1.59791e-06,18.769955754704583,18.769955754704583,4.1085890410958905,4.6960802746941965,5.159503254160781,2.121767466343646,3.027266925375669,37778,1,False,False,False,True,False,False,False,2014-08-21
FLAX,flaxscript,Flaxscript,1.06482e-05,8.70469e-07,12.232715926701584,12.232715926701584,11.085685492266817,6.293245038972137,6.293245038972137,3.675666508532257,3.675666508532257,291,1,False,False,False,False,False,False,False,2015-07-25
GRF,graffiti,Graffiti,2.11394e-06,2.09735e-07,10.079099816435026,10.079099816435026,7.898445673292483,2.5683505065390744,3.186216384371999,1.3200854460033837,1.4525966451473586,8052,2,False,False,False,False,False,False,False,2015-08-17
FTC,feathercoin,Feathercoin,0.00475216,9.16053e-06,518.764743961321,518.764743961321,291.8120970217992,13.535021863572052,13.535021863572052,13.852399918148903,13.852399918148903,20588112,11,False,False,False,True,False,True,True,2013-05-03
GRE,greencoin,Greencoin,2.90152e-07,9.9847e-09,29.059661281761095,29.059661281761095,7.2538,4.452489291588881,4.618097513108196,2.5438099682796587,2.6891838460444966,43190,1,False,False,False,False,False,False,False,2014-06-23
GRC,gridcoin,GridCoin,1.44538e-05,2.45989e-06,5.875791193915175,1.0,1.0,3.8917173741302102,1.0,3.476712895121695,1.0000000000000002,39986,3,False,False,True,False,False,False,True,2015-02-28
BLK,blackcoin,BlackCoin,0.000560153,4.80995e-06,116.45713572906163,10.338855727453607,5.226185366945942,4.390703098364068,4.148610501136705,2.105223005647642,1.9286292233711508,91681104,18,False,False,True,True,True,True,True,2014-02-28
CRACK,crackcoin,CrackCoin,1.22028e-05,3.40046e-07,35.88573310669732,35.88573310669732,12.2028,6.561207178341926,6.561207178341926,1.5121514364370627,1.5121514364370627,58597,1,False,False,False,True,False,False,False,2014-09-19
GRN,granitecoin,GraniteCoin,1.61046e-05,1.79044e-08,899.4772234757937,899.4772234757937,25.976292515964406,28.49674386328325,36.77611305044621,2.7668836715116427,2.8422083138955196,15174,2,False,False,False,False,False,False,False,2014-06-12
SPRTS,sprouts,Sprouts,5.20657e-06,2.90077e-07,17.948923906411057,1.9205206896297333,1.2486617806471418,1.9804238167372359,1.3743663207831867,1.327315798546683,1.2898839932207162,65562,2,False,False,False,True,False,False,False,2015-07-21
DSB,darkshibe,DarkShibe,0.000164962,9.421e-07,175.1003078229487,175.1003078229487,22.690784044016507,15.09872648195772,16.645484950979537,1.826110981747218,2.0642918652759574,124479,1,False,False,False,True,False,False,False,2014-10-25
BLC,blakecoin,Blakecoin,0.00019914,3.96e-06,50.28787878787878,50.28787878787878,50.28787878787878,10.586046061592821,10.94144122615733,4.213425741183561,4.425083676113626,131048,2,False,False,False,False,False,False,True,2014-02-12
COOL,coolcoin,CoolCoin,7.3e-07,5.97474e-08,12.218104888246184,2.3548387096774195,2.3548387096774195,2.281425744039224,1.4660664819944593,1.9328871336117437,1.4771144755334102,227324,2,False,False,False,True,False,False,False,2014-06-28
HYPER,hyper,Hyper,0.000388272,3.02217e-06,128.47457290622302,3.6101534170153418,1.9210924743951314,2.8478515173163848,2.228241493271962,2.5421036001809334,1.755734785159178,514854,1,False,False,False,False,False,False,True,2014-05-31
URC,unrealcoin,Unrealcoin,1.59192e-06,9.9993e-09,159.2031442200954,159.2031442200954,19.899,12.923452335868967,16.184951943249644,1.9279076823355714,2.1160984506376534,6563,1,False,False,False,False,False,False,False,2015-03-31
MI,xiaomicoin,Xiaomicoin,1.46022e-06,1.8672e-07,7.820372750642673,7.820372750642673,1.8273216001922152,2.0749110313884698,2.0749110313884698,1.6170474770762597,1.6170474770762597,35577,2,False,False,False,False,False,False,False,2015-09-04
NOC,nocturna,Nocturna,0.00108583,6.969e-05,15.58085808580858,15.58085808580858,13.39783232072967,2.8414388612648778,2.8414388612648778,2.0980731328327615,2.0980731328327615,17791,2,False,False,False,False,False,False,False,2015-07-27
EMC2,einsteinium,Einsteinium,7.20995e-06,1.24732e-07,57.80353076997081,57.80353076997081,24.01851537228957,6.579347990954228,7.492024891095464,1.8949368695200293,2.51348970053793,642101,5,False,False,True,True,False,False,True,2014-04-09
