coin,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
QRK,2013-08-25,2013-07-21,quarkcoin,https://bitcointalk.org/index.php?topic=260031.0,2013-07-21
42,2014-01-13,2014-01-01,hendo420,https://bitcointalk.org/index.php?topic=394212.0,2014-01-01
SOL,2014-09-07,2014-01-07,Solcoin Project,https://bitcointalk.org/index.php?topic=402170.0,2014-01-07
GMC,2014-09-01,2014-02-22,Dr.Bob,https://bitcointalk.org/index.php?topic=481173.0,2014-02-22
TGC,2013-12-21,2013-09-06,mintedstone,https://bitcointalk.org/index.php?topic=289312.0,2013-09-06
GAM,2015-05-22,2014-03-27,nuggetbram,https://bitcointalk.org/index.php?topic=538311.0,2014-03-27
QB,2014-05-26,2014-02-26,QuarkBar,https://bitcointalk.org/index.php?topic=488455.0,2014-02-26
VDO,2014-10-20,2014-09-12,VidioShare,https://bitcointalk.org/index.php?topic=779552.0,2014-09-12
XPB,2015-03-31,2015-01-01,XPB,https://bitcointalk.org/index.php?topic=909624.0,2015-01-01
PXC,2013-07-04,2013-11-11,ghostlander,https://bitcointalk.org/index.php?topic=330956.0,2013-11-11
TIPS,2013-12-31,2013-12-30,invisibel,https://bitcointalk.org/index.php?topic=391192.0,2013-12-30
KARM,2014-02-08,2014-02-03,Karmagood,https://bitcointalk.org/index.php?topic=447657.0,2014-02-03
NODE,2014-09-13,2014-04-30,koop4u,https://bitcointalk.org/index.php?topic=590421.0,2014-04-30
ABC,2015-05-24,2014-06-01,AngryBirdsCoin,https://bitcointalk.org/index.php?topic=634850.0,2014-06-01
CHILD,2014-09-20,2014-08-24,ivanlabrie,https://bitcointalk.org/index.php?topic=754195.0,2014-08-24
METAL,2015-01-27,2014-12-08,xPooky,https://bitcointalk.org/index.php?topic=886655.0,2014-12-08
U,2014-11-16,2014-11-12,UCoinTeam,https://bitcointalk.org/index.php?topic=855541.0,2014-11-12
CNC,2013-05-08,2013-05-01,CHNCoin,https://bitcointalk.org/index.php?topic=192243.0,2013-05-01
STR,2014-02-02,2013-07-19,nzdude,https://bitcointalk.org/index.php?topic=259012.0,2013-07-19
CZC,2014-10-20,2014-05-05,czechcoin,https://bitcointalk.org/index.php?topic=596649.0,2014-05-05
EXCL,2014-09-30,2014-09-06,kingscrown,https://bitcointalk.org/index.php?topic=771755.0,2014-09-06
MRS,2014-02-24,2014-01-15,Btcdealer5011,https://bitcointalk.org/index.php?topic=416486.0,2014-01-15
CACH,2014-02-15,2014-01-05,kalgecin,https://bitcointalk.org/index.php?topic=400389.0,2014-01-05
MCN,2014-08-25,2014-06-19,cryptomidnight,https://bitcointalk.org/index.php?topic=657820.0,2014-06-19
ZCC,2014-08-05,2013-08-05,zccoin,https://bitcointalk.org/index.php?topic=268575.0,2013-08-05
NRB,2013-07-04,2013-08-08,stbgefltc,https://bitcointalk.org/index.php?topic=270264.0,2013-08-08
EXE,2014-03-10,2014-02-27,execoin,https://bitcointalk.org/index.php?topic=491058.0,2014-02-27
ACOIN,2014-09-13,2014-08-29,A-Coin,https://bitcointalk.org/index.php?topic=761818.0,2014-08-29
NOTE,2014-03-08,2014-02-16,DNotes,https://bitcointalk.org/index.php?topic=470155.0,2014-02-16
AUR,2014-02-27,2014-02-02,balduro,https://bitcointalk.org/index.php?topic=446062.0,2014-02-02
PURE,2015-08-23,2014-05-27,PureDev,https://bitcointalk.org/index.php?topic=627749.0,2014-05-27
ARG,2013-07-04,2013-06-11,AlphaC,https://bitcointalk.org/index.php?topic=231524.0,2013-06-11
TRUST,2014-07-10,2014-06-21,mitchellmint,https://bitcointalk.org/index.php?topic=659848.0,2014-06-21
PND,2014-02-27,2014-02-14,slaithe,https://bitcointalk.org/index.php?topic=464476.0,2014-02-14
EZC,2013-07-04,2013-05-30,ezcoin,https://bitcointalk.org/index.php?topic=220103.0,2013-05-30
