symbol,name,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
FLY,Flycoin,2015-09-14,2015-08-17,2015-09-14,vegasguy,1,1076,4,447
DEBUNE,DeBuNe,2015-02-06,2014-12-30,2015-02-06,capodieci,1,2,1,38
BRC,Biebercoin,2015-07-21,2014-06-02,2015-07-21,Omega6,1,42,4,482
MYST,MysteryCoin,2015-02-06,2015-01-29,2015-02-06,solacedev,1,25,1,8
SLFI,Selfiecoin,2015-03-22,2015-03-05,2015-03-22,freedomsr40,1,149,7,175
AMS,AmsterdamCoin,2015-08-20,2015-08-14,2015-08-20,keesdewit,1,91,2,59
MNTA,Moneta,2014-08-30,2014-08-13,2014-08-30,MonetaCoin,1,24,1,17
RUBIT,RubleBit,2015-11-23,2015-11-10,2015-11-23,Rublebit,1,30,1,13
XWT,World Trade Funds,2014-10-26,2014-10-20,2014-10-26,wtfdev,1,10,1,6
DIG,Digit,2014-06-28,2014-05-06,2014-06-28,DSF,1,110,1,68
BRE,BREAKcoin,2015-09-08,2015-08-24,2015-09-08,breakcoindev,1,62,2,15
BTX,BitcoinTX,2015-04-26,2015-04-27,2015-04-26,placebo,1,5526,153,475
HYP,HyperStake,2014-08-09,2014-07-06,2014-08-09,presstab,1,685,2,243
BITSILVER,bitSilver,2015-02-25,2015-01-14,2015-02-25,matt608,1,474,16,705
WBB,WildBeastBitcoin,2015-02-28,2015-02-11,2015-02-28,WildBeastBitcoin,1,68,1,17
SHND,StrongHands,2015-10-30,2015-09-28,2015-10-30,JacksonBriggs,1,33,2,34
AXIOM,Axiom,2015-07-30,2015-07-26,2015-07-30,AxiomCryptocurrency,1,73,1,4
DT,DarkToken,2014-09-17,2014-09-16,2014-09-17,darktoken,1,4,1,1
MSC,Mastercoin,2013-12-24,2013-06-24,2013-12-24,MstCoin,1,48,5,183
XWC,WhiteCoin,2014-04-18,2014-09-30,2014-04-18,WhitecoinFoundation,1,0,0,-165
AIB,AIB,2015-04-30,2015-04-11,2015-04-30,aib,1,6,1,19
CESC,CryptoEscudo,2014-04-03,2014-03-20,2014-04-03,cryptoescudo,1,17,1,14
CYP,Cypher,2015-04-11,2015-03-29,2015-04-11,Cypher7A69,1,53,1,13
DGCS,Digital Credits,2015-11-16,2015-11-01,2015-11-16,intristin,1,136,10,47
CYT,Cryptokenz,2015-09-21,2015-09-10,2015-09-21,Crypt0ken,1,102,1,11
MAPC,MapCoin,2015-09-08,2015-08-21,2015-09-08,thimo,1,441,4,634
ARCH,ARCHcoin,2014-10-06,2014-08-24,2014-10-06,BTCarchitect,1,96,2,191
EAC,EarthCoin,2013-12-28,2013-12-20,2013-12-28,earthcoin,1,30,3,8
JAY,Jay,2015-04-17,2015-04-02,2015-04-17,jones_,1,26,2,90
MRKT,FreeMarket,2014-09-23,2014-07-11,2014-09-23,cloudboy,1,123,8,211
ARB,ARbit,2015-05-21,2015-05-08,2015-05-21,ARbit,1,57,1,13
POP,PopularCoin,2014-04-23,2014-02-02,2014-04-23,cryptojette,1,111,21,84
GAP,Gapcoin,2014-11-01,2014-06-11,2014-11-01,j0nn9,1,68,2,143
CYC,Conspiracycoin,2014-07-05,2014-04-30,2014-07-05,ConspiracyCoin,1,175,3,66
BOLI,Bolivarcoin,2015-09-08,2015-08-15,2015-09-08,bolivarcoin,1,31,3,31
RPC,RonPaulCoin,2014-01-06,2013-12-28,2014-01-06,colinistheman,1,213,24,211
PXL,Phalanx,2015-04-07,2015-03-10,2015-04-07,PLX_Dev,1,42,1,28
NSR,NuShares,2014-10-25,2014-09-23,2014-10-25,toast,1,68,7,1187
DUB,Dubstep,2015-06-30,2015-06-05,2015-06-30,DUBSTEP-DEV,1,41,1,25
BOD,Bloodcoin,2015-06-18,2015-06-16,2015-06-18,SalimNagamato,1,1054,3,356
NOXT,NobleNXT,2014-12-06,2014-10-31,2014-12-06,Rofo,1,403,9,349
UTC,UltraCoin,2014-02-09,2014-01-13,2014-02-09,bumface,1,110,1,36
AC,AsiaCoin,2014-04-20,2014-05-04,2014-04-20,Maestro1,1,20,0,15
