coin,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
URC,2015-03-31,2015-03-23,USER211,https://bitcointalk.org/index.php?topic=1000669.0,2015-03-23
MI,2015-09-04,2015-05-25,she9888,https://bitcointalk.org/index.php?topic=1068526.0,2015-05-25
NOC,2015-07-27,2015-07-12,NocturaDev,https://bitcointalk.org/index.php?topic=1118544.0,2015-07-12
EMC2,2014-04-09,2014-03-01,einsteinium,https://bitcointalk.org/index.php?topic=494708.0,2014-03-01
SPR,2014-10-26,2014-08-16,Riseman,https://bitcointalk.org/index.php?topic=853976.0,2014-11-10
EKN,2015-04-11,2015-04-10,ElektronFoundation,https://bitcointalk.org/index.php?topic=1019681.0,2015-04-10
DON,2014-06-15,2014-04-16,EuroShibe,https://bitcointalk.org/index.php?topic=573734.0,2014-04-16
SHF,2015-09-05,2015-08-17,ShiftTeam,https://bitcointalk.org/index.php?topic=1155284.0,2015-08-17
FJC,2015-06-14,2014-06-08,motty,https://bitcointalk.org/index.php?topic=644601.0,2014-06-08
BLITZ,2014-11-16,2010-12-29,Meni Rosenfeld,https://bitcointalk.org/index.php?topic=79757.0,2012-05-05
REP,2015-10-27,2015-08-16,Komonec,https://bitcointalk.org/index.php?topic=1235050.0,2015-11-02
GLC,2013-08-04,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
GLD,2013-06-14,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
XSEED,2015-04-21,2015-04-20,worth,https://bitcointalk.org/index.php?topic=1195172.0,2015-09-28
CTM,2014-02-27,2014-01-30,bitsta,https://bitcointalk.org/index.php?topic=440515.0,2014-01-30
CTO,2015-05-18,2012-09-01,MaxPWR,https://bitcointalk.org/index.php?topic=396244.0,2014-01-02
SMC,2014-02-06,2013-12-16,bitbets,https://bitcointalk.org/index.php?topic=372755.0,2013-12-16
DOT,2015-02-15,2014-03-31,KimDotCoin,https://bitcointalk.org/index.php?topic=550851.0,2014-03-31
CLAM,2014-08-25,2014-05-24,SuperClam,https://bitcointalk.org/index.php?topic=623147.0,2014-05-24
FCT,2015-10-05,2015-09-08,richwang01,https://bitcointalk.org/index.php?topic=1174292.0,2015-09-08
LTBC,2014-08-20,2014-07-23,belltown,https://bitcointalk.org/index.php?topic=707439.0,2014-07-23
FCX,2015-11-23,2015-10-24,DuckYeah!,https://bitcointalk.org/index.php?topic=1219043.0,2015-10-24
DROP,2015-11-02,2015-10-29,Lahvacekmoney,https://bitcointalk.org/index.php?topic=1249796.0,2015-11-14
ZOOM,2015-07-16,2010-10-08,Bimmerhead,https://bitcointalk.org/index.php?topic=2141.0,2010-12-07
BKS,2015-09-09,2015-04-30,BCExchange,https://bitcointalk.org/index.php?topic=1042953.0,2015-04-30
TAM,2015-06-26,2015-06-21,bitspender,https://bitcointalk.org/index.php?topic=1096042.0,2015-06-21
SOIL,2015-11-12,2015-09-10,soil,https://bitcointalk.org/index.php?topic=1176709.0,2015-09-10
FCN,2014-06-08,2014-04-26,amphibian,https://bitcointalk.org/index.php?topic=585611.0,2014-04-26
BSC,2015-07-13,2015-04-27,Bowscoin_dev,https://bitcointalk.org/index.php?topic=1039949.0,2015-04-27
LTS,2015-10-23,2015-02-17,litestar,https://bitcointalk.org/index.php?topic=959292.0,2015-02-17
FC2,2014-06-12,2014-04-30,FuelCoinTeam,https://bitcointalk.org/index.php?topic=589879.0,2014-04-30
DFT,2015-11-23,2014-10-26,simonsez,https://bitcointalk.org/index.php?topic=835032.0,2014-10-26
AUM,2015-08-20,2015-01-23,mprep,https://bitcointalk.org/index.php?topic=934017.0,2015-01-23
LTC,2013-04-28,2011-10-11,wannaBhacker,https://bitcointalk.org/index.php?topic=48192.0,2011-10-14
