coin,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
VTR,2014-12-24,2014-12-11,vtorrent,https://bitcointalk.org/index.php?topic=889481.0,2014-12-11
CARB,2014-08-02,2014-02-14,carboncoin,https://bitcointalk.org/index.php?topic=465364.0,2014-02-14
CLV,2015-05-13,2014-10-05,clevercryptodev,https://bitcointalk.org/index.php?topic=1054615.0,2015-05-08
BBR,2014-06-24,2014-04-20,crypto_zoidberg,https://bitcointalk.org/index.php?topic=577267.0,2014-04-20
CLR,2013-11-03,2013-07-03,icreator,https://bitcointalk.org/index.php?topic=249088.0,2013-07-03
UNO,2013-12-21,2013-10-17,Blazr2,https://bitcointalk.org/index.php?topic=313126.0,2013-10-17
OMC,2014-05-11,2014-02-16,vurezo,https://bitcointalk.org/index.php?topic=469347.0,2014-02-16
SCRT,2015-11-16,2015-08-25,TeamSecret,https://bitcointalk.org/index.php?topic=1161754.0,2015-08-25
ZED,2014-03-06,2014-01-17,MUBBLE86,https://bitcointalk.org/index.php?topic=420710.0,2014-01-17
HVC,2014-03-12,2013-12-30,1gh,https://bitcointalk.org/index.php?topic=392322.0,2013-12-30
CRAVE,2015-03-26,2011-08-04,Kluge,https://bitcointalk.org/index.php?topic=151367.0,2013-03-10
ZET,2013-09-10,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
INFX,2015-09-15,2015-08-25,Coryvmcs1,https://bitcointalk.org/index.php?topic=1161953.0,2015-08-25
MAZE,2015-10-19,2014-03-06,plastcom,https://bitcointalk.org/index.php?topic=1189743.0,2015-09-24
BITCNY,2014-09-23,2014-07-10,instacash,https://bitcointalk.org/index.php?topic=756454.0,2014-08-25
VTA,2014-08-09,2014-07-02,misocialnetwork,https://bitcointalk.org/index.php?topic=673775.0,2014-07-02
SLFI,2015-03-22,2015-03-05,freedomsr40,https://bitcointalk.org/index.php?topic=977167.0,2015-03-05
AMS,2015-08-20,2015-08-14,keesdewit,https://bitcointalk.org/index.php?topic=1152947.0,2015-08-14
WBB,2015-02-28,2015-02-11,WildBeastBitcoin,https://bitcointalk.org/index.php?topic=952619.0,2015-02-11
DUCK,2014-02-22,2014-02-04,mainduck,https://bitcointalk.org/index.php?topic=448221.0,2014-02-04
DT,2014-09-17,2014-09-16,darktoken,https://bitcointalk.org/index.php?topic=785420.0,2014-09-16
DP,2014-10-04,2014-09-20,7vpo,https://bitcointalk.org/index.php?topic=789847.0,2014-09-20
CESC,2014-04-03,2014-03-29,play,https://bitcointalk.org/index.php?topic=546176.0,2014-03-29
CYP,2015-04-11,2015-03-29,Cypher7A69,https://bitcointalk.org/index.php?topic=1006527.0,2015-03-29
CYT,2015-09-21,2015-09-10,Crypt0ken,https://bitcointalk.org/index.php?topic=1175960.0,2015-09-10
POT,2014-02-09,2014-01-17,PotCoin,https://bitcointalk.org/index.php?topic=419647.0,2014-01-17
POP,2014-04-23,2014-01-29,inmean,https://bitcointalk.org/index.php?topic=437929.0,2014-01-29
CYC,2014-07-05,2014-04-29,Cryddit,https://bitcointalk.org/index.php?topic=588413.0,2014-04-29
TGC,2013-12-21,2013-09-06,mintedstone,https://bitcointalk.org/index.php?topic=289312.0,2013-09-06
RPC,2014-01-06,2013-12-28,colinistheman,https://bitcointalk.org/index.php?topic=389070.0,2013-12-28
TIPS,2013-12-31,2013-05-26,maxpower,https://bitcointalk.org/index.php?topic=216672.0,2013-05-26
NODE,2014-09-13,2009-11-22,The Madhatter,https://bitcointalk.org/index.php?topic=18.0,2010-01-11
BITGOLD,2015-01-04,2010-07-20,jtimon,https://bitcointalk.org/index.php?topic=7500.0,2011-05-07
RBY,2014-03-20,2014-02-11,rby,https://bitcointalk.org/index.php?topic=459622.0,2014-02-11
BITBTC,2014-09-23,2013-08-01,Newmine,https://bitcointalk.org/index.php?topic=984088.0,2015-03-10
DOPE,2014-02-22,2014-01-21,dopey,https://bitcointalk.org/index.php?topic=425366.0,2014-01-21
SDC,2014-07-31,2014-08-18,sdcoin,https://bitcointalk.org/index.php?topic=745352.0,2014-08-18
LSD,2014-09-13,2014-09-04,lightspeedLS,https://bitcointalk.org/index.php?topic=769832.0,2014-09-04
SLR,2014-03-29,2014-01-12,sib01,https://bitcointalk.org/index.php?topic=412720.0,2014-01-12
SLG,2014-09-23,2014-08-02,Sterlingcoin,https://bitcointalk.org/index.php?topic=721936.0,2014-08-02
MCN,2014-08-25,2014-06-15,cryptomidnight,https://bitcointalk.org/index.php?topic=653141.0,2014-06-15
DICE,2014-11-08,2014-07-09,Azeh,https://bitcointalk.org/index.php?topic=684090.0,2014-07-09
NRB,2013-07-04,2013-05-30,solracx,https://bitcointalk.org/index.php?topic=219644.0,2013-05-30
HUC,2014-02-14,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
LGD,2014-04-27,2014-03-25,legendarycoin,https://bitcointalk.org/index.php?topic=530175.0,2014-03-25
QB,2014-05-26,2014-02-26,QuarkBar,https://bitcointalk.org/index.php?topic=488455.0,2014-02-26
BDSM,2014-10-20,2011-05-10,altcoin.center,https://bitcointalk.org/index.php?topic=789338.0,2014-09-19
NRS,2014-04-20,2014-02-13,barwizi,https://bitcointalk.org/index.php?topic=464197.0,2014-02-13
XGR,2014-06-28,2014-06-05,Mesterlovesz74,https://bitcointalk.org/index.php?topic=641064.0,2014-06-05
$$$,2015-11-12,2011-06-07,Blackout,https://bitcointalk.org/index.php?topic=34246.0,2011-08-04
AXR,2014-08-27,2014-08-14,Project Axron,https://bitcointalk.org/index.php?topic=738534.0,2014-08-14
EXE,2014-03-10,2014-02-27,execoin,https://bitcointalk.org/index.php?topic=491058.0,2014-02-27
EXC,2014-01-16,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
CKC,2014-09-19,2014-07-29,DUMPcoin,https://bitcointalk.org/index.php?topic=904491.0,2014-12-25
MUSE,2015-05-06,2011-04-05,beeph,https://bitcointalk.org/index.php?topic=25870.0,2011-07-04
SWARM,2014-09-16,2010-07-21,NewLibertyStandard,https://bitcointalk.org/index.php?topic=557.0,2010-07-24
HBN,2013-12-20,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
WS,2015-07-02,2015-02-10,KrLos,https://bitcointalk.org/index.php?topic=1022416.0,2015-04-12
EXP,2015-09-15,2015-08-09,CryptoClub,https://bitcointalk.org/index.php?topic=1149632.0,2015-08-10
LQD,2015-02-06,2015-02-07,Geenstijl,https://bitcointalk.org/index.php?topic=948702.0,2015-02-07
PAK,2015-09-15,2015-06-22,drwatson84,https://bitcointalk.org/index.php?topic=1096893.0,2015-06-22
IBITS,2015-07-27,2015-07-13,iBITS,https://bitcointalk.org/index.php?topic=1120097.0,2015-07-13
TCO,2014-07-21,2014-04-29,Cryddit,https://bitcointalk.org/index.php?topic=588413.0,2014-04-29
VNL,2015-03-05,2014-12-12,john-connor,https://bitcointalk.org/index.php?topic=890388.0,2014-12-12
RIN,2014-08-02,2014-05-23,homhomhom,https://bitcointalk.org/index.php?topic=622288.0,2014-05-23
CANN,2014-08-02,2014-03-26,CryptoSpecs,https://bitcointalk.org/index.php?topic=537548.0,2014-03-26
YAC,2013-06-09,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
BITUSD,2014-09-23,2013-07-02,CLains,https://bitcointalk.org/index.php?topic=485166.0,2014-02-24
DCR,2015-08-29,2015-08-18,Gladimor,https://bitcointalk.org/index.php?topic=1155319.0,2015-08-18
RIC,2014-02-27,2013-09-05,gatra,https://bitcointalk.org/index.php?topic=288065.0,2013-09-05
COV,2015-04-21,2015-04-19,CovenDev,https://bitcointalk.org/index.php?topic=1029754.0,2015-04-19
FRAC,2014-06-15,2014-06-12,Fractalcoin,https://bitcointalk.org/index.php?topic=650173.0,2014-06-12
HAM,2014-10-26,2014-07-03,hamhrc,https://bitcointalk.org/index.php?topic=675564.0,2014-07-03
SONG,2015-03-22,2014-03-14,MicroGuy,https://bitcointalk.org/index.php?topic=793125.0,2014-09-23
BOST,2014-05-30,2014-05-09,mammix2,https://bitcointalk.org/index.php?topic=601965.0,2014-05-09
BOT,2015-09-08,2011-07-05,Walter Botcoin,https://bitcointalk.org/index.php?topic=1167349.0,2015-08-31
KNC,2015-09-28,2015-08-22,k0er,https://bitcointalk.org/index.php?topic=1159249.0,2015-08-22
DASH,2014-02-14,2011-01-22,ThiagoCMC,https://bitcointalk.org/index.php?topic=53791.0,2011-12-05
TRMB,2015-05-25,2014-08-09,godda04,https://bitcointalk.org/index.php?topic=1104238.0,2015-06-30
THC,2014-06-28,2014-03-01,MiningSensei,https://bitcointalk.org/index.php?topic=494655.0,2014-03-01
CETI,2015-01-31,2014-09-21,optigon,https://bitcointalk.org/index.php?topic=790782.0,2014-09-21
PHO,2014-05-23,2013-10-07,BlueDragon747,https://bitcointalk.org/index.php?topic=306894.0,2013-10-07
BURST,2014-08-30,2010-07-21,NuAngel,https://bitcointalk.org/index.php?topic=693.0,2010-08-03
ZEIT,2014-03-20,2014-02-14,ZEITCOIN,https://bitcointalk.org/index.php?topic=466066.0,2014-02-14
SWIFT,2014-10-05,2014-09-29,BitSwift,https://bitcointalk.org/index.php?topic=803027.0,2014-09-29
SYS,2014-08-20,2014-04-27,danosphere,https://bitcointalk.org/index.php?topic=587080.0,2014-04-27
HIRO,2014-03-26,2014-03-07,bonesoul,https://bitcointalk.org/index.php?topic=504658.0,2014-03-07
TRBO,2015-10-30,2015-10-01,CryptoWiz420,https://bitcointalk.org/index.php?topic=1203357.0,2015-10-08
LXC,2014-08-05,2014-07-21,Librexcoindev,https://bitcointalk.org/index.php?topic=703042.0,2014-07-21
MZC,2014-02-27,2014-02-22,dbbit,https://bitcointalk.org/index.php?topic=482337.0,2014-02-22
NAV,2014-06-12,2014-05-26,GREEDYJOHN,https://bitcointalk.org/index.php?topic=625623.0,2014-05-26
SPEC,2015-07-27,2010-06-04,andyc,https://bitcointalk.org/index.php?topic=324.0,2010-07-13
INDEX,2015-06-18,2015-06-05,sasha35625,https://bitcointalk.org/index.php?topic=1111659.0,2015-07-06
DMD,2013-12-19,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
CRW,2014-11-08,2014-10-07,jeliman,https://bitcointalk.org/index.php?topic=815487.0,2014-10-07
EMC,2014-08-23,2013-12-08,Fixx,https://bitcointalk.org/index.php?topic=362513.0,2013-12-08
BELA,2014-03-20,2014-01-29,twoturtles,https://bitcointalk.org/index.php?topic=437825.0,2014-01-29
SYNC,2014-05-20,2010-07-24,genjix,https://bitcointalk.org/index.php?topic=2067.0,2010-12-04
DRZ,2015-04-27,2015-04-14,DRZ,https://bitcointalk.org/index.php?topic=1024845.0,2015-04-14
CRC,2013-07-07,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
SKC,2014-03-15,2013-11-01,Red Kendra,https://bitcointalk.org/index.php?topic=322828.0,2013-11-01
SKB,2015-10-14,2015-05-20,SkullBuzz,https://bitcointalk.org/index.php?topic=1066128.0,2015-05-20
GRS,2014-04-11,2014-02-19,phm,https://bitcointalk.org/index.php?topic=475795.0,2014-02-19
PR,2015-10-12,2015-08-03,OSMIUMCOIN,https://bitcointalk.org/index.php?topic=1201395.0,2015-10-06
ACOIN,2014-09-13,2011-08-16,giszmo,https://bitcointalk.org/index.php?topic=47898.0,2011-10-12
XDN,2014-06-24,2014-09-19,dNote,https://bitcointalk.org/index.php?topic=788916.0,2014-09-19
BUK,2014-10-04,2013-08-31,CryptoBuck,https://bitcointalk.org/index.php?topic=285224.0,2013-08-31
BUN,2014-09-11,2014-04-29,shibebunny,https://bitcointalk.org/index.php?topic=589180.0,2014-04-29
XDQ,2014-05-26,2014-05-19,coinweaver,https://bitcointalk.org/index.php?topic=616288.0,2014-05-19
XDP,2014-08-28,2014-07-23,dogeparty,https://bitcointalk.org/index.php?topic=706739.0,2014-07-23
BUB,2015-05-06,2015-05-01,MakingBubbles,https://bitcointalk.org/index.php?topic=1044272.0,2015-05-01
GEO,2015-02-21,2013-07-16,Jaxkr,https://bitcointalk.org/index.php?topic=257328.0,2013-07-16
FIBRE,2014-08-30,2011-05-11,dcwsco,https://bitcointalk.org/index.php?topic=273810.0,2013-08-14
LIMX,2014-06-08,2014-04-29,Cryddit,https://bitcointalk.org/index.php?topic=588413.0,2014-04-29
KEY,2014-07-18,2014-07-15,keycoin,https://bitcointalk.org/index.php?topic=695457.0,2014-07-15
TAGR,2015-07-16,2015-06-18,Tagr.Dev,https://bitcointalk.org/index.php?topic=1092796.0,2015-06-18
UNIC,2015-06-14,2013-12-30,Teamunicoin,https://bitcointalk.org/index.php?topic=392204.0,2013-12-30
XRA,2015-06-26,2015-06-17,R-A-T-E,https://bitcointalk.org/index.php?topic=1092273.0,2015-06-17
VGC,2014-05-06,2014-02-15,Byates,https://bitcointalk.org/index.php?topic=466312.0,2014-02-15
XRP,2013-08-04,2012-12-24,annette786,https://bitcointalk.org/index.php?topic=133096.0,2012-12-24
LEA,2015-04-19,2015-03-30,tattooman67,https://bitcointalk.org/index.php?topic=1006917.0,2015-03-30
MARYJ,2014-10-04,2014-09-23,MaryJ,https://bitcointalk.org/index.php?topic=793704.0,2014-09-23
ANC,2013-07-14,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
CBIT,2015-10-01,2015-09-23,CryptBit,https://bitcointalk.org/index.php?topic=1188889.0,2015-09-23
XEMP,2015-09-14,2015-08-09,EmpoEX,https://bitcointalk.org/index.php?topic=1148697.0,2015-08-09
ANI,2014-02-28,2014-01-19,ani-chan,https://bitcointalk.org/index.php?topic=423339.0,2014-01-19
NVC,2013-04-28,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
FRSH,2014-08-22,2014-06-30,savale,https://bitcointalk.org/index.php?topic=670939.0,2014-06-30
JLH,2014-07-23,2014-07-18,EvilDave,https://bitcointalk.org/index.php?topic=699887.0,2014-07-18
BCN,2014-06-17,2014-03-12,DStrange,https://bitcointalk.org/index.php?topic=512747.0,2014-03-12
DSH,2014-10-07,2014-07-05,slb,https://bitcointalk.org/index.php?topic=678232.0,2014-07-05
GIVE,2015-02-20,2013-08-09,achillez,https://bitcointalk.org/index.php?topic=270791.0,2013-08-09
BCF,2014-12-06,2014-12-03,BitCoinFastTeam,https://bitcointalk.org/index.php?topic=881774.0,2014-12-03
DVC,2013-04-28,2011-08-05,Unthinkingbit,https://bitcointalk.org/index.php?topic=34586.0,2011-08-05
BCX,2014-01-30,2013-12-02,jackofall1232,https://bitcointalk.org/index.php?topic=354612.0,2013-12-02
ICASH,2015-03-27,2011-09-04,GigaCoin,https://bitcointalk.org/index.php?topic=507301.0,2014-03-08
FIST,2015-06-08,2015-06-01,FistBump,https://bitcointalk.org/index.php?topic=1077662.0,2015-06-01
ETH,2015-08-07,2014-01-13,tk808,https://bitcointalk.org/index.php?topic=419073.0,2014-01-16
COL,2013-11-30,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
BCR,2015-03-29,2014-12-17,bitcreditscc,https://bitcointalk.org/index.php?topic=896126.0,2014-12-17
CON,2015-02-15,2015-01-02,muddafudda,https://bitcointalk.org/index.php?topic=912034.0,2015-01-02
DETH,2015-08-10,2015-08-09,DarkEther,https://bitcointalk.org/index.php?topic=1148229.0,2015-08-09
SPRTS,2015-07-21,2015-06-30,eddie13,https://bitcointalk.org/index.php?topic=1276152.0,2015-12-04
CASH,2014-02-27,2013-05-26,maxpower,https://bitcointalk.org/index.php?topic=216672.0,2013-05-26
KDC,2014-02-02,2014-01-09,KlondikeCoin,https://bitcointalk.org/index.php?topic=407705.0,2014-01-09
VRC,2014-05-16,2014-05-09,effectsToCause,https://bitcointalk.org/index.php?topic=602041.0,2014-05-09
QORA,2014-05-26,2014-03-19,qora,https://bitcointalk.org/index.php?topic=522102.0,2014-03-19
ZS,2014-05-02,2014-04-25,CryptoGir,https://bitcointalk.org/index.php?topic=583591.0,2014-04-25
VIRAL,2015-05-08,2010-07-11,chaord,https://bitcointalk.org/index.php?topic=1276.0,2010-09-24
FAIR,2014-03-22,2012-11-01,deepceleron,https://bitcointalk.org/index.php?topic=121845.0,2012-11-01
DIME,2014-01-06,2013-12-23,dimecoin,https://bitcointalk.org/index.php?topic=382164.0,2013-12-23
CC,2015-04-03,2015-03-29,CyberCoinDev,https://bitcointalk.org/index.php?topic=1006415.0,2015-03-29
XMG,2014-09-23,2014-08-12,joelao95,https://bitcointalk.org/index.php?topic=735170.0,2014-08-12
HEX,2014-03-15,2014-02-22,Heisenbergprime,https://bitcointalk.org/index.php?topic=481417.0,2014-02-22
CF,2015-04-21,2015-04-17,cfdev,https://bitcointalk.org/index.php?topic=1027613.0,2015-04-17
COMM,2014-04-15,2014-03-25,communitycoin,https://bitcointalk.org/index.php?topic=529481.0,2014-03-25
CS,2015-08-04,2015-02-28,xPooky,https://bitcointalk.org/index.php?topic=971737.0,2015-02-28
IEC,2015-04-29,2015-04-16,IvugeoEvolutionCoin,https://bitcointalk.org/index.php?topic=1026371.0,2015-04-16
XMR,2014-05-20,2013-03-26,qxzn,https://bitcointalk.org/index.php?topic=158777.0,2013-03-26
DRS,2014-06-15,2014-04-29,Cryddit,https://bitcointalk.org/index.php?topic=588413.0,2014-04-29
PLS,2015-10-12,2011-11-20,okiefromokc,https://bitcointalk.org/index.php?topic=371237.0,2013-12-14
SNRG,2015-06-08,2015-05-26,Grandpa Jones,https://bitcointalk.org/index.php?topic=1070124.0,2015-05-26
NMB,2014-09-04,2014-05-23,sr.machado,https://bitcointalk.org/index.php?topic=622323.0,2014-05-23
NMC,2013-04-28,2011-06-08,wizzard0,https://bitcointalk.org/index.php?topic=14937.0,2011-06-11
LOG,2015-03-22,2014-10-22,funkenstein,https://bitcointalk.org/index.php?topic=831003.0,2014-10-22
MNTA,2014-08-30,2014-08-21,CrazyLoaf,https://bitcointalk.org/index.php?topic=795248.0,2014-09-24
RUBIT,2015-11-23,2015-10-25,Rublebit,https://bitcointalk.org/index.php?topic=1243299.0,2015-11-10
DIG,2014-06-28,2012-11-28,DSF,https://bitcointalk.org/index.php?topic=597634.0,2014-05-06
HYP,2014-08-09,2014-07-06,presstab,https://bitcointalk.org/index.php?topic=678849.0,2014-07-06
LOT,2013-12-27,2011-06-04,BitJohn,https://bitcointalk.org/index.php?topic=246679.0,2013-06-30
ARCH,2014-10-06,2014-08-24,BTCarchitect,https://bitcointalk.org/index.php?topic=754055.0,2014-08-24
AXIOM,2015-07-29,2011-06-20,Elwar,https://bitcointalk.org/index.php?topic=170857.0,2013-04-08
AIB,2015-04-30,2014-01-06,aib,https://bitcointalk.org/index.php?topic=1020912.0,2015-04-11
PPC,2013-04-28,2012-10-02,Sunny King,https://bitcointalk.org/index.php?topic=114994.0,2012-10-02
XXX,2014-07-03,2013-04-20,madmartyk,https://bitcointalk.org/index.php?topic=405308.0,2014-01-08
SOL,2014-09-07,2014-01-02,crike,https://bitcointalk.org/index.php?topic=395661.0,2014-01-02
GAP,2014-11-01,2014-06-11,j0nn9,https://bitcointalk.org/index.php?topic=647681.0,2014-06-11
NXTcoinsco,2014-10-04,2014-07-29,jl777,https://bitcointalk.org/index.php?topic=762346.0,2014-08-30
GAM,2015-05-22,2015-05-05,raithe,https://bitcointalk.org/index.php?topic=1051324.0,2015-05-05
NSR,2014-10-25,2014-11-14,kristianb,https://bitcointalk.org/index.php?topic=886116.0,2014-12-08
G3N,2015-06-10,2015-09-27,HORT,https://bitcointalk.org/index.php?topic=1205536.0,2015-10-11
UTC,2014-02-09,2013-07-21,digit,https://bitcointalk.org/index.php?topic=259927.0,2013-07-21
GOOD,2014-06-08,2013-05-26,maxpower,https://bitcointalk.org/index.php?topic=216672.0,2013-05-26
MTR,2015-03-02,2014-11-19,mastertrader777,https://bitcointalk.org/index.php?topic=954240.0,2015-02-13
XVI,2015-07-02,2015-06-03,Viecoin,https://bitcointalk.org/index.php?topic=1084038.0,2015-06-08
IRL,2015-07-07,2014-05-17,riddler_xyz,https://bitcointalk.org/index.php?topic=612983.0,2014-05-17
HTML5,2014-09-19,2014-08-25,HTMLCOIN,https://bitcointalk.org/index.php?topic=801489.0,2014-09-28
CNMT,2014-09-04,2014-09-09,coinomat.com,https://bitcointalk.org/index.php?topic=775733.0,2014-09-09
PINK,2014-05-11,2013-05-26,maxpower,https://bitcointalk.org/index.php?topic=216672.0,2013-05-26
MAPC,2015-09-08,2015-08-20,thimo,https://bitcointalk.org/index.php?topic=1158633.0,2015-08-21
SDP,2015-08-23,2015-08-09,SydPakCoin Dev,https://bitcointalk.org/index.php?topic=1148686.0,2015-08-09
NXTTY,2014-08-12,2014-08-12,landomata,https://bitcointalk.org/index.php?topic=735878.0,2014-08-12
ARB,2015-05-21,2015-05-08,ARbit,https://bitcointalk.org/index.php?topic=1054576.0,2015-05-08
PURE,2015-08-23,2014-06-22,BCTS,https://bitcointalk.org/index.php?topic=660950.0,2014-06-22
ARG,2013-07-04,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
ARI,2014-02-20,2014-02-07,olympicsdude,https://bitcointalk.org/index.php?topic=453085.0,2014-02-07
TRUST,2014-07-10,2014-06-21,mitchellmint,https://bitcointalk.org/index.php?topic=659848.0,2014-06-21
NYAN,2014-02-09,2013-05-15,united-scrypt-coin,https://bitcointalk.org/index.php?topic=353688.0,2013-11-30
WDC,2013-05-21,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
TIX,2013-11-03,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
PARA,2015-09-25,2015-08-14,First23,https://bitcointalk.org/index.php?topic=1152948.0,2015-08-14
TIT,2014-08-25,2014-01-19,prurient,https://bitcointalk.org/index.php?topic=423523.0,2014-01-19
XJO,2013-12-06,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
NAN,2013-07-17,2013-07-01,xcezzz,https://bitcointalk.org/index.php?topic=247304.0,2013-07-01
HNC,2015-07-21,2015-02-08,helleniccoin,https://bitcointalk.org/index.php?topic=950020.0,2015-02-08
DARK,2014-12-06,2013-04-26,hyunsookmom,https://bitcointalk.org/index.php?topic=457119.0,2014-02-09
NAS,2014-04-15,2010-12-15,toroidmonster24,https://bitcointalk.org/index.php?topic=356324.0,2013-12-03
CCN,2014-04-25,2014-02-23,Cannacoin,https://bitcointalk.org/index.php?topic=529152.0,2014-03-24
STEPS,2015-09-19,2010-07-22,Vasili Sviridov,https://bitcointalk.org/index.php?topic=524.0,2010-07-22
BOB,2014-08-27,2014-01-10,deeppurple72,https://bitcointalk.org/index.php?topic=408969.0,2014-01-10
BOD,2015-06-18,2015-06-16,SalimNagamato,https://bitcointalk.org/index.php?topic=1091421.0,2015-06-16
SHLD,2014-07-12,2014-07-08,shieldcoindevs,https://bitcointalk.org/index.php?topic=681570.0,2014-07-08
SXC,2013-12-08,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
APEX,2014-07-18,2014-03-26,CryptoSpecs,https://bitcointalk.org/index.php?topic=537548.0,2014-03-26
MYR,2014-03-08,2014-02-19,phm,https://bitcointalk.org/index.php?topic=475795.0,2014-02-19
CENT,2014-08-25,2011-02-10,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
UIS,2015-01-12,2014-12-21,neuroMode,https://bitcointalk.org/index.php?topic=901069.0,2014-12-21
LYB,2015-11-16,2015-01-28,Lyrabar,https://bitcointalk.org/index.php?topic=939208.0,2015-01-28
LYC,2014-04-11,2014-02-08,vampirecoin,https://bitcointalk.org/index.php?topic=455690.0,2014-02-08
CHIP,2015-08-04,2012-04-06,Chips,https://bitcointalk.org/index.php?topic=1134886.0,2015-07-25
NXT,2013-12-04,2011-07-15,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
BQC,2013-05-08,2012-07-25,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
BOLI,2015-09-08,2015-08-15,bolivarcoin,https://bitcointalk.org/index.php?topic=1153330.0,2015-08-15
XAU,2015-04-21,2015-02-27,Aurum Project,https://bitcointalk.org/index.php?topic=970586.0,2015-02-27
NXE,2015-03-22,2015-03-05,NXE,https://bitcointalk.org/index.php?topic=977489.0,2015-03-05
P7C,2015-04-17,2015-05-10,Power7-Dev,https://bitcointalk.org/index.php?topic=1057120.0,2015-05-10
OK,2014-12-13,2015-04-17,OKtoshi,https://bitcointalk.org/index.php?topic=1028368.0,2015-04-17
CRAIG,2014-09-30,2014-09-12,CraigsCoin,https://bitcointalk.org/index.php?topic=780334.0,2014-09-12
OC,2014-05-12,2013-04-23,Orangecoin,https://bitcointalk.org/index.php?topic=581894.0,2014-04-23
GSY,2015-09-15,2015-07-16,GSYTeam,https://bitcointalk.org/index.php?topic=1125249.0,2015-07-16
BVC,2014-10-04,2014-08-29,Sumpfbiene,https://bitcointalk.org/index.php?topic=761269.0,2014-08-29
MAID,2014-04-27,2014-04-20,hellobilljoygo,https://bitcointalk.org/index.php?topic=776901.0,2014-09-10
NTRN,2015-04-21,2015-04-19,NeutronCoin,https://bitcointalk.org/index.php?topic=1029823.0,2015-04-19
QDOS,2015-11-18,2015-10-25,grue,https://bitcointalk.org/index.php?topic=1254606.0,2015-11-19
JUDGE,2014-07-07,2014-06-26,judgecrypto,https://bitcointalk.org/index.php?topic=666335.0,2014-06-26
FST,2013-07-04,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
BTCRY,2015-03-22,2014-10-31,bitcrystal,https://bitcointalk.org/index.php?topic=966861.0,2015-02-24
BCY,2015-09-14,2015-02-16,hnin,https://bitcointalk.org/index.php?topic=957797.0,2015-02-16
HZ,2014-07-14,2014-10-14,Pizpie,https://bitcointalk.org/index.php?topic=823785.0,2014-10-14
CGN,2015-04-21,2015-04-10,TillKoeln,https://bitcointalk.org/index.php?topic=1019421.0,2015-04-10
XST,2014-07-10,2014-07-08,najzenmajsen,https://bitcointalk.org/index.php?topic=682058.0,2014-07-08
CLOAK,2014-06-06,2014-05-31,TheDagger,https://bitcointalk.org/index.php?topic=634046.0,2014-05-31
MWC,2014-08-09,2014-08-05,MWC Dev,https://bitcointalk.org/index.php?topic=725620.0,2014-08-05
FLO,2013-11-27,2013-03-26,qxzn,https://bitcointalk.org/index.php?topic=158777.0,2013-03-26
LKY,2013-06-14,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
XSI,2014-04-23,2014-04-16,cryptonewbie,https://bitcointalk.org/index.php?topic=572508.0,2014-04-16
VIOR,2014-11-23,2014-10-25,Viorcoin,https://bitcointalk.org/index.php?topic=834910.0,2014-10-25
BLOCK,2014-11-01,2014-06-11,APEXcoin_Team,https://bitcointalk.org/index.php?topic=686403.0,2014-07-11
TRON,2015-04-14,2015-04-11,positrondev,https://bitcointalk.org/index.php?topic=1021029.0,2015-04-11
AMC,2013-06-09,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
PTC,2014-02-22,2014-01-07,CryptoMP,https://bitcointalk.org/index.php?topic=403378.0,2014-01-07
ROX,2014-07-01,2014-06-28,Roxcoin,https://bitcointalk.org/index.php?topic=668876.0,2014-06-28
RED,2014-01-24,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
OSC,2014-03-15,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
MNC,2013-05-02,2013-01-01,xorxor,https://bitcointalk.org/index.php?topic=134179.0,2013-01-01
