coin,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
ALN,2014-03-15,2014-01-09,2014-03-15,Aliencoin,1,84,6,65
ALF,2013-07-07,2013-01-01,2013-07-07,xorxor,1,390,10,187
NTR,2014-06-12,2014-06-19,2014-06-12,NTRscam,1,0,0,-7
SBC,2013-07-07,2013-06-07,2013-07-07,artos,1,59,4,30
ORB,2013-12-21,2013-01-01,2013-12-21,xorxor,1,470,12,354
MMC,2013-12-24,2013-05-26,2013-12-24,maxpower,1,226,2,232
GLYPH,2014-06-17,2011-05-04,2014-06-17,Pander,1,19,2,1179
I0C,2013-11-27,2011-08-16,2013-11-27,ableorange,1,46,6,901
BAT,2014-03-03,2014-01-06,2014-03-03,.Batman.,1,219,11,56
SSV,2014-09-07,2014-06-22,2014-09-07,SSVCoin,1,14,1,77
FUTC,2015-07-21,2015-02-19,2015-07-21,FUTCOIN,1,3,1,152
TOR,2014-07-12,2013-05-06,2014-07-12,Joe_Bauers,1,409,22,469
BITEUR,2015-06-08,2015-05-03,2015-06-08,d5000,1,167,5,810
TOP,2014-02-17,2014-01-08,2014-02-17,evgamine,1,7,3,40
CAP,2013-07-04,2013-01-01,2013-07-04,xorxor,1,390,10,184
RIPO,2014-08-23,2014-08-01,2014-08-23,RipoffCoinDevTeam,1,47,1,22
MOTO,2014-06-03,2014-05-01,2014-06-03,WilliamLie2,1,84,2,33
OS76,2015-10-19,2015-10-06,2015-10-19,OSMIUMCOIN,1,53,1,13
ERC,2015-06-18,2014-05-03,2015-06-18,EuropeCoin,1,273,5,411
HAL,2014-08-19,2014-08-16,2014-08-19,halcyondev,1,19,1,3
XCR,2014-08-07,2014-06-16,2014-08-07,crypti,1,101,4,66
XCP,2014-02-15,2014-01-02,2014-02-15,PhantomPhreak,1,147,1,44
CELL,2015-01-25,2015-01-08,2015-01-25,koko2530,1,52,1,205
Privatebet,2014-10-04,2014-07-09,2014-10-04,Azeh,1,92,3,215
XPB,2015-03-31,2015-01-01,2015-03-31,XPB,1,74,1,89
BTA,2015-05-29,2015-04-28,2015-05-29,pc888,1,260,4,453
VPN,2014-11-23,2014-07-22,2014-11-23,vpncoin,1,303,7,124
HUGE,2015-04-24,2014-09-19,2015-04-24,hardforkcoin,1,417,23,266
DCYP,2015-10-24,2015-10-06,2015-10-24,Atomictie,1,42,1,20
BANX,2014-09-30,2014-10-06,2014-09-30,MarkLyford,1,19,4,505
NEOS,2014-08-25,2014-08-25,2014-08-25,infernoman,1,108,4,100
STV,2014-10-20,2014-09-21,2014-10-20,sativacoin,1,38,1,29
ZRC,2015-03-03,2015-03-18,2015-03-03,gnargnar,1,105,0,302
RZR,2014-06-21,2014-06-08,2014-06-21,RazorTech,1,39,1,13
STR,2014-02-02,2013-07-19,2014-02-02,nzdude,1,79,12,238
CZC,2014-10-20,2014-07-27,2014-10-20,CzechCrowCoinDev,1,2,2,85
ABY,2014-06-12,2014-03-06,2014-06-12,First.Bitcoins,1,181,39,124
EXCL,2014-09-30,2014-09-06,2014-09-30,kingscrown,1,663,29,259
CACH,2014-02-15,2014-01-05,2014-02-15,kalgecin,1,296,6,282
JINN,2014-10-03,2014-09-25,2014-10-03,devphp,1,1102,18,263
PND,2014-02-27,2014-02-11,2014-02-27,sevoque,1,515,18,77
GB,2014-08-23,2014-08-15,2014-08-23,GreenBacksTeam,1,150,2,32
QRK,2013-08-25,2013-01-01,2013-08-25,xorxor,1,442,10,236
XQN,2014-11-23,2014-11-11,2014-11-23,CedricQuotient,1,78,2,12
LIT,2014-07-05,2014-06-12,2014-07-05,Lightcoinproject,1,34,1,23
XUP,2015-09-22,2015-09-16,2015-09-22,TheTerminator,1,51,1,36
ZNY,2015-07-09,2014-11-07,2015-07-09,bitzeny,1,2,1,244
SAK,2015-03-08,2014-05-20,2015-03-08,SAKTeam,1,1,1,292
DIBS,2015-06-24,2015-06-16,2015-06-24,DIBBITSdev,1,1,1,8
PRC,2014-02-20,2014-01-29,2014-02-20,inmean,1,76,4,22
MEOW,2014-01-24,2013-12-24,2014-01-24,lonestar108,1,26,2,71
PRT,2014-01-22,2013-12-31,2014-01-22,moonmoon,1,44,6,22
