coin,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
SC,2015-08-26,2013-05-08,2015-08-26,rlh,1,210,9,1527
ORB,2013-12-21,2013-09-12,2013-12-21,torzsy,1,512,12,236
MMC,2013-12-24,2013-08-03,2013-12-24,FreeTrade,1,663,36,815
GLYPH,2014-06-17,2014-06-08,2014-06-17,GLYPH,1,7,1,9
I0C,2013-11-27,2013-06-03,2013-11-27,Hazard,1,1179,41,209
BAT,2014-03-03,2014-01-03,2014-03-03,cosmofly,1,104,8,68
SSV,2014-09-07,2014-06-22,2014-09-07,SSVCoin,1,14,1,77
FUTC,2015-07-21,2015-02-19,2015-07-21,FUTCOIN,1,3,1,152
TOR,2014-07-12,2013-12-24,2014-07-12,hover,1,429,14,200
SOIL,2015-11-12,2015-09-10,2015-11-12,soil,1,74,1,63
TOP,2014-02-17,2011-07-29,2014-02-17,coblee,1,800,26,966
CAP,2013-07-04,2013-06-05,2013-07-04,vinne81,1,183,7,69
CAT,2013-12-27,2013-11-23,2013-12-27,Lebrick,1,80,5,224
OS76,2015-10-19,2015-10-06,2015-10-19,OSMIUMCOIN,1,53,1,13
ERC,2015-06-18,2014-05-03,2015-06-18,EuropeCoin,1,273,5,411
FRAC,2014-06-15,2014-06-12,2014-06-15,Fractalcoin,1,1,1,3
HUGE,2015-04-24,2012-04-04,2015-04-24,Vladimir,1,605,36,1561
XCP,2014-02-15,2014-01-02,2014-02-15,PhantomPhreak,1,147,1,44
CELL,2015-01-25,2015-01-08,2015-01-25,koko2530,1,52,1,205
VPN,2014-11-23,2014-05-10,2014-11-23,SuperTramp,1,725,9,1191
ABC,2015-05-24,2013-05-17,2015-05-24,jnada,1,191,11,752
DCYP,2015-10-24,2015-10-06,2015-10-24,Atomictie,1,42,1,20
BANX,2014-09-30,2014-10-06,2014-09-30,MarkLyford,1,19,4,505
NEOS,2014-08-25,2014-08-26,2014-08-25,twoturtles,1,33,2,208
STV,2014-10-20,2014-09-21,2014-10-20,sativacoin,1,38,1,29
ZRC,2015-03-03,2015-03-18,2015-03-03,gnargnar,1,105,0,302
RZR,2014-06-21,2014-06-08,2014-06-21,RazorTech,1,39,1,13
STR,2014-02-02,2013-07-20,2014-02-02,sheinsha,1,497,9,264
CZC,2014-10-20,2014-05-04,2014-10-20,czechcoin,1,12,2,170
XPD,2014-04-15,2014-02-18,2014-04-15,coinweaver,1,34,3,60
CACH,2014-02-15,2014-01-05,2014-02-15,kalgecin,1,296,6,282
PND,2014-02-27,2013-12-30,2014-02-27,bitrebel,1,778,73,988
GB,2014-08-23,2013-12-26,2014-08-23,speedminer,1,68,5,243
QRK,2013-08-25,2013-07-21,2013-08-25,quarkcoin,1,27,2,37
XQN,2014-11-23,2014-11-11,2014-11-23,CedricQuotient,1,78,2,12
MIN,2014-06-21,2013-05-16,2014-06-21,flound1129,1,566,15,466
LIT,2014-07-05,2013-12-07,2014-07-05,litecoin_messiah,1,243,17,388
GHC,2014-10-10,2014-03-10,2014-10-10,Ghostcoins,1,30,2,214
XUP,2015-09-22,2015-09-16,2015-09-22,TheTerminator,1,51,1,36
ZNY,2015-07-09,2014-11-07,2015-07-09,bitzeny,1,2,1,244
GAP,2014-11-01,2014-06-11,2014-11-01,j0nn9,1,68,2,143
SAK,2015-03-08,2014-05-20,2015-03-08,SAKTeam,1,1,1,292
PRC,2014-02-20,2014-01-29,2014-02-20,inmean,1,76,4,22
