symbol,name,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
COOL,CoolCoin,2014-06-28,2013-12-30,IainKay,https://bitcointalk.org/index.php?topic=391240.0,2013-12-30
HYPER,Hyper,2014-05-31,2013-05-30,shakezula,https://bitcointalk.org/index.php?topic=219665.0,2013-05-30
MI,Xiaomicoin,2015-09-04,2015-05-25,she9888,https://bitcointalk.org/index.php?topic=1068526.0,2015-05-25
NOC,Nocturna,2015-07-27,2014-01-28,extortion,https://bitcointalk.org/index.php?topic=435832.0,2014-01-28
EMC2,Einsteinium,2014-04-09,2014-01-19,naplam,https://bitcointalk.org/index.php?topic=423488.0,2014-01-19
CBX,Crypto Bullion,2013-08-04,2011-09-03,tylerR,https://bitcointalk.org/index.php?topic=41220.0,2011-09-03
OPAL,Opal,2014-09-13,2014-09-11,OpalTeam,https://bitcointalk.org/index.php?topic=778677.0,2014-09-11
DON,Donationcoin,2014-06-15,2014-01-01,skyisthelimit,https://bitcointalk.org/index.php?topic=394964.0,2014-01-01
SHADE,ShadeCoin,2014-09-06,2014-08-29,mitzie,https://bitcointalk.org/index.php?topic=761354.0,2014-08-29
FJC,FujiCoin,2015-06-14,2014-06-08,motty,https://bitcointalk.org/index.php?topic=644601.0,2014-06-08
BLITZ,Blitz,2014-11-16,2014-04-26,slavo,https://bitcointalk.org/index.php?topic=585741.0,2014-04-26
REP,Augur,2015-10-27,2015-06-23,tinybike,https://bitcointalk.org/index.php?topic=1097470.0,2015-06-23
GLC,GlobalCoin,2013-08-04,2013-06-28,erundook,https://bitcointalk.org/index.php?topic=245813.0,2013-06-28
GLD,GoldCoin,2013-06-14,2013-05-17,vipah,https://bitcointalk.org/index.php?topic=207872.0,2013-05-17
XSEED,BitSeeds,2015-04-21,2015-04-17,BitSeedsFoundation,https://bitcointalk.org/index.php?topic=1028446.0,2015-04-17
CTM,ContinuumCoin,2014-02-27,2014-02-26,coinpool_de,https://bitcointalk.org/index.php?topic=489291.0,2014-02-26
CTO,Crypto,2015-05-18,2011-10-29,cryptoxchange,https://bitcointalk.org/index.php?topic=50211.0,2011-10-29
SMC,SmartCoin,2014-02-06,2014-01-04,miramare,https://bitcointalk.org/index.php?topic=398977.0,2014-01-04
RED,RedCoin,2014-01-24,2013-06-30,ahmed_bodi,https://bitcointalk.org/index.php?topic=246820.0,2013-06-30
CLAM,Clams,2014-08-25,2014-05-24,SuperClam,https://bitcointalk.org/index.php?topic=623147.0,2014-05-24
LTBC,LTBcoin,2014-08-20,2015-04-05,BOUNTYSHARES,https://bitcointalk.org/index.php?topic=1013350.0,2015-04-05
FCX,Fantom,2015-11-23,2015-10-24,DuckYeah!,https://bitcointalk.org/index.php?topic=1219043.0,2015-10-24
