symbol,name,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
CLV,CleverCoin,2015-05-13,2015-05-08,2015-05-13,clevercryptodev,1,14,1,5
BBR,Boolberry,2014-06-24,2014-04-20,2014-06-24,crypto_zoidberg,1,214,6,208
CLR,Copperlark,2013-11-03,2013-07-03,2013-11-03,icreator,1,37,1,149
UNO,Unobtanium,2013-12-21,2013-10-17,2013-12-21,Blazr2,1,60,5,142
OMC,Omnicoin,2014-05-11,2014-02-16,2014-05-11,vurezo,1,1,1,84
SCRT,SecretCoin,2015-11-16,2015-08-25,2015-11-16,TeamSecret,1,105,1,83
ZED,Zedcoin,2014-03-06,2014-01-17,2014-03-06,MUBBLE86,1,397,3,95
HVC,Heavycoin,2014-03-12,2013-12-30,2014-03-12,1gh,1,29,1,72
CRAVE,Crave,2015-03-26,2013-03-10,2015-03-26,Kluge,1,698,15,1392
ZET,Zetacoin,2013-09-10,2013-01-01,2013-09-10,xorxor,1,442,10,252
INFX,Influxcoin,2015-09-15,2015-08-25,2015-09-15,Coryvmcs1,1,69,12,40
MAZE,MazeCoin,2015-10-19,2015-09-24,2015-10-19,plastcom,1,100,1,62
BITCNY,bitCNY,2014-09-23,2014-08-25,2014-09-23,instacash,1,939,16,298
VTA,Virtacoin,2014-08-09,2014-07-02,2014-08-09,misocialnetwork,1,26,1,92
SLFI,Selfiecoin,2015-03-22,2015-03-05,2015-03-22,freedomsr40,1,149,7,175
AMS,AmsterdamCoin,2015-08-20,2015-08-14,2015-08-20,keesdewit,1,91,2,59
WBB,WildBeastBitcoin,2015-02-28,2015-02-11,2015-02-28,WildBeastBitcoin,1,68,1,17
DUCK,DuckDuckCoin,2014-02-22,2014-02-04,2014-02-22,mainduck,1,42,1,18
DT,DarkToken,2014-09-17,2014-09-16,2014-09-17,darktoken,1,4,1,1
DP,DigitalPrice,2014-10-04,2014-09-20,2014-10-04,7vpo,1,76,2,232
CESC,CryptoEscudo,2014-04-03,2014-03-29,2014-04-03,play,1,5,1,127
CYP,Cypher,2015-04-11,2015-03-29,2015-04-11,Cypher7A69,1,53,1,13
CYT,Cryptokenz,2015-09-21,2015-09-10,2015-09-21,Crypt0ken,1,102,1,11
POT,PotCoin,2014-02-09,2014-01-17,2014-02-09,PotCoin,1,23,6,23
POP,PopularCoin,2014-04-23,2014-01-29,2014-04-23,inmean,1,100,5,84
CYC,Conspiracycoin,2014-07-05,2014-04-29,2014-07-05,Cryddit,1,354,16,311
TGC,Tigercoin,2013-12-21,2013-09-06,2013-12-21,mintedstone,1,52,1,111
RPC,RonPaulCoin,2014-01-06,2013-12-28,2014-01-06,colinistheman,1,211,24,211
TIPS,FedoraCoin,2013-12-31,2013-05-26,2013-12-31,maxpower,1,226,2,239
NODE,Node,2014-09-13,2010-01-11,2014-09-13,The Madhatter,1,163,8,1706
BITGOLD,bitGold,2015-01-04,2011-05-07,2015-01-04,jtimon,1,505,12,1444
RBY,Rubycoin,2014-03-20,2014-02-11,2014-03-20,rby,1,7,1,42
