coin_name,coin_symbol,first_date_price
HellasCoin,HLC,2014-11-16
Helleniccoin,HNC,2015-07-21
HTMLCOIN,HTML5,2014-09-19
HunterCoin,HUC,2014-02-14
BigCoin,HUGE,2015-04-24
Hundredcoin,HUN,2015-06-19
Heavycoin,HVC,2014-03-12
HyperStake,HYP,2014-08-09
Hyper,HYPER,2014-05-31
Horizon,HZ,2014-07-14
HazMatCoin,HZT,2015-04-17
I0Coin,I0C,2013-11-27
iBits,IBITS,2015-07-27
iCash,ICASH,2015-03-27
IcebergCoin,ICB,2014-07-16
iCoin,ICN,2014-02-17
IvugeoCoin,IEC,2015-04-29
Infinitecoin,IFC,2013-07-10
CoinoIndex,INDEX,2015-06-18
Influxcoin,INFX,2015-09-15
I/O Coin,IOC,2014-08-02
IrishCoin,IRL,2015-07-07
IslaCoin,ISL,2015-09-28
Isracoin,ISR,2014-04-08
InvisibleCoin,IVZ,2015-10-12
Ixcoin,IXC,2013-05-08
Joincoin,J,2014-08-25
Jay,JAY,2015-04-17
Jumbucks,JBS,2014-09-07
Jinn,JINN,2014-10-03
Junkcoin,JKC,2013-06-14
jl777hodl,JLH,2014-07-23
Judgecoin,JUDGE,2014-07-08
Karmacoin,KARM,2014-02-08
KlondikeCoin,KDC,2014-02-02
KeyCoin,KEY,2014-07-18
Krugercoin,KGC,2013-07-07
KhanCoin,KNC,2015-09-28
Kobocoin,KOBO,2015-02-15
KoreCoin,KORE,2014-06-21
Kryptkoin,KTK,2014-06-08
Kumacoin,KUMA,2014-08-02
Coinworkscoin,LAB,2014-10-25
LiteDoge,LDOGE,2015-03-19
LeaCoin,LEA,2015-04-19
LeafCoin,LEAF,2014-02-02
LEOcoin,LEO,2015-08-04
Local Family Owned,LFO,2015-07-07
LegendaryCoin,LGD,2014-04-28
LimeCoinX,LIMX,2014-06-08
LIQUID,LIQUID,2015-02-06
Lightcoin,LIT,2014-07-05
Luckycoin,LKY,2013-06-14
Woodcoin,LOG,2015-03-22
LottoCoin,LOT,2013-12-28
Lightspeed,LSD,2014-09-13
LiteBar,LTB,2014-03-12
LTBcoin,LTBC,2014-08-20
Litecoin,LTC,2013-04-28
LitecoinDark,LTCD,2014-09-11
LimitedCoin,LTD,2015-09-15
Librexcoin,LXC,2014-08-05
Lycancoin,LYC,2014-04-11
Supply Shock,M1,2015-05-21
