coin_name,coin_symbol,first_date_price
spec,SPEC,2015-07-27
coinoindex,INDEX,2015-06-18
diamond,DMD,2013-12-19
crowncoin,CRW,2014-11-08
emercoin,EMC,2014-08-23
bellacoin,BELA,2014-03-20
crycoin,CRY,2015-04-07
sync,SYNC,2014-05-21
droidz,DRZ,2015-04-27
kolschcoin,CGN,2015-04-21
skeincoin,SKC,2014-03-15
flappycoin,FLAP,2014-02-22
prototanium,PR,2015-10-12
shibecoin,SHIBE,2014-05-06
acoin,ACOIN,2014-09-13
trinity,TTY,2015-01-18
darknote,XDN,2014-06-24
cryptobuk,BUK,2014-10-04
bunnycoin,BUN,2014-09-11
dirac,XDQ,2014-05-26
dogeparty,XDP,2014-08-28
geocoin,GEO,2015-02-21
genstake,GEN,2015-06-10
fibre,FIBRE,2014-08-30
limecoinx,LIMX,2014-06-08
keycoin,KEY,2014-07-18
tagrcoin,TAGR,2015-07-16
opensourcecoin,OSC,2014-03-15
unicoin,UNIC,2015-06-14
ratecoin,XRA,2015-06-26
vegascoin,VGC,2014-05-06
cryptofund,FUND,2015-09-21
shellpay,SHELL,2015-06-18
electronic-gulden,EFL,2014-03-26
ripple,XRP,2013-08-04
universal-currency,UNIT,2015-05-07
leacoin,LEA,2015-04-19
save-and-gain,SANDG,2015-10-12
maryjane,MARYJ,2014-10-04
anoncoin,ANC,2013-07-14
cryptbit,CBIT,2015-10-01
empocredits,XEMP,2015-09-14
storjcoin-x,SJCX,2014-08-20
novacoin,NVC,2013-04-28
freshcoin,FRSH,2014-08-22
jl777hodl,JLH,2014-07-23
bytecoin-bcn,BCN,2014-06-17
dashcoin,DSH,2014-10-07
givecoin,GIVE,2015-02-20
mysticoin,MYSTIC,2015-09-14
chipcoin,CHIP,2015-08-04
devcoin,DVC,2013-04-28
fastcoin,FST,2013-07-04
icash,ICASH,2015-03-27
fistbump,FIST,2015-06-08
ethereum,ETH,2015-08-07
colossuscoin,COL,2013-12-01
bitcredits,BCR,2015-03-29
paycon,CON,2015-02-15
bitcent,BCENT,2015-02-06
gridmaster,GRM,2015-06-26
cashcoin,CASH,2014-02-27
spots,SPT,2013-07-25
vericoin,VRC,2014-05-16
the-cypherfunks,FUNK,2015-06-18
qora,QORA,2014-05-26
coin2-1,C2,2014-06-08
zimstake,ZS,2014-05-02
gsmcoin,GSM,2015-02-28
securecoin,SRC,2013-09-28
faircoin,FAIR,2014-03-22
dimecoin,DIME,2014-01-06
cybercoin,CC,2015-04-03
magi,XMG,2014-09-24
heisenberg,HEX,2014-03-15
californium,CF,2015-04-21
communitycoin,COMM,2014-04-15
cryptospots,CS,2015-08-04
ivugeocoin,IEC,2015-04-29
litedoge,LDOGE,2015-03-19
denarius,DRS,2014-06-15
play,PLS,2015-10-12
synergy,SNRG,2015-06-08
ufo-coin,UFO,2014-02-27
canada-ecoin,CDN,2014-05-11
bilshares,BILS,2014-08-25
namecoin,NMC,2013-04-28
saturn2coin,SAT2,2014-07-05
woodcoin,LOG,2015-03-22
moneta,MNTA,2014-08-30
digit,DIG,2014-06-28
animecoin,ANI,2014-02-28
hyperstake,HYP,2014-08-09
lottocoin,LOT,2013-12-28
archcoin,ARCH,2014-10-06
axiom,AXIOM,2015-07-30
asian-investment-bond,AIB,2015-04-30
peercoin,PPC,2013-04-28
instaminenuggets-minez,$MINEZ,2015-03-08
quark,QRK,2013-08-25
solcoin,SOL,2014-09-07
quazarcoin,QCN,2014-05-26
tradebots,NXTcoinsco,2014-10-04
gambit,GAM,2015-05-22
nushares,NSR,2014-10-25
ultracoin,UTC,2014-02-09
goodcoin,GOOD,2014-06-08
mastertradercoin,MTR,2015-03-02
britcoin,BRIT,2014-07-03
vibranium,XVI,2015-07-02
xcash,XCASH,2014-09-11
htmlcoin,HTML5,2014-09-19
coinomat,CNMT,2014-09-05
pinkcoin,PINK,2014-05-11
mapcoin,MAPC,2015-09-08
sydpak,SDP,2015-08-23
nxttycoin,NXTTY,2014-08-12
colossuscoin-v2,CV2,2015-03-20
arbit,ARB,2015-05-21
purepos,PURE,2015-08-23
argentum,ARG,2013-07-04
aricoin,ARI,2014-02-20
trustplus,TRUST,2014-07-10
nyancoin,NYAN,2014-02-09
worldcoin,WDC,2013-05-22
tickets,TIX,2013-11-03
paranoiacoin,PARA,2015-09-25
empyrean,EPY,2015-05-13
cannabiscoin,CANN,2014-08-02
joulecoin,XJO,2013-12-06
botcoin,BOT,2015-09-08
sooncoin,SOON,2015-01-28
fudcoin,DARK,2014-12-06
nas,NAS,2014-04-15
cannacoin,CCN,2014-04-25
navajo,NAV,2014-06-12
dobbscoin,BOB,2014-08-27
bloodcoin,BOD,2015-06-18
shieldcoin,SHLD,2014-07-12
sexcoin,SXC,2013-12-08
apexcoin,APEX,2014-07-18
myriadcoin,MYR,2014-03-08
pennies,CENT,2014-08-25
unitus,UIS,2015-01-12
lycancoin,LYC,2014-04-11
iocoin,IOC,2014-08-02
bitcoinfast,BCF,2014-12-06
nxt,NXT,2013-12-04
bbqcoin,BQC,2013-05-08
bolivarcoin,BOLI,2015-09-08
xaurum,XAU,2015-04-21
nxe,NXE,2015-03-22
sapience-aifx,XAI,2014-12-25
p7coin,P7C,2015-04-17
okcash,OK,2014-12-14
craigscoin,CRAIG,2014-09-30
helleniccoin,HNC,2015-07-21
orangecoin,OC,2014-05-13
beavercoin,BVC,2014-10-04
maidsafecoin,MAID,2014-04-28
neutron,NTRN,2015-04-21
fetish,FETISH,2014-10-20
judgecoin,JUDGE,2014-07-08
battlecoin,BCX,2014-01-31
bitcrystal,BTCRY,2015-03-22
bitcrystals,BCY,2015-09-14
next-horizon,HZ,2014-07-14
stealthcoin,XST,2014-07-10
sembro-token,SMBR,2014-10-20
cloakcoin,CLOAK,2014-06-06
multiwalletcoin,MWC,2014-08-09
deutsche-emark,DEM,2013-12-14
florincoin,FLO,2013-11-27
luckycoin,LKY,2013-06-14
pangea-poker,PANGEA,2014-12-13
stabilityshares,XSI,2014-04-23
viorcoin,VIOR,2014-11-23
blocknet,BLOCK,2014-11-01
icoin,ICN,2014-02-17
instaminenuggets-mine,$MINE,2015-03-08
americancoin,AMC,2013-06-09
pesetacoin,PTC,2014-02-22
roxcoin,ROX,2014-07-01
dotcoin,DOT,2015-02-15
amsterdamcoin,AMS,2015-08-20
mincoin,MNC,2013-05-03
bitshares-pts,PTS,2013-11-21
munne,MNE,2014-10-25
triangles,TRI,2014-07-21
truckcoin,TRK,2014-07-16
trollcoin,TRL,2014-09-30
darkether,DETH,2015-08-10
captcoin,CAPT,2014-08-20
aerocoin,AM,2014-07-07
terracoin,TRC,2013-04-28
tether,USDT,2015-02-25
kobocoin,KOBO,2015-02-15
vcoin,VCN,2015-06-10
sharkcoin,SAK,2015-03-08
usde,USDe,2014-02-06
titcoin,TIT,2014-08-25
vootcoin,VOOT,2014-06-12
mysterycoin,MYST,2015-02-06
turingcoin,TNG,2015-05-21
energycoin,ENRG,2014-05-15
noblenxt,NOXT,2014-12-06
x-coin,XCO,2015-03-06
litecoindark,LTCD,2014-09-11
local-family-owned,LFO,2015-07-07
invisiblecoin,IVZ,2015-10-12
planetcoin,PLANET,2015-03-22
scotcoin,XCPSCO,2014-05-26
instantdex,DEX,2014-09-14
nxtinspect,NXTI,2014-10-09
neocoin,NEC,2014-03-26
xencoin,XNC,2013-07-25
anarchistsprime,ACP,2015-07-13
nxtventure,NXTV,2014-09-23
netcoin,NET,2013-12-17
neucoin,NEU,2015-09-25
foldingcoin,FLDC,2014-09-16
tekcoin,TEK,2014-05-20
premineplus,PMP,2014-10-20
bitsilver,BITSILVER,2015-02-25
cryptographic-anomaly,CGA,2014-02-21
gems,GEMZ,2015-01-12
graviton,GRAV,2015-05-04
nubits,NBT,2014-09-23
bios-crypto,BIOS,2015-07-27
friendshipcoin2,FSC2,2015-01-25
blockshares,BKS,2015-09-09
teslacoin,TES,2014-02-06
debune,DEBUNE,2015-02-06
corgicoin,CORG,2014-02-21
gamecredits,GMC,2014-09-01
elacoin,ELC,2013-06-09
rabbitcoin,RBBT,2014-08-30
joincoin,J,2014-08-25
irishcoin,IRL,2015-07-07
sjwcoin,SJW,2015-08-07
gamecoin,GME,2013-08-25
fluttercoin,FLT,2014-03-20
reddcoin,RDD,2014-02-09
adderalcoin,ADD,2015-02-28
audiocoin,ADC,2015-06-05
carpediemcoin,DIEM,2014-04-28
aiden,ADN,2014-04-15
vtorrent,VTR,2014-12-25
mintcoin,MINT,2014-02-19
aeon,AEON,2015-08-04
electron,ELT,2014-06-12
mediterraneancoin,MED,2014-10-22
ozziecoin,OZC,2015-07-23
megacoin,MEC,2013-07-07
hirocoin,HIRO,2014-03-26
nem,XEM,2015-03-31
nautiluscoin,NAUT,2014-05-15
smileycoin,SMLY,2015-01-28
leocoin,LEO,2015-08-04
cryptocircuits,CIRC,2015-06-18
grandcoin,GDC,2013-12-17
flycoin,FLY,2015-09-14
stakerush,STHR,2015-09-14
biebercoin,BRC,2015-07-21
fonziecoin,FONZ,2015-09-15
quicksilver,QSLV,2014-11-13
viral,VIRAL,2015-05-08
wtf-coin,XWT,2014-10-26
coinousd,COINO,2014-12-25
breakcoin,BRE,2015-09-08
mastercoin,MSC,2013-12-24
whitecoin,XWC,2014-04-18
karmacoin,KARM,2014-02-08
transfercoin,TX,2015-08-20
earthcoin,EAC,2013-12-28
42-coin,42,2014-01-14
prime-xi,PXI,2014-10-04
vidio,VDO,2014-10-20
phalanx,PXL,2015-04-07
phoenixcoin,PXC,2013-07-04
telebet,TB,2015-05-15
asiacoin,AC,2014-04-20
positron,TRON,2015-04-14
spacecoin,SPACE,2015-09-09
icebergcoin,ICB,2014-07-16
metalcoin,METAL,2015-01-28
startcoin,START,2014-06-15
cannabisdarkcoin,CND,2014-10-24
aurumcoin,AU,2014-10-09
chncoin,CNC,2013-05-08
coin,CNO,2014-03-18
concealcoin,CNL,2014-07-21
incakoin,NKA,2015-01-28
zccoin,ZCC,2014-08-05
bitshares-music,NOTE,2015-05-07
krugercoin,KGC,2013-07-07
nakamotodark,NKT,2014-12-29
x-children,CHILD,2014-09-20
supercoin,SUPER,2014-05-26
ezcoin,EZC,2013-07-04
