symbol,name,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
GCN,GCoin,2014-11-16,2014-04-04,2014-11-16,Mr G,1,20,1,226
SHA,SHACoin,2014-06-25,2014-03-17,2014-06-25,matt4054,1,168,4,468
LTD,LimitedCoin,2015-09-15,2015-09-11,2015-09-15,LimitedDev,1,13,1,8
ECC,ECCoin,2014-03-20,2014-03-06,2014-03-20,hostmaster,1,963,44,110
CAGE,CageCoin,2014-04-15,2014-01-01,2014-04-15,Nicolas_Cage,1,19,3,104
LEAF,LeafCoin,2014-02-02,2014-01-24,2014-02-02,mcg,1,118,7,37
XCE,Cerium,2015-06-10,2015-06-06,2015-06-10,Cerium,1,21,1,4
XCH,ClearingHouse,2014-10-04,2014-08-11,2014-10-04,btcdrak,1,406,9,488
DOGE,Dogecoin,2013-12-15,2013-12-08,2013-12-15,Dogecoin,1,24,2,7
XCN,Cryptonite,2014-08-02,2014-07-18,2014-08-02,Cryptonite XCN,1,3,1,15
MOON,Mooncoin,2014-01-06,2013-12-28,2014-01-06,deaconboogie,1,30,1,9
BTE,Bytecoin,2013-05-10,2013-04-06,2013-05-10,brie,1,107,3,76
BTG,Bitgem,2013-07-04,2013-05-16,2013-07-04,mineral,1,108,2,49
BTC,Bitcoin,2013-04-28,2012-03-14,2013-04-28,joshbb,1,25,6,415
BTB,BitBar,2013-05-09,2013-05-04,2013-05-09,sido,1,60,2,23
JBS,Jumbucks,2014-09-07,2014-09-01,2014-09-07,jyap,1,24,1,113
ISR,Isracoin,2014-04-08,2014-03-24,2014-04-08,IsraelCoin,1,34,3,15
SPHR,Sphere,2015-05-02,2015-04-30,2015-05-02,ChronoSphereDev,1,9,1,2
UTIL,UtilityCoin,2014-09-30,2014-09-26,2014-09-30,utilitycoin,1,9,1,4
OCTO,Octo,2015-03-22,2015-02-19,2015-03-22,OCTOPARTY,1,179,1,31
BAY,BitBay,2014-11-16,2014-10-30,2014-11-16,BitBay Team,1,107,2,17
ISL,IslaCoin,2015-09-28,2015-05-05,2015-09-28,isladev,1,55,2,146
DGB,DigiByte,2014-02-06,2014-02-03,2014-02-06,sa_ddam213,1,24,9,32
DGC,Digitalcoin,2013-06-09,2013-05-20,2013-06-09,schnebi,1,172,13,37
MONETA,Moneta,2015-10-24,2014-06-15,2015-10-24,cryptomidnight,1,107,3,496
ASC,AsicCoin,2013-12-31,2013-09-11,2013-12-31,asicuser,1,26,2,112
BITZ,Bitz,2015-03-08,2015-11-01,2015-03-08,EBK1000,1,290,6,404
KUMA,Kumacoin,2014-08-02,2014-04-26,2014-08-02,kumacoinproject,1,1,1,98
QTL,Quatloo,2014-07-12,2014-06-17,2014-07-12,MarKusRomanus,1,395,10,457
BITS,Bitstar,2014-04-23,2014-04-17,2014-04-23,Bitstar_coin,1,53,1,6
JKC,Junkcoin,2013-06-14,2013-06-16,2013-06-14,the1silverwolf,1,293,12,38
VTA,Virtacoin,2014-08-09,2014-08-11,2014-08-09,VirtaCoinDev,1,0,0,-2
VTC,Vertcoin,2014-01-20,2014-01-29,2014-01-20,vertoe,1,0,0,-8
DUO,ParallelCoin,2015-10-24,2015-06-22,2015-10-24,marcetin,1,542,11,902
FRK,Franko,2013-06-09,2013-05-11,2013-06-09,defaced,1,230,7,829
EUC,Eurocoin,2015-08-23,2014-03-04,2015-08-23,deeppurple72,1,373,74,784
UNB,UnbreakableCoin,2014-05-23,2014-03-27,2014-05-23,jimblasko,1,66,5,57
VTR,vTorrent,2014-12-24,2014-12-11,2014-12-24,vtorrent,1,73,1,13
CARB,Carboncoin,2014-08-02,2014-03-06,2014-08-02,axismundi,1,246,3,158
BBR,Boolberry,2014-06-24,2014-07-05,2014-06-24,silvo,1,10,1,123
CLR,Copperlark,2013-11-03,2013-08-05,2013-11-03,vipah,1,85,11,205
UNO,Unobtanium,2013-12-21,2014-02-16,2013-12-21,ArcticWolfie,1,3,0,18
OMC,Omnicoin,2014-05-11,2015-02-21,2014-05-11,MeshCollider,1,0,0,-171
ZED,Zedcoin,2014-03-06,2014-01-25,2014-03-06,Kilo88,1,54,5,40
HVC,Heavycoin,2014-03-12,2014-02-17,2014-03-12,keccak512,1,242,2,297
CRAVE,Crave,2015-03-26,2015-03-20,2015-03-26,industrialcoinmagic,1,33,1,6
KEY,KeyCoin,2014-07-18,2014-07-15,2014-07-18,keycoin,1,15,1,3
INFX,Influxcoin,2015-09-15,2015-08-25,2015-09-15,Coryvmcs1,1,69,12,40
FRC,Freicoin,2013-05-02,2014-06-27,2013-05-02,FreicoinMafia,1,0,0,-421
SLFI,Selfiecoin,2015-03-22,2015-03-05,2015-03-22,freedomsr40,1,149,7,175
WBB,WildBeastBitcoin,2015-02-28,2015-02-11,2015-02-28,WildBeastBitcoin,1,68,1,17
DUCK,DuckDuckCoin,2014-02-22,2014-02-04,2014-02-22,mainduck,1,42,1,18
DT,DarkToken,2014-09-17,2014-09-16,2014-09-17,darktoken,1,4,1,1
DP,DigitalPrice,2014-10-04,2014-09-20,2014-10-04,7vpo,1,76,2,232
CYP,Cypher,2015-04-11,2015-03-29,2015-04-11,Cypher7A69,1,53,1,13
CYT,Cryptokenz,2015-09-21,2015-09-10,2015-09-21,Crypt0ken,1,102,1,11
POT,PotCoin,2014-02-09,2014-01-22,2014-02-09,SCryptoMiners,1,73,4,20
POP,PopularCoin,2014-04-23,2014-02-02,2014-04-23,cryptojette,1,111,21,84
TGC,Tigercoin,2013-12-21,2013-09-06,2013-12-21,mintedstone,1,52,1,111
RPC,RonPaulCoin,2014-01-06,2013-12-28,2014-01-06,colinistheman,1,211,24,211
TIPS,FedoraCoin,2013-12-31,2013-12-22,2013-12-31,MystPhysX,1,57,1,9
NODE,Node,2014-09-13,2013-05-02,2014-09-13,Passion_ltc,1,303,10,502
BITGOLD,bitGold,2015-01-04,2014-03-21,2015-01-04,Gold-Bars,1,217,3,311
RBY,Rubycoin,2014-03-20,2014-02-11,2014-03-20,rby,1,7,1,42
DOPE,DopeCoin,2014-02-22,2014-02-16,2014-02-22,userpacman,1,386,29,51
LSD,Lightspeed,2014-09-13,2014-09-04,2014-09-13,lightspeedLS,1,45,1,9
SLR,SolarCoin,2014-03-29,2014-01-23,2014-03-29,ddirt,1,29,1,79
SLG,Sterlingcoin,2014-09-23,2014-08-02,2014-09-23,Sterlingcoin,1,297,1,52
NRB,Noirbits,2013-07-04,2013-12-02,2013-07-04,educatedwarrior,1,20,0,40
QB,Quarkbar,2014-05-26,2014-02-26,2014-05-26,QuarkBar,1,26,1,89
BDSM,BDSM,2014-10-20,2014-09-19,2014-10-20,altcoin.center,1,51,3,42
NRS,NoirShares,2014-04-20,2014-09-05,2014-04-20,chocobo,1,73,0,118
XGR,GoldReserve,2014-06-28,2014-06-05,2014-06-28,Mesterlovesz74,1,177,2,158
AXR,Axron,2014-08-27,2014-08-14,2014-08-27,Project Axron,1,118,1,13
EXC,Extremecoin,2014-01-16,2013-08-17,2014-01-16,CaptChadd,1,883,40,560
MUSE,MUSE,2015-05-06,2015-10-23,2015-05-06,StanLarimer,1,398,1,257
HBN,HoboNickels,2013-12-20,2013-07-24,2013-12-20,thundertoe,1,218,35,927
EXP,Expanse,2015-09-15,2015-08-10,2015-09-15,CryptoClub,1,713,3,556
LQD,LIQUID,2015-02-06,2015-02-07,2015-02-06,Geenstijl,1,212,10,432
IBITS,iBits,2015-07-27,2015-07-13,2015-07-27,iBITS,1,1,1,14
TCO,TacoCoin,2014-07-21,2014-06-14,2014-07-21,bassguitarman,1,30,3,67
VNL,Vanillacoin,2015-03-05,2014-12-12,2015-03-05,john-connor,1,76,4,83
RIN,Ringo,2014-08-02,2014-05-23,2014-08-02,homhomhom,1,91,1,147
TIT,Titcoin,2014-08-25,2014-11-10,2014-08-25,titcoinfoundation,1,0,0,-77
YAC,Yacoin,2013-06-09,2013-05-05,2013-06-09,pocopoco,1,12,1,35
RIC,Riecoin,2014-02-27,2013-09-05,2014-02-27,gatra,1,115,5,243
FRAC,Fractalcoin,2014-06-15,2014-06-12,2014-06-15,Fractalcoin,1,1,1,3
HAM,HamRadioCoin,2014-10-26,2014-11-13,2014-10-26,hamhrc,1,43,1,115
LEA,LeaCoin,2015-04-19,2015-03-30,2015-04-19,tattooman67,1,30,1,111
BOT,Botcoin,2015-09-08,2015-08-31,2015-09-08,Walter Botcoin,1,9,1,8
DASH,Dash,2014-02-14,2014-01-18,2014-02-14,eduffield,1,157,9,253
THC,HempCoin,2014-06-28,2014-03-08,2014-06-28,HempCoin,1,64,1,112
PHO,Photon,2014-05-23,2014-02-21,2014-05-23,photon_coin,1,6,1,91
BURST,Burst,2014-08-30,2014-08-10,2014-08-30,burstcoin,1,61,1,20
ZEIT,Zeitcoin,2014-03-20,2014-02-14,2014-03-20,ZEITCOIN,1,182,2,34
GEO,GeoCoin,2015-02-21,2014-03-17,2015-02-21,Geocoin,1,1,1,341
HIRO,Hirocoin,2014-03-26,2014-04-13,2014-03-26,dupee419,1,229,3,211
TRBO,TurboStake,2015-10-30,2015-10-08,2015-10-30,CryptoWiz420,1,56,2,145
LXC,Librexcoin,2014-08-05,2014-07-21,2014-08-05,Librexcoindev,1,55,1,15
MZC,MazaCoin,2014-02-27,2014-03-05,2014-02-27,crazyearner,1,284,25,492
STEPS,Steps,2015-09-19,2015-09-07,2015-09-19,AltcoinSteps,1,107,1,26
SPEC,SPEC,2015-07-27,2014-01-26,2015-07-27,danosphere,1,453,21,573
DMD,Diamond,2013-12-19,2013-07-13,2013-12-19,JohnLuc,1,50,1,165
BELA,BellaCoin,2014-03-20,2014-01-29,2014-03-20,twoturtles,1,28,2,50
SYNC,Sync,2014-05-20,2013-06-24,2014-05-20,MstCoin,1,48,5,330
DRZ,Droidz,2015-04-27,2015-04-14,2015-04-27,DRZ,1,28,1,13
CRC,CraftCoin,2013-07-07,2013-07-05,2013-07-07,Blindfolded,1,66,3,347
SKC,Skeincoin,2014-03-15,2013-11-01,2014-03-15,Red Kendra,1,34,1,134
SKB,SkullBuzz,2015-10-14,2015-05-20,2015-10-14,SkullBuzz,1,23,1,147
GRS,GroestlCoin,2014-04-11,2014-03-22,2014-04-11,gruve_p,1,9,1,20
ACOIN,Acoin,2014-09-13,2014-08-29,2014-09-13,A-Coin,1,72,1,15
BUK,CryptoBuck,2014-10-04,2013-08-31,2014-10-04,CryptoBuck,1,114,6,411
XDQ,Dirac,2014-05-26,2014-05-19,2014-05-26,coinweaver,1,76,4,101
XDP,Dogeparty,2014-08-28,2014-07-23,2014-08-28,dogeparty,1,1,1,36
SWIFT,BitSwift,2014-10-05,2014-09-29,2014-10-05,BitSwift,1,46,2,6
FIBRE,Fibre,2014-08-30,2014-08-13,2014-08-30,killakem,1,179,3,60
LIMX,LimeCoinX,2014-06-08,2014-06-03,2014-06-08,IParn,1,234,3,65
ZET,Zetacoin,2013-09-10,2013-08-03,2013-09-10,Giskard,1,107,5,118
UNIC,UniCoin,2015-06-14,2013-12-30,2015-06-14,Teamunicoin,1,36,1,531
XRA,Ratecoin,2015-06-26,2015-06-17,2015-06-26,R-A-T-E,1,17,1,9
VGC,VegasCoin,2014-05-06,2014-02-15,2014-05-06,Byates,1,11,1,80
XRP,Ripple,2013-08-04,2013-05-13,2013-08-04,webr3,1,136,15,138
ANC,Anoncoin,2013-07-14,2013-06-23,2013-07-14,nicksmith,1,19,1,29
XEMP,EmpoCredits,2015-09-14,2015-08-09,2015-09-14,EmpoEX,1,226,3,338
ANI,Animecoin,2014-02-28,2014-01-19,2014-02-28,ani-chan,1,40,2,51
NVC,Novacoin,2013-04-28,2013-07-05,2013-04-28,feeleep,1,0,0,-7
JLH,jl777hodl,2014-07-23,2014-07-18,2014-07-23,EvilDave,1,459,3,219
HNC,Helleniccoin,2015-07-21,2015-02-08,2015-07-21,helleniccoin,1,2,1,163
COV,Coven,2015-04-21,2015-04-19,2015-04-21,CovenDev,1,17,2,2
CHIP,ChipCoin,2015-08-04,2015-07-25,2015-08-04,Chips,1,51,1,10
BCX,BattleCoin,2014-01-30,2014-01-11,2014-01-30,jackofall1232,1,143,15,193
ICASH,iCash,2015-03-27,2015-03-19,2015-03-27,cryptodev35,1,70,1,8
ETH,Ethereum,2015-08-07,2014-02-13,2015-08-07,AltcoinBull,1,31,6,540
COL,Colossuscoin,2013-11-30,2014-01-26,2013-11-30,sudo23,1,99,2,91
CON,PayCon,2015-02-15,2015-01-02,2015-02-15,muddafudda,1,1358,40,660
KDC,KlondikeCoin,2014-02-02,2014-01-09,2014-02-02,KlondikeCoin,1,144,11,24
VRC,VeriCoin,2014-05-16,2014-05-09,2014-05-16,effectsToCause,1,76,1,7
QORA,Qora,2014-05-26,2014-03-19,2014-05-26,qora,1,74,1,68
COOL,CoolCoin,2014-06-28,2014-05-08,2014-06-28,CoolloveCoin,1,10,2,51
SRC,SecureCoin,2013-09-28,2013-08-09,2013-09-28,baritus,1,590,38,139
FAIR,FairCoin,2014-03-22,2014-07-20,2014-03-22,FairCoinTeam,1,0,0,-120
