symbol,name,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
GB,GreenBacks,2014-08-23,2014-08-15,GreenBacksTeam,https://bitcointalk.org/index.php?topic=740744.0,2014-08-15
XQN,Quotient,2014-11-23,2014-11-11,CedricQuotient,https://bitcointalk.org/index.php?topic=854299.0,2014-11-11
LIT,Lightcoin,2014-07-05,2014-06-12,Lightcoinproject,https://bitcointalk.org/index.php?topic=649890.0,2014-06-12
XUP,UPcoin,2015-09-22,2015-09-16,TheTerminator,https://bitcointalk.org/index.php?topic=1182202.0,2015-09-16
ZNY,Bitzeny,2015-07-09,2014-11-07,bitzeny,https://bitcointalk.org/index.php?topic=849994.0,2014-11-07
GAP,Gapcoin,2014-11-01,2014-06-11,j0nn9,https://bitcointalk.org/index.php?topic=647681.0,2014-06-11
SAK,Sharkcoin,2015-03-08,2014-05-20,SAKTeam,https://bitcointalk.org/index.php?topic=617410.0,2014-05-20
PRC,ProsperCoin,2014-02-20,2014-01-29,inmean,https://bitcointalk.org/index.php?topic=438433.0,2014-01-29
MEOW,Kittehcoin,2014-01-24,2013-12-24,lonestar108,https://bitcointalk.org/index.php?topic=383068.0,2013-12-24
PRT,Particle,2014-01-22,2013-12-31,moonmoon,https://bitcointalk.org/index.php?topic=392804.0,2013-12-31
CHA,Chancecoin,2014-05-20,2014-03-23,magician,https://bitcointalk.org/index.php?topic=528023.0,2014-03-23
CHC,ChainCoin,2015-07-16,2014-01-19,Rolihlahla,https://bitcointalk.org/index.php?topic=422149.0,2014-01-19
MRY,Murraycoin,2014-03-03,2014-01-20,bholzer,https://bitcointalk.org/index.php?topic=424179.0,2014-01-20
JAY,Jay,2015-04-17,2015-04-02,jones_,https://bitcointalk.org/index.php?topic=1010702.0,2015-04-02
MMNXT,MMNXT,2014-10-22,2015-01-20,Nxtblg,https://bitcointalk.org/index.php?topic=930228.0,2015-01-20
URO,Uro,2014-06-12,2014-05-08,true-asset,https://bitcointalk.org/index.php?topic=600639.0,2014-05-08
MRC,microCoin,2014-03-03,2014-01-03,MCR,https://bitcointalk.org/index.php?topic=397679.0,2014-01-03
MUE,MonetaryUnit,2014-11-01,2014-09-11,Mue,https://bitcointalk.org/index.php?topic=778322.0,2014-09-11
VIA,Viacoin,2014-07-18,2014-07-18,btcdrak,https://bitcointalk.org/index.php?topic=699278.0,2014-07-18
DBL,Doubloons,2013-07-04,2013-06-11,schnebi,https://bitcointalk.org/index.php?topic=231605.0,2013-06-11
SFR,SaffronCoin,2014-06-15,2014-04-27,saffroncoin,https://bitcointalk.org/index.php?topic=586320.0,2014-04-27
PYC,Paycoin,2014-12-06,2013-08-06,deppJ,https://bitcointalk.org/index.php?topic=268941.0,2013-08-06
GREXIT,Grexit,2015-07-23,2015-07-17,grexitcoin,https://bitcointalk.org/index.php?topic=1126239.0,2015-07-17
KORE,KoreCoin,2014-06-21,2015-04-28,MikeMike,https://bitcointalk.org/index.php?topic=1040482.0,2015-04-28
XLB,Libertycoin,2014-05-12,2014-05-08,Libertycoin,https://bitcointalk.org/index.php?topic=600322.0,2014-05-08
SWING,Swing,2015-09-28,2013-05-19,zerodrama,https://bitcointalk.org/index.php?topic=209601.0,2013-05-19
SLING,Sling,2015-04-21,2015-04-20,DG.Slayer,https://bitcointalk.org/index.php?topic=1032166.0,2015-04-20
PLNC,PLNcoin,2014-04-15,2014-03-10,WalutowyKrol,https://bitcointalk.org/index.php?topic=509433.0,2014-03-10
PKB,ParkByte,2015-05-18,2015-04-29,ParkByte,https://bitcointalk.org/index.php?topic=1042054.0,2015-04-29
CAID,Coinaid,2015-09-15,2015-09-05,crunck,https://bitcointalk.org/index.php?topic=1171544.0,2015-09-05
TENNET,TenneT,2015-08-10,2015-06-19,TenneT,https://bitcointalk.org/index.php?topic=1094342.0,2015-06-19
GCC,GuccioneCoin,2015-08-20,2015-06-25,GCCTeam1,https://bitcointalk.org/index.php?topic=1099201.0,2015-06-25
DOGED,DogeCoinDark,2014-10-25,2014-10-09,Dogedarkdev,https://bitcointalk.org/index.php?topic=817685.0,2014-10-09
CSC,CasinoCoin,2013-07-24,2013-07-18,transcoder,https://bitcointalk.org/index.php?topic=258090.0,2013-07-18
GCN,GCoin,2014-11-16,2014-04-04,Mr G,https://bitcointalk.org/index.php?topic=556746.0,2014-04-04
SHA,SHACoin,2014-06-25,2014-03-17,matt4054,https://bitcointalk.org/index.php?topic=518895.0,2014-03-17
LTD,LimitedCoin,2015-09-15,2015-09-11,LimitedDev,https://bitcointalk.org/index.php?topic=1177493.0,2015-09-11
ECC,ECCoin,2014-03-20,2014-03-06,hostmaster,https://bitcointalk.org/index.php?topic=503236.0,2014-03-06
CAGE,CageCoin,2014-04-15,2014-01-01,Nicolas_Cage,https://bitcointalk.org/index.php?topic=394958.0,2014-01-01
LEAF,LeafCoin,2014-02-02,2014-01-24,mcg,https://bitcointalk.org/index.php?topic=430091.0,2014-01-24
XCE,Cerium,2015-06-10,2015-06-06,Cerium,https://bitcointalk.org/index.php?topic=1082918.0,2015-06-06
XCH,ClearingHouse,2014-10-04,2014-08-11,btcdrak,https://bitcointalk.org/index.php?topic=734674.0,2014-08-11
DOGE,Dogecoin,2013-12-15,2013-12-08,Dogecoin,https://bitcointalk.org/index.php?topic=361813.0,2013-12-08
XCN,Cryptonite,2014-08-02,2014-07-18,Cryptonite XCN,https://bitcointalk.org/index.php?topic=700039.0,2014-07-18
MOON,Mooncoin,2014-01-06,2013-12-28,deaconboogie,https://bitcointalk.org/index.php?topic=389403.0,2013-12-28
BTE,Bytecoin,2013-05-10,2013-04-06,brie,https://bitcointalk.org/index.php?topic=169156.0,2013-04-06
BTG,Bitgem,2013-07-04,2013-05-16,mineral,https://bitcointalk.org/index.php?topic=207008.0,2013-05-16
BTC,Bitcoin,2013-04-28,2012-03-14,joshbb,https://bitcointalk.org/index.php?topic=68797.0,2012-03-14
BTB,BitBar,2013-05-09,2013-05-04,sido,https://bitcointalk.org/index.php?topic=194781.0,2013-05-04
JBS,Jumbucks,2014-09-07,2014-09-01,jyap,https://bitcointalk.org/index.php?topic=765082.0,2014-09-01
ISR,Isracoin,2014-04-08,2014-03-24,IsraelCoin,https://bitcointalk.org/index.php?topic=529409.0,2014-03-24
SPHR,Sphere,2015-05-02,2015-04-30,ChronoSphereDev,https://bitcointalk.org/index.php?topic=1042958.0,2015-04-30
UTIL,UtilityCoin,2014-09-30,2014-09-26,utilitycoin,https://bitcointalk.org/index.php?topic=797900.0,2014-09-26
OCTO,Octo,2015-03-22,2015-02-19,OCTOPARTY,https://bitcointalk.org/index.php?topic=960933.0,2015-02-19
BAY,BitBay,2014-11-16,2014-10-30,BitBay Team,https://bitcointalk.org/index.php?topic=840972.0,2014-10-30
ISL,IslaCoin,2015-09-28,2015-05-05,isladev,https://bitcointalk.org/index.php?topic=1051125.0,2015-05-05
DGB,DigiByte,2014-02-06,2014-02-03,sa_ddam213,https://bitcointalk.org/index.php?topic=446313.0,2014-02-03
DGC,Digitalcoin,2013-06-09,2013-05-20,schnebi,https://bitcointalk.org/index.php?topic=211140.0,2013-05-20
