name, symbol, first_price_date
Mintcoin, MINT, 1392817193
Aeon, AEON, 1438711769
Electron, ELT, 1402623793
LeaCoin, LEA, 1429457969
Ozziecoin, OZC, 1437658769
Megacoin, MEC, 1373205411
Memecoin, MEM, 1370800524
NEM, XEM, 1427848181
NautilusCoin, NAUT, 1400157745
SmileyCoin, SMLY, 1422420562
LEOcoin, LEO, 1438711769
CryptoCircuits, CIRC, 1434604767
GrandCoin, GDC, 1387253236
CrevaCoin, CREVA, 1436284167
Stakerush, STHR, 1442251766
Biebercoin, BRC, 1437496768
Quicksilver, QSLV, 1415885666
SecureCoin, SRC, 1380384577
World Trade Funds, XWT, 1414365867
Swing, SWING, 1443455071
BREAKcoin, BRE, 1441747765
Mastercoin, MSC, 1387928261
WhiteCoin, XWC, 1397823127
Karmacoin, KARM, 1391873603
Fractalcoin, FRAC, 1402844315
TransferCoin, TX, 1440122970
EarthCoin, EAC, 1388249544
42 Coin, 42, 1389673921
Prime-XI, PXI, 1412456074
Vidio, VDO, 1413777865
Phalanx, PXL, 1428410068
Phoenixcoin, PXC, 1372914949
InstantDEX, DEX, 1410716663
AsiaCoin, AC, 1398005458
DigiCube, CUBE, 1445706603
iCoin, ICN, 1392643507
SpaceCoin, SPACE, 1441823366
IcebergCoin, ICB, 1405512432
AeroMe, AM, 1404784202
Startcoin, START, 1402844313
UCoin, U, 1416177265
CHNCoin, CNC, 1367987717
Coin(O), CNO, 1395117602
ConcealCoin, CNL, 1405919059
IncaKoin, NKA, 1422420264
ZcCoin, ZCC, 1407216561
DNotes, NOTE, 1394294188
Krugercoin, KGC, 1373209321
Nakas, NKT, 1419827366
X-Children, CHILD, 1411234164
SuperCoin, SUPER, 1401121889
EZCoin, EZC, 1372916202
