coin,earliest_trade_date,earliest_mention_date,user1,user1_url1,user1_date1
GB,2014-08-23,2013-12-26,speedminer,https://bitcointalk.org/index.php?topic=385981.0,2013-12-26
QRK,2013-08-25,2013-07-21,quarkcoin,https://bitcointalk.org/index.php?topic=260031.0,2013-07-21
XQN,2014-11-23,2014-11-11,CedricQuotient,https://bitcointalk.org/index.php?topic=854299.0,2014-11-11
MIN,2014-06-21,2013-05-16,flound1129,https://bitcointalk.org/index.php?topic=207402.0,2013-05-16
LIT,2014-07-05,2013-12-07,litecoin_messiah,https://bitcointalk.org/index.php?topic=361460.0,2013-12-07
GHC,2014-10-10,2014-03-10,Ghostcoins,https://bitcointalk.org/index.php?topic=509522.0,2014-03-10
XUP,2015-09-22,2015-09-16,TheTerminator,https://bitcointalk.org/index.php?topic=1182202.0,2015-09-16
ZNY,2015-07-09,2014-11-07,bitzeny,https://bitcointalk.org/index.php?topic=849994.0,2014-11-07
GAP,2014-11-01,2014-06-11,j0nn9,https://bitcointalk.org/index.php?topic=647681.0,2014-06-11
SAK,2015-03-08,2014-05-20,SAKTeam,https://bitcointalk.org/index.php?topic=617410.0,2014-05-20
PRC,2014-02-20,2014-01-29,inmean,https://bitcointalk.org/index.php?topic=438433.0,2014-01-29
MEOW,2014-01-24,2013-12-21,kr105,https://bitcointalk.org/index.php?topic=380130.0,2013-12-21
PRT,2014-01-22,2013-12-31,moonmoon,https://bitcointalk.org/index.php?topic=392804.0,2013-12-31
CHA,2014-05-20,2014-03-23,magician,https://bitcointalk.org/index.php?topic=528023.0,2014-03-23
CHC,2015-07-16,2014-01-19,Rolihlahla,https://bitcointalk.org/index.php?topic=422149.0,2014-01-19
MRY,2014-03-03,2014-01-20,bholzer,https://bitcointalk.org/index.php?topic=424179.0,2014-01-20
URC,2015-03-31,2015-03-23,USER211,https://bitcointalk.org/index.php?topic=1000669.0,2015-03-23
MMNXT,2014-10-22,2015-01-20,Nxtblg,https://bitcointalk.org/index.php?topic=930228.0,2015-01-20
URO,2014-06-12,2014-05-08,true-asset,https://bitcointalk.org/index.php?topic=600639.0,2014-05-08
MRS,2014-02-24,2014-01-15,Btcdealer5011,https://bitcointalk.org/index.php?topic=416486.0,2014-01-15
020,2015-09-15,2015-06-27,020LondonCoin,https://bitcointalk.org/index.php?topic=1101438.0,2015-06-27
QBK,2014-08-17,2014-07-09,ABC Dev Team,https://bitcointalk.org/index.php?topic=682939.0,2014-07-09
MRC,2014-03-03,2014-01-03,MCR,https://bitcointalk.org/index.php?topic=397679.0,2014-01-03
UTIL,2014-09-30,2014-09-26,utilitycoin,https://bitcointalk.org/index.php?topic=797900.0,2014-09-26
VIA,2014-07-18,2011-12-13,Yankee (BitInstant),https://bitcointalk.org/index.php?topic=54506.0,2011-12-13
DBL,2013-07-04,2013-05-15,blastbob,https://bitcointalk.org/index.php?topic=206493.0,2013-05-15
SFR,2014-06-15,2014-04-27,saffroncoin,https://bitcointalk.org/index.php?topic=586320.0,2014-04-27
APC,2014-02-09,2013-05-31,Charles999,https://bitcointalk.org/index.php?topic=221166.0,2013-05-31
